ngram,Record,Recrd,Reord,Recrd
1762,1.139657030892392e-05,0.0,3.035470541590257e-09,0.0
1763,1.1197500628311121e-05,0.0,0.0,0.0
1764,1.1158585623759012e-05,0.0,0.0,0.0
1765,1.0977097645081813e-05,0.0,0.0,0.0
1766,8.605237975903687e-06,0.0,0.0,0.0
1767,6.066296399304909e-06,0.0,0.0,0.0
1768,6.284399985036414e-06,0.0,0.0,0.0
1769,6.129972851860137e-06,0.0,0.0,0.0
1770,5.637837018314583e-06,0.0,0.0,0.0
1771,5.8133110932041224e-06,0.0,0.0,0.0
1772,5.93391015562312e-06,0.0,0.0,0.0
1773,5.224526960643873e-06,0.0,0.0,0.0
1774,5.454568703758664e-06,0.0,0.0,0.0
1775,5.441626139405084e-06,0.0,0.0,0.0
1776,4.919413608409481e-06,0.0,0.0,0.0
1777,4.495727125686244e-06,0.0,0.0,0.0
1778,4.810777649514161e-06,0.0,0.0,0.0
1779,4.522276672755002e-06,0.0,0.0,0.0
1780,4.34737853538536e-06,0.0,0.0,0.0
1781,3.775369317996332e-06,0.0,0.0,0.0
1782,3.594311270457443e-06,0.0,0.0,0.0
1783,3.3696314208750015e-06,0.0,0.0,0.0
1784,3.3113469726231415e-06,0.0,0.0,0.0
