ngram,G3,G3o,G3n,G3s,3,G3a,G3b
1923,1.2414128544183507e-07,5.249726942840078e-11,9.030681956202967e-11,3.523656961450834e-10,0.0006922132368864757,3.4601133961999405e-10,1.2274439500517938e-10
1924,1.2154751414885011e-07,3.853153510543653e-11,1.0076261551329933e-10,3.593115527333879e-10,0.0007041192813111204,3.564671355712637e-10,2.448520443938078e-10
1925,1.253615004819559e-07,4.715647118823187e-11,1.3239272674190972e-10,3.564258769081111e-10,0.0007126639829948545,3.650920716540591e-10,2.534769804766032e-10
1926,1.2494376428711413e-07,4.715647118823187e-11,1.1818698004389157e-10,3.2252585324688e-10,0.0007210727032673146,4.141666850746414e-10,3.768090085985522e-10
1927,1.221809051393003e-07,6.989484982852393e-11,9.498532516083458e-11,5.044328823692165e-10,0.000726501873162176,3.909650301915844e-10,3.0720404394938127e-10
1928,1.217480810769952e-07,1.383233111384996e-10,9.498532516083458e-11,4.2009805753132467e-10,0.0007381870694059346,4.259797594029026e-10,3.0720404394938127e-10
1929,1.2856511639418905e-07,1.141720150960828e-10,1.2027112242637576e-10,3.71795465446491e-10,0.0007450736427147474,4.535345591146925e-10,3.324898412149224e-10
1930,1.2883872001014295e-07,1.141720150960828e-10,9.571767783140522e-11,3.7714336217512367e-10,0.000762689343121435,3.3344128846923837e-10,3.6239118253852555e-10
1931,1.2741569171177097e-07,1.4040502490811742e-10,7.12961475571713e-11,3.2830030162665583e-10,0.0007726340720962201,3.614857778190737e-10,2.4028353314989713e-10
1932,1.4059190890845586e-07,1.6468634194450564e-10,2.5285797265541176e-11,3.3021451644505666e-10,0.000784289083510105,4.803400792198685e-10,3.591378345506919e-10
1933,1.3835617908495935e-07,1.6468634194450564e-10,2.5285797265541176e-11,3.536258706495131e-10,0.0007971943788496512,3.886482266965022e-10,2.447672183983737e-10
1934,1.4275350171796424e-07,1.6441583808709685e-10,2.5285797265541176e-11,1.7171884152717658e-10,0.0008078342819187258,4.785197258280352e-10,2.6723509318125696e-10
1935,1.4290130678773494e-07,9.598737677712116e-11,2.5285797265541176e-11,1.9394117462783507e-10,0.0008155252684706024,5.872827799465899e-10,3.116797593825739e-10
1936,1.405295821297971e-07,1.1692480912055865e-10,0.0,2.77690904001585e-10,0.0008264484515945826,5.323628204934039e-10,2.8639396211703275e-10
1937,1.4232237889798073e-07,1.1692480912055865e-10,0.0,2.232361180830113e-10,0.0008338299480133823,5.051354275341171e-10,2.768240101432998e-10
1938,1.5089768165158342e-07,9.069179930852402e-11,0.0,2.449883688772557e-10,0.0008455091156065464,1.4750251952395337e-09,2.985762609375442e-10
1939,1.3993369256987925e-07,4.3405307126320736e-11,0.0,1.7405863060395077e-10,0.0008521159096354884,1.6816820773226026e-09,2.5629288572367615e-10
1940,1.4716538235656378e-07,6.919856949354803e-11,0.0,2.3089736273756197e-10,0.0008543417955349598,1.6816820773226026e-09,2.331257270560272e-10
1941,1.5201186848961307e-07,4.6730694710664775e-11,0.0,3.136330699117705e-10,0.0008558245608583093,1.5918105781910695e-09,2.1065785227314393e-10
1942,1.627756753513105e-07,4.6730694710664775e-11,0.0,3.412268285390192e-10,0.0008564646039823336,1.391809578302602e-09,1.9112123193578056e-10
1943,1.9100874989622492e-07,2.5793262367227296e-11,4.2906650454810347e-11,2.7893042439267445e-10,0.00085654465614685,1.3923254711865697e-09,1.9112123193578056e-10
1944,1.9044379736702206e-07,2.5793262367227296e-11,8.084929551241008e-11,3.5481571450787387e-10,0.0008496337187742549,1.5251247269056277e-09,1.462363979909398e-10
1945,1.8519974633233816e-07,2.5793262367227296e-11,8.084929551241008e-11,3.7060230479684416e-10,0.0008478138063635145,5.027689395761417e-10,1.4325356773830274e-10
1946,1.8907940711544923e-07,2.5793262367227296e-11,9.739739966921742e-11,3.871504089536515e-10,0.0008554014077942286,1.542525809464631e-10,4.36774664055609e-11
1947,1.9190001816176456e-07,1.6556976028298768e-11,1.636253037824125e-10,3.6676224160877725e-10,0.000863100160911147,1.708095569747619e-10,9.33483925079161e-11
1948,2.0910159191446708e-07,1.6556976028298768e-11,1.8072530376984323e-10,5.405265302809476e-10,0.0008706084003538958,2.5630956087699785e-10,9.33483925079161e-11
1949,2.1428242494688936e-07,1.6556976028298768e-11,2.3174379082391283e-10,7.287967194021963e-10,0.0008790815565069872,9.195498806846558e-10,1.8748348706854046e-10
1950,1.9829600717002904e-07,5.0396926711192085e-11,1.8883714036910249e-10,8.088632501885534e-10,0.0008908045710995793,9.31936506140144e-10,1.8748348706854046e-10
1951,2.157815198903076e-07,5.0396926711192085e-11,1.5089449531150275e-10,9.315671369223922e-10,0.0009039161294432623,9.646282364153942e-10,2.205816838708939e-10
1952,2.3245139045359663e-07,5.0396926711192085e-11,1.8226239366964895e-10,9.881319889310752e-10,0.0009127247446615781,9.646282364153942e-10,2.0181226332928658e-10
1953,2.42897320796536e-07,6.608616332741996e-11,1.814035261290695e-10,1.0500300708292188e-09,0.0009164182868387018,9.646282364153942e-10,2.1750149994551445e-10
1954,2.565382370026522e-07,6.404514319673688e-11,1.296915779134901e-10,1.0833728358861094e-09,0.0009269606920757464,9.916191280799426e-10,1.8234652974077496e-10
1955,2.585289016516461e-07,7.853939522549171e-11,1.270858299548142e-10,9.138383541948006e-10,0.000937820054657225,9.930846383327768e-10,1.8234652974077496e-10
1956,2.677774071051837e-07,1.1894341265884988e-10,1.0300335386213634e-10,7.430921037229357e-10,0.0009488095945146467,5.453324062162526e-10,1.0370740674955518e-10
1957,2.7702537457636414e-07,1.4882209155496285e-10,1.5397825673232494e-10,6.670596991442679e-10,0.0009531187492289714,6.134422612737365e-10,1.0370740674955518e-10
1958,2.86691983676844e-07,1.4882209155496285e-10,1.6588006464455874e-10,4.922741381196971e-10,0.000961741282870727,5.788711613227296e-10,1.1821644159613698e-10
1959,3.001849222528108e-07,1.4882209155496285e-10,1.9098186028663833e-10,5.111098330282512e-10,0.0009664982208050787,7.59574185295518e-10,1.633921975893341e-10
1960,3.229563390050316e-07,1.4372071588386603e-10,1.9646834556067257e-10,5.173665345343486e-10,0.0009749990089663438,1.0136828559088278e-09,2.1123012862643365e-10
1961,3.375449182385637e-07,1.2920475998625036e-10,2.26974665253264e-10,4.3500559503734896e-10,0.0009790681901254825,1.4541244399067311e-09,4.781034021065064e-10
1962,3.4389210717173615e-07,1.1471050795749552e-10,2.3288392543761663e-10,4.3985588980634457e-10,0.0009787622839212418,1.4181677062844296e-09,6.515332598830018e-10
1963,3.50670376292328e-07,1.040180610296331e-10,2.2575562748570833e-10,5.012659969645077e-10,0.0009747317443335694,1.2720066151177584e-09,6.408408129551394e-10
1964,3.651419433481351e-07,4.9292741515533884e-11,1.8377403468042682e-10,5.207450958539489e-10,0.0009694907847525818,1.3139497704158946e-09,6.768140532147677e-10
1965,3.6886454170468953e-07,5.8107823116707433e-11,1.9831747157171365e-10,5.4101689001789e-10,0.0009573404095135629,1.2623656207656963e-09,6.644671479705266e-10
1966,3.6910487973987725e-07,6.690089454641779e-11,1.4184777757148785e-10,4.808359305957006e-10,0.0009497398111437048,1.1432140987834215e-09,6.632567471433402e-10
1967,3.647833913029379e-07,5.631303360128673e-11,1.2067205568122574e-10,4.757351536520207e-10,0.0009427790563287479,9.598628598299947e-10,6.262636163624689e-10
1968,3.6140794382585485e-07,5.631303360128673e-11,1.465021120290138e-10,5.305338628731298e-10,0.0009395723380813641,7.061434809901052e-10,5.662879252822859e-10
1969,3.71567844175453e-07,7.426680500735979e-11,1.2609859981590636e-10,6.8109396693978e-10,0.0009441221066351448,1.157840291897218e-09,6.711415272737347e-10
1970,3.839397858687984e-07,6.209425235897165e-11,1.062908868064229e-10,6.400389186898638e-10,0.0009531632780895702,1.228825438229616e-09,8.16820135339315e-10
1971,3.956388963745537e-07,5.310094229406457e-11,1.0624847727815277e-10,7.203849778607869e-10,0.0009669703015658472,1.308704985650674e-09,9.24061303665878e-10
1972,4.028784823211546e-07,5.298130585045564e-11,8.849867763219673e-11,7.545685703253773e-10,0.000989724965100842,1.4119735936013456e-09,1.0105372094670884e-09
1973,4.104289814677031e-07,2.670488532688761e-10,2.8659700902171943e-10,7.678429162335679e-10,0.0010085474350489676,1.4247089619168207e-09,1.00784233736384e-09
1974,4.1539813975889827e-07,2.670488532688761e-10,3.1103951854603654e-10,1.1363534637075036e-09,0.0010310030026760484,1.451721568354206e-09,1.005750810015701e-09
1975,4.4011598479950666e-07,2.670488532688761e-10,2.401871866080414e-10,1.2829635449256622e-09,0.0010476260046873773,1.3430940010954779e-09,8.654322754462842e-10
1976,4.493159337926045e-07,2.4909508186280304e-10,2.9644220312612697e-10,1.1852433954930218e-09,0.0010603711541209901,1.0573720470625452e-09,7.398410079018092e-10
1977,4.5414564299660144e-07,2.7168812041392497e-10,3.365742595343565e-10,1.4266311624108345e-09,0.0010699021264112421,1.1177201703865031e-09,9.095864954091124e-10
1978,4.655229832094067e-07,2.7984804899992635e-10,3.8474285860409397e-10,1.4481972684546714e-09,0.0010811917683375733,1.0897859440258832e-09,8.724511609191157e-10
1979,4.840300269799107e-07,2.792803047356264e-10,5.142183325971114e-10,1.5893861861547366e-09,0.001081225146273417,1.1835234379832725e-09,1.059567554727105e-09
1980,5.332223744452287e-07,6.425651330466131e-11,3.4746731087625145e-10,1.8525001532765373e-09,0.001084081396194441,1.501077952413356e-09,1.2769123754395396e-09
1981,5.592939495662514e-07,7.188631188331002e-11,3.2302480135193434e-10,2.48018903827228e-09,0.0010806084943136998,1.487235699672494e-09,1.2906188578171956e-09
1982,5.848410629433991e-07,7.929780691211846e-11,3.304362963807428e-10,2.6822917537876786e-09,0.0010801426667187894,1.728756439587999e-09,1.6171560677870544e-09
1983,6.089395948752749e-07,1.089078296791422e-10,2.9638879743356025e-10,3.15204394331557e-09,0.0010717741346785,2.1039732495913607e-09,1.6347215089521479e-09
1984,6.270582925286103e-07,6.877577327091267e-11,2.783085220614545e-10,3.3154508503687096e-09,0.001065247625644718,2.550165205989734e-09,1.4880518642687183e-09
1985,6.467340735330904e-07,7.508399457734072e-11,2.718275475742184e-10,3.7834685226049e-09,0.0010531752070944225,3.034329961896073e-09,1.5194202086986154e-09
1986,6.50506649435556e-07,8.768195891573072e-11,1.543822936552911e-10,3.9992595584387965e-09,0.001052542872327779,2.9997875453499236e-09,1.307287357730859e-09
1987,6.339104824551864e-07,8.653259904258169e-11,1.29722451530645e-10,4.071360867489002e-09,0.0010447136592119932,2.741695505546561e-09,1.4164827564856962e-09
1988,6.313482653500355e-07,8.583421027512955e-11,1.29722451530645e-10,3.1549817520420173e-09,0.001032490815435137,2.7686702771693004e-09,1.5308247843951302e-09
1989,6.128674142148936e-07,9.837875008681226e-11,1.2896296828054536e-10,3.24321247635595e-09,0.0010210482370374458,2.585111347208624e-09,1.1963646977848035e-09
1990,5.993339300403022e-07,7.542618959965885e-11,1.2672783754925325e-10,2.861815705047986e-09,0.0010204799473285675,2.319126557459583e-09,1.2391458573520912e-09
1991,6.054669045494978e-07,8.856472648509163e-11,1.0467605651312947e-10,2.658373743358311e-09,0.0010132746205532125,1.8102289667254468e-09,1.6581910844415404e-09
1992,5.865701626005051e-07,7.409657659266219e-11,7.312456890007368e-11,2.6033638419623426e-09,0.0010100413180355514,1.295646923082927e-09,1.6607152875103282e-09
1993,5.856543095563081e-07,5.981227071167566e-11,5.239890366841899e-11,2.6125786930667314e-09,0.00099696554077257,1.1247024581503444e-09,1.5897609498668634e-09
1994,5.750463450177839e-07,6.613106292733103e-11,5.871769588407437e-11,2.5104746218370823e-09,0.0009883904380590788,1.1860470066389033e-09,1.3455097115842663e-09
1995,5.789590724296951e-07,7.197391591448214e-11,6.510482728324821e-11,3.2197020446592515e-09,0.000977393929913108,1.23482273612601e-09,1.2824385283874813e-09
1996,6.010204093139951e-07,5.2017881073990986e-11,5.84528155045394e-11,5.044853725242961e-09,0.0009620283963158727,1.1812592015658652e-09,1.3416092284731666e-09
1997,6.134339400887256e-07,5.686546769182296e-11,4.998547756263072e-11,6.221211038389843e-09,0.0009365481923201255,1.1829374464105464e-09,1.2953936415601878e-09
1998,6.057696932007925e-07,4.950471828103962e-11,7.887441444024264e-11,7.2726099745576025e-09,0.0009158173758935716,1.1547607790620061e-09,8.33882653404418e-10
1999,6.07453979942615e-07,6.577445086602169e-11,6.521062112915414e-11,7.911260503844022e-09,0.0008883313109566059,1.1411906181939863e-09,7.589899621494669e-10
2000,6.071976323645296e-07,8.010280881059245e-11,9.117276824383807e-11,7.944510192560626e-09,0.0008648682685036745,1.2364933997334658e-09,8.422655390598927e-10
2001,6.086511023438237e-07,8.230873968506636e-11,8.830796857650647e-11,8.162580674867367e-09,0.0008400296376618956,1.0768946171310238e-09,7.998377555511788e-10
2002,5.868457597963632e-07,6.953447688671867e-11,8.728939099311717e-11,7.78246920875501e-09,0.000819759360248489,1.105115709260878e-09,8.82211641041662e-10
2003,5.492345362004666e-07,6.953447688671867e-11,9.244752830325379e-11,5.741296834774598e-09,0.0007986895424047751,1.0925539481057962e-09,7.911339123494493e-10
2004,5.28730238004625e-07,7.316906554850305e-11,9.103557144229946e-11,4.7306054629103755e-09,0.0007805155723222665,8.201720532888654e-10,7.403812642335441e-10
