ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1943,7.523779329078804e-07,4.399110758208329e-10,1.5024816708247053e-10,2.175225079424438e-11,0.0,2.601568167242314e-10
1944,7.438920062798258e-07,4.588823983496328e-10,1.5024816708247053e-10,2.175225079424438e-11,0.0,2.5668572228061086e-10
1945,7.562076445667896e-07,4.588823983496328e-10,1.2551308603558908e-10,0.0,0.0,2.417715729999667e-10
1946,7.579291475069892e-07,4.834889453083794e-10,1.4206119019239642e-10,0.0,1.6548104156807344e-11,2.085316264904031e-10
1947,7.697450996602129e-07,4.796577480441805e-10,9.047466545794184e-11,1.6556976028298768e-11,1.6548104156807344e-11,1.9005905381254606e-10
1948,7.711193380341033e-07,4.929006072343764e-10,3.5317524698414666e-11,1.6556976028298768e-11,3.364810414423809e-11,1.795804834202132e-10
1949,7.783528498553746e-07,4.6129307318398816e-10,5.2323687049771195e-11,3.35631383796553e-11,3.364810414423809e-11,1.9658664577156974e-10
1950,7.642718579908043e-07,4.724662784021711e-10,6.924366239121785e-11,3.35631383796553e-11,3.364810414423809e-11,2.3042659645446306e-10
1951,7.482469754904741e-07,4.70044054274548e-10,1.0234185919357129e-10,5.0112236780832016e-11,3.364810414423809e-11,2.280043723268399e-10
1952,7.207037567370987e-07,5.955156477071328e-10,8.357243865196397e-11,5.0112236780832016e-11,3.364810414423809e-11,1.655251659944084e-10
1953,6.967011683757716e-07,5.43294733606243e-10,6.702433449515662e-11,8.149071001328778e-11,1.709999998743074e-11,1.6466629845382893e-10
1954,6.774215210368441e-07,5.455645687197602e-10,6.702433449515662e-11,9.396564578022039e-11,3.161595588504643e-11,1.6058425819246277e-10
1955,6.764550448679074e-07,5.061530728275468e-10,8.151858652391145e-11,1.5194265389523968e-10,1.451595589761569e-11,1.4348425820503204e-10
1956,6.651121923693739e-07,4.785324408554789e-10,6.451242417255493e-11,1.8880851346666664e-10,1.451595589761569e-11,1.6688211328703366e-10
1957,6.663137729187188e-07,3.8558006291790544e-10,7.307990026620256e-11,2.652708657894084e-10,1.451595589761569e-11,1.457858883216875e-10
1958,6.596600396083627e-07,4.2854000506916835e-10,6.378531928831675e-11,2.844271901336626e-10,1.451595589761569e-11,1.411385978327446e-10
1959,6.536800226188331e-07,3.7083204760892027e-10,7.507925828661603e-11,3.1830900811983097e-10,1.451595589761569e-11,1.3235857747119694e-10
1960,6.537650928554026e-07,3.555279205956298e-10,7.507925828661603e-11,3.3986983862175993e-10,1.451595589761569e-11,1.1666934085496905e-10
1961,6.629911695199553e-07,2.989385088676093e-10,9.759039608171958e-11,4.008824780069428e-10,0.0,8.763742905973767e-11
1962,6.561857130041712e-07,3.0055527312976086e-10,1.1370141237262591e-10,3.4290546989192347e-10,0.0,1.1824269737939882e-10
1963,6.615577409060538e-07,2.997666817153696e-10,1.2360526887736763e-10,3.0884116097862346e-10,0.0,8.774253645078239e-11
1964,6.462278991291117e-07,3.3723240073462486e-10,1.2509774763699458e-10,2.5036542878569586e-10,8.99331006490708e-12,9.298543086304939e-11
1965,6.443884460947759e-07,3.306138497892265e-10,1.3655445821722116e-10,2.2347508764143853e-10,8.99331006490708e-12,1.0752886775433623e-10
1966,6.50550540675405e-07,3.331947852545726e-10,1.3405359064863224e-10,1.8959326965527013e-10,8.99331006490708e-12,1.025271326171584e-10
1967,6.542191986877047e-07,3.72188633087792e-10,1.4289826960611762e-10,1.6318800279334156e-10,1.7837989022392466e-11,1.025271326171584e-10
1968,6.556388711942418e-07,4.3344485143949537e-10,1.2924367330326347e-10,7.314345161292733e-11,1.7837989022392466e-11,1.202402156016572e-10
1969,6.459174122548055e-07,4.746546687441264e-10,1.0761529068663883e-10,1.0905099442507345e-10,1.7837989022392466e-11,1.973575717533522e-10
1970,6.243900949292376e-07,5.227343320106976e-10,1.0648094311045092e-10,8.924328141559e-11,1.7837989022392466e-11,1.9622322417716427e-10
