ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1865,5.877270987347012e-08,4.934139129021884e-10,2.0216893397468586e-09,3.936716413172852e-09,1.6094003114324503e-10,6.309239004258821e-10,1.4741511417274263e-06
1866,5.993770102463714e-08,4.76724144287439e-10,2.226197670651686e-09,1.7983581925205628e-09,2.051796510471604e-10,5.366149746777182e-10,1.4828345423926033e-06
1867,5.9156343062178555e-08,3.5473372652004645e-10,2.083935658957005e-09,1.821299048084971e-09,1.8739689958532527e-10,5.620446806377442e-10,1.4601345290949602e-06
1868,6.351493807090134e-08,3.430587441106374e-10,2.1599958329890765e-09,1.831085806790002e-09,1.8739689958532527e-10,8.1923987435165e-10,1.468987176979551e-06
1869,6.699486730456425e-08,3.107939738900001e-10,1.9913508619850973e-09,1.6785732327915882e-09,1.3167862831865917e-10,8.984116466643449e-10,1.452614875623632e-06
1870,6.65467625131961e-08,3.42027592755859e-10,2.053818099716815e-09,1.772274089389165e-09,2.1615154904048543e-10,6.964572728053651e-10,1.4688525230407582e-06
1871,8.82429413349785e-08,5.383888374803953e-10,1.8393613774949002e-09,1.746197852980913e-09,2.1615154904048543e-10,9.80489721160081e-10,1.451353049170783e-06
1872,1.0297268510888508e-07,5.383888374803953e-10,1.908165435184271e-09,1.7707753517472368e-09,2.128767083244197e-10,1.0591183009976491e-09,1.4479829165533635e-06
1873,1.0568943713857542e-07,5.721667227311298e-10,1.8767802391548928e-09,2.0619219189198036e-09,2.0764584099782927e-10,1.0486565663444684e-09,1.3984464106085528e-06
1874,1.1358100339618562e-07,6.516481521057216e-10,1.7297841571815654e-09,1.7922319501500234e-09,2.836555236727735e-10,1.0417130808753378e-09,1.3777909901234255e-06
1875,1.1248999547725752e-07,6.870665147928889e-10,1.6922108159178606e-09,1.69321521882791e-09,3.2377055401790397e-10,9.286063505444173e-10,1.3407532963226134e-06
1876,1.1212385585070348e-07,6.462267268922009e-10,1.7984294688387438e-09,1.6473598358451064e-09,4.770984916659313e-10,8.494345782317225e-10,1.3205916827376183e-06
1877,1.303983978573342e-07,5.195173458094615e-10,1.7197690731813558e-09,1.6517000782962604e-09,4.6252891596130855e-10,7.649616575098963e-10,1.2971972864761483e-06
1878,1.1439187578129609e-07,4.574877738543799e-10,1.7388916179988151e-09,1.7796787059915736e-09,4.988142755988991e-10,5.534999284303613e-10,1.2900253198365265e-06
1879,1.0434946671823906e-07,6.669706493449873e-10,1.7026642318285212e-09,1.7434513198212797e-09,5.276901931290062e-10,4.306447975999106e-10,1.2717682368799745e-06
1880,1.0444703844671364e-07,6.547265111020043e-10,2.06057203046482e-09,1.4726663698029695e-09,4.886814405516812e-10,4.512873408302198e-10,1.2830019094118533e-06
