ngram,honey,hoey,hony
1898,1.2500041131196277e-05,1.702814651188029e-09,4.3985160402826295e-08
1899,1.2473861456133559e-05,1.430081196320186e-09,4.3969583275936334e-08
1900,1.1963424575307207e-05,1.314772830290118e-09,4.813609828196215e-08
1901,1.2007717357066991e-05,8.630272012905798e-10,5.1086535129180836e-08
1902,1.2284431769720478e-05,1.231377456350253e-09,5.3910314181036615e-08
1903,1.1947509717304325e-05,1.1594710628123499e-09,5.6687385198626675e-08
1904,1.2176841145057032e-05,1.2092709413190151e-09,5.923232393456601e-08
1905,1.247868021891918e-05,8.817926220554867e-10,6.117781379901186e-08
1906,1.2583984503830184e-05,8.035391548572817e-10,6.253952682706248e-08
1907,1.3109092053907392e-05,8.328395027195385e-10,5.754239802107415e-08
1908,1.303116433908664e-05,8.671883954972489e-10,5.1296206647423655e-08
1909,1.2623707724352634e-05,3.6442069600057485e-10,4.61183733741726e-08
1910,1.2595723741729411e-05,3.419857849288174e-10,4.1246124991646734e-08
1911,1.2341492817670638e-05,2.1328005829688935e-10,3.830005696719192e-08
1912,1.216246801050147e-05,2.124473037966114e-10,3.44345441050109e-08
1913,1.1846410026399618e-05,2.8150276355974416e-10,2.9778482410084247e-08
1914,1.1598854533596231e-05,2.814353948301017e-10,2.5405589505161126e-08
1915,1.14384340901909e-05,2.1281312823084875e-10,2.5030781257230827e-08
1916,1.1656160365548982e-05,2.2913584422713995e-10,2.5119778257476355e-08
1917,1.1695841619387335e-05,2.1574564456378857e-10,2.4934158864604276e-08
1918,1.1887486055327048e-05,2.3052819078265126e-10,2.4697253765891347e-08
1919,1.2053435317024455e-05,2.1611408297848656e-10,2.4414537946881865e-08
1920,1.2815732329077686e-05,5.336584547282236e-10,2.526507460385931e-08
1921,1.4284350982052274e-05,5.325370838749066e-10,2.5877110993682047e-08
1922,1.4917267435521353e-05,5.566883799173234e-10,2.7813875393332766e-08
1923,1.5550891345940598e-05,5.511380994440072e-10,3.3059763942284396e-08
1924,1.6762201604641242e-05,5.720496913465465e-10,3.7536695022108036e-08
1925,1.748292873214398e-05,5.432892132205071e-10,4.015591795588794e-08
1926,1.7800195304776673e-05,6.349810657438734e-10,4.3389678136155196e-08
1927,1.767433578996653e-05,3.9925829111085523e-10,4.342414960945007e-08
1928,1.716905795287208e-05,4.167656557165143e-10,4.404721996666337e-08
1929,1.7231238546498518e-05,5.190433460018034e-10,4.3182447332209706e-08
1930,1.705431999913084e-05,5.489446873254065e-10,4.1431326940661554e-08
1931,1.6054413858260625e-05,5.263346365889734e-10,4.23140554975784e-08
1932,1.57401353655067e-05,5.263346365889734e-10,4.177512304335908e-08
1933,1.5217485010258055e-05,5.50478577403852e-10,3.932218487331543e-08
1934,1.4821746195333877e-05,4.13507297847282e-10,4.064511673261352e-08
1935,1.3897509364012097e-05,5.456669897675934e-10,4.042244558125471e-08
1936,1.3546849394125665e-05,6.076748885832015e-10,3.7636356253756276e-08
1937,1.2906520298981508e-05,6.205473575469713e-10,3.529703132950804e-08
1938,1.2843443723146006e-05,9.858548620313356e-10,3.112427928085383e-08
1939,1.2468733984860592e-05,9.858548620313356e-10,2.7437670040748278e-08
1940,1.2756122876973158e-05,8.700190686930906e-10,2.6252189374734566e-08
1941,1.2776105514993625e-05,9.629761749912242e-10,2.426431005326484e-08
1942,1.2776985126298054e-05,8.350136019138635e-10,2.259416717212811e-08
1943,1.2529115338111296e-05,6.894833672253599e-10,2.2810890573258088e-08
1944,1.2349919675866009e-05,6.98041402458216e-10,2.111651818483194e-08
1945,1.2039891771564726e-05,4.0034799285239483e-10,1.8911382047649894e-08
1946,1.1852716592589527e-05,4.665404094796242e-10,2.0072489448352826e-08
1947,1.1405728270931701e-05,4.996543615362217e-10,2.078348667769855e-08
1948,1.0916636451189074e-05,3.7886150565975234e-10,2.0387679608039174e-08
