ngram,construction,constructin,constructon,constructio
1843,6.110315734986216e-05,6.589488129752194e-09,2.263348191406627e-09,2.0937422081804665e-08
1844,6.296068074464398e-05,6.88359972197564e-09,2.7762939566347964e-09,2.2241771218440524e-08
1845,6.346783889707044e-05,7.998614659499026e-09,2.3942950796599203e-09,2.1104991659066334e-08
1846,6.546625653364962e-05,9.066974282490037e-09,2.688714774633029e-09,2.2267113232641933e-08
1847,6.756098654087899e-05,1.0371700514306376e-08,3.0829920521264445e-09,2.3498987263995526e-08
1848,7.091457830808525e-05,1.1573048995318556e-08,3.3958281583526937e-09,2.5186052608562803e-08
1849,7.31997549467321e-05,1.4207626694176919e-08,3.49336366183601e-09,2.258916203296784e-08
1850,7.37592313920946e-05,1.566065144231743e-08,3.628929442659309e-09,2.1299317357456208e-08
1851,7.55189175833948e-05,1.7749270117154277e-08,3.750386953374882e-09,2.065875318432323e-08
1852,7.802110693384228e-05,1.771697848746661e-08,3.5704078106744775e-09,2.238196929381177e-08
1853,7.936742414520788e-05,1.8303771577775152e-08,3.386459208292487e-09,2.1883439568374082e-08
1854,8.049860272356974e-05,1.9323799322583975e-08,3.4975341670470274e-09,2.451946201631472e-08
1855,8.069620214103322e-05,1.954044304142144e-08,4.164755429414413e-09,2.42329871724678e-08
1856,8.012309782705935e-05,1.773309182035681e-08,3.7683750088644635e-09,2.492956977359232e-08
1857,8.006359192742301e-05,1.6233319958100116e-08,4.06183055444233e-09,2.4683280689227364e-08
1858,7.92357261941236e-05,1.5956351160996618e-08,3.387751484102657e-09,2.5940985740443726e-08
1859,7.924744360414999e-05,1.619736598814013e-08,3.825902586803867e-09,2.4037678894980478e-08
1860,7.876471188085685e-05,1.6834159463233585e-08,3.976048863168253e-09,2.3266898883735265e-08
1861,7.914206279175622e-05,1.5448146254267873e-08,4.223311581405145e-09,1.990008196323905e-08
1862,7.853516893062209e-05,1.5222160928577263e-08,3.228994873070791e-09,1.9355869668962507e-08
1863,7.956867921166122e-05,1.6728878726723906e-08,3.6965690746499594e-09,1.8031040660559938e-08
1864,8.113704825518653e-05,1.8582549594319582e-08,3.400490008623588e-09,1.90539603143033e-08
1865,8.313887000050662e-05,1.9019365384208087e-08,4.125587443099781e-09,1.7706156921600983e-08
1866,8.407660373320271e-05,1.9840031205222075e-08,3.7759015755359624e-09,2.063946448669997e-08
1867,8.656456754709194e-05,2.0031205012165694e-08,4.454676199345491e-09,2.091439402615184e-08
1868,8.826168050291017e-05,2.160785861349268e-08,4.043817994744561e-09,2.1733370658694184e-08
1869,9.134019429828706e-05,2.2481469130752885e-08,4.581888043578683e-09,2.1831395865693333e-08
1870,9.35054143025939e-05,2.2867628806417476e-08,4.2037115058743015e-09,2.3332031164256606e-08
1871,9.55703591379071e-05,2.3067030698241198e-08,4.4015344702330594e-09,2.373723693795325e-08
1872,9.630305534561298e-05,2.404996887353913e-08,4.707877865328669e-09,2.4148472428058606e-08
1873,9.811444760998711e-05,2.5626622094218225e-08,4.811604162721242e-09,2.1627870288349575e-08
1874,9.831579518504441e-05,2.5326500515835245e-08,4.956311393046673e-09,2.1499047367764693e-08
1875,9.919155023193785e-05,2.6146979692498462e-08,4.944763075189127e-09,2.118691228807685e-08
1876,9.887989394233696e-05,2.703828348517488e-08,5.539266252035142e-09,2.0494604743451613e-08
1877,9.827718895394355e-05,2.7285583570346716e-08,5.97031135640691e-09,1.9889967387395505e-08
1878,9.812802142862762e-05,2.7646581151381204e-08,6.277385817503906e-09,1.7738322429953054e-08
1879,9.910221394550587e-05,2.7256998689852352e-08,5.759186619666171e-09,1.7587628750196212e-08
1880,9.908553745065416e-05,2.6565205146766857e-08,5.70636436515924e-09,1.804859360378584e-08
1881,0.0001002535708331769,2.6844083019942185e-08,4.742142393051754e-09,1.912001591973324e-08
1882,0.00010075326385309122,2.5442344865820943e-08,4.649676960915323e-09,1.9474279585754824e-08
1883,0.00010259688860969618,2.5080542087607682e-08,3.943224889470441e-09,2.017824130007284e-08
1884,0.00010418080949291055,2.531987901883375e-08,3.3573535380375982e-09,1.9565570497093177e-08
1885,0.00010539687458991207,2.5660244976474393e-08,2.8130230525899182e-09,1.967405083291851e-08
1886,0.0001059425703715533,2.5336417916069616e-08,3.15017596135598e-09,1.965103356228935e-08
1887,0.00010705185975114415,2.637326522249493e-08,3.2095550661637162e-09,1.9651949147357428e-08
1888,0.00010747121892304026,2.723100373762983e-08,3.645415937368414e-09,1.8816886588573263e-08
1889,0.00010889739184806655,2.7550661688532533e-08,4.434191331575172e-09,1.842353368277015e-08
1890,0.00010936405929637008,2.7490299814303398e-08,4.407674320765815e-09,1.849812899682287e-08
1891,0.00010985178440543158,2.7263295113552236e-08,4.890340228007923e-09,1.8719106011287423e-08
1892,0.00011105194010139843,2.706796463160442e-08,5.431555998620346e-09,1.8362558331018264e-08
1893,0.0001116915071699103,2.650252385803599e-08,4.973311254882365e-09,1.764303179742553e-08
1894,0.00011318556997658951,2.4886512913927357e-08,5.3705781092158335e-09,1.7464372424415486e-08
1895,0.00011395186343829014,2.3815395116295283e-08,5.561371268265296e-09,1.692355144911062e-08
1896,0.00011357844674161502,2.322829547754931e-08,5.333321815927304e-09,1.591008239440076e-08
1897,0.00011336649809631385,2.203468772523008e-08,5.788260410659924e-09,1.5280481388150032e-08
