ngram,moment,moment,momet,momnt
1752,4.2477464635989494e-05,4.2477464635989494e-05,4.955280376504691e-09,0.0
1753,4.540988863612126e-05,4.540988863612126e-05,4.955280376504691e-09,0.0
1754,4.844992820705686e-05,4.844992820705686e-05,4.955280376504691e-09,0.0
1755,5.0235021002923273e-05,5.0235021002923273e-05,4.955280376504691e-09,0.0
1756,5.0931177871201984e-05,5.0931177871201984e-05,0.0,0.0
1757,5.234746848665444e-05,5.234746848665444e-05,0.0,0.0
1758,5.3334602333572025e-05,5.3334602333572025e-05,0.0,0.0
1759,5.515886056985307e-05,5.515886056985307e-05,0.0,0.0
1760,5.5554737108260656e-05,5.5554737108260656e-05,0.0,0.0
1761,5.432693329307118e-05,5.432693329307118e-05,0.0,0.0
1762,5.4267266282944805e-05,5.4267266282944805e-05,0.0,0.0
1763,5.759170640625858e-05,5.759170640625858e-05,0.0,0.0
1764,6.239504052375975e-05,6.239504052375975e-05,0.0,0.0
1765,6.70837180223316e-05,6.70837180223316e-05,0.0,0.0
1766,6.904457820512886e-05,6.904457820512886e-05,0.0,0.0
1767,7.296787537468065e-05,7.296787537468065e-05,0.0,0.0
1768,7.59154484382764e-05,7.59154484382764e-05,0.0,0.0
1769,7.950548440151448e-05,7.950548440151448e-05,0.0,0.0
1770,8.110446443814518e-05,8.110446443814518e-05,0.0,0.0
1771,8.148459892254323e-05,8.148459892254323e-05,0.0,0.0
1772,8.074980723904446e-05,8.074980723904446e-05,0.0,0.0
1773,8.12892010019693e-05,8.12892010019693e-05,0.0,0.0
1774,8.367249496846593e-05,8.367249496846593e-05,0.0,0.0
1775,8.593094909364092e-05,8.593094909364092e-05,5.777378321779127e-09,0.0
1776,8.894581281180893e-05,8.894581281180893e-05,5.777378321779127e-09,0.0
1777,9.305114820433249e-05,9.305114820433249e-05,5.777378321779127e-09,0.0
1778,9.320282905329285e-05,9.320282905329285e-05,5.777378321779127e-09,0.0
1779,9.632512228563428e-05,9.632512228563428e-05,5.777378321779127e-09,0.0
1780,0.00010110774642920919,0.00010110774642920919,5.777378321779127e-09,0.0
1781,0.00010206284683330782,0.00010206284683330782,5.777378321779127e-09,0.0
1782,0.00010560779108865452,0.00010560779108865452,0.0,0.0
1783,0.00010936751225796928,0.00010936751225796928,0.0,0.0
1784,0.00010934669782208013,0.00010934669782208013,0.0,0.0
1785,0.00011215461563551798,0.00011215461563551798,0.0,0.0
1786,0.00011269874292858211,0.00011269874292858211,0.0,0.0
1787,0.00011197257845196873,0.00011197257845196873,1.2891416188511228e-09,0.0
1788,0.00011349450713688774,0.00011349450713688774,3.90224576461508e-09,0.0
1789,0.00011751612432167999,0.00011751612432167999,3.90224576461508e-09,0.0
1790,0.0001183267418777437,0.0001183267418777437,5.007094167857369e-09,0.0
1791,0.00012247046938032975,0.00012247046938032975,5.007094167857369e-09,0.0
1792,0.00012783525640510822,0.00012783525640510822,5.007094167857369e-09,0.0
1793,0.00013171114239542346,0.00013171114239542346,5.007094167857369e-09,0.0
1794,0.0001356656014520143,0.0001356656014520143,4.715938116208105e-09,0.0
1795,0.00013642447551579347,0.00013642447551579347,2.102833970444148e-09,0.0
1796,0.00013780035702179054,0.00013780035702179054,3.050995583160037e-09,0.0
1797,0.00014395782740653625,0.00014395782740653625,1.9461471799177487e-09,0.0
1798,0.00014250316183149283,0.00014250316183149283,1.9461471799177487e-09,5.786566781296187e-10
1799,0.00014210897331525172,0.00014210897331525172,1.9461471799177487e-09,5.786566781296187e-10
1800,0.00014069471217226237,0.00014069471217226237,3.5928028171586644e-09,5.786566781296187e-10
1801,0.00014287561394407282,0.00014287561394407282,3.059157720792476e-09,5.786566781296187e-10
1802,0.0001451164945527645,0.0001451164945527645,4.7956649128013035e-09,5.786566781296187e-10
