ngram,paint,pint,pat,pint
1732,7.116061559437574e-06,2.459038918394591e-06,2.5306629010758897e-06,2.459038918394591e-06
1733,7.163160522135773e-06,2.467323448789622e-06,2.5293292245416003e-06,2.467323448789622e-06
1734,7.088192757821941e-06,2.547024304736364e-06,2.7579895426502584e-06,2.547024304736364e-06
1735,7.578112607526626e-06,2.650368774733839e-06,2.8609929034116377e-06,2.650368774733839e-06
1736,7.32101651530164e-06,3.896214561141928e-06,2.7510027718692853e-06,3.896214561141928e-06
1737,7.0626277062858985e-06,3.991138815503551e-06,2.645165360653274e-06,3.991138815503551e-06
1738,7.2059503639008786e-06,4.170580674716413e-06,2.2615249041077083e-06,4.170580674716413e-06
1739,5.731851160817314e-06,3.5427612731707214e-06,2.300587311765412e-06,3.5427612731707214e-06
1740,5.732166235767571e-06,3.6985194680840195e-06,2.497857329737079e-06,3.6985194680840195e-06
1741,5.6312411678456035e-06,3.78444003347665e-06,2.358812155632352e-06,3.78444003347665e-06
1742,5.517669706023298e-06,4.049961262353463e-06,2.2137636181339204e-06,4.049961262353463e-06
1743,5.2977201383847775e-06,2.916963109912883e-06,2.2588305747766365e-06,2.916963109912883e-06
1744,5.651453940507574e-06,2.7856076647887155e-06,2.510528880910507e-06,2.7856076647887155e-06
1745,5.979994154716094e-06,2.72471040066843e-06,2.582501484279679e-06,2.72471040066843e-06
1746,7.077468353600125e-06,4.714009199752971e-06,2.5348731956650487e-06,4.714009199752971e-06
1747,7.470006136957506e-06,4.724796407832141e-06,2.507372869331448e-06,4.724796407832141e-06
1748,7.598142701681354e-06,4.911063976058878e-06,2.4529895361930746e-06,4.911063976058878e-06
1749,7.711657125193077e-06,4.893646243025225e-06,2.517920864063074e-06,4.893646243025225e-06
1750,8.59708630481951e-06,4.347471060230289e-06,2.5283692204019256e-06,4.347471060230289e-06
1751,9.288824068270124e-06,5.242313916044493e-06,2.3514173140678655e-06,5.242313916044493e-06
1752,9.467861738292932e-06,5.469197373843469e-06,2.243211091419133e-06,5.469197373843469e-06
1753,9.553633974844291e-06,4.481262392021433e-06,2.1869688810381504e-06,4.481262392021433e-06
1754,9.548232875593904e-06,5.947231232182405e-06,2.0013020665438878e-06,5.947231232182405e-06
1755,1.0287293142547632e-05,6.744162647009944e-06,1.9804958161070578e-06,6.744162647009944e-06
1756,1.0202082194155082e-05,7.065538446633062e-06,2.127654478759463e-06,7.065538446633062e-06
1757,1.0814978460465291e-05,7.282524945497114e-06,2.237798915822558e-06,7.282524945497114e-06
1758,1.0493835101702384e-05,6.979233473560141e-06,2.1590913417769897e-06,6.979233473560141e-06
1759,1.0645721886248793e-05,6.786588755858247e-06,2.1292858686397916e-06,6.786588755858247e-06
1760,1.0112129010459675e-05,6.089625523080551e-06,2.0747175507754686e-06,6.089625523080551e-06
1761,1.1013855847912574e-05,6.441913748338786e-06,2.0512699653149217e-06,6.441913748338786e-06
1762,1.0933997015984329e-05,6.855130972586007e-06,2.134809652229056e-06,6.855130972586007e-06
1763,1.1165087796273707e-05,7.037242150025642e-06,2.0486300270152114e-06,7.037242150025642e-06
1764,1.0632317233622806e-05,7.656479153540983e-06,2.008081829834347e-06,7.656479153540983e-06
1765,1.0471783882946642e-05,8.21690556611949e-06,2.1029762007986264e-06,8.21690556611949e-06
1766,1.0902530188364576e-05,9.140553077356475e-06,2.138269110218971e-06,9.140553077356475e-06
1767,1.1478467448406654e-05,1.0988286963506003e-05,2.2189042608390863e-06,1.0988286963506003e-05
1768,1.0734935780679475e-05,1.0470528000691307e-05,2.3239020785175465e-06,1.0470528000691307e-05
1769,1.0560038000611322e-05,1.0408932342085922e-05,2.361177199158452e-06,1.0408932342085922e-05
1770,1.0643012501532212e-05,1.0688497111134763e-05,2.472889458918611e-06,1.0688497111134763e-05
