ngram,football,fotball,footbal,foootball
1901,3.2872122314334514e-06,2.1419094275998418e-10,1.2320891291344488e-09,5.637849909145842e-11
1902,3.4993009064367342e-06,2.486275233312288e-10,1.2693389514087779e-09,1.3851703316105001e-10
1903,3.7312915992515627e-06,2.6456666817648815e-10,1.399932868041885e-09,1.7039532285156866e-10
1904,3.828047933244047e-06,2.9355113379774574e-10,1.396725505095223e-09,1.7039532285156866e-10
1905,3.848053698415502e-06,3.2404485840663103e-10,1.440965117068974e-09,1.7039532285156866e-10
1906,3.918396487279097e-06,3.132491765978074e-10,1.362033113278776e-09,1.7039532285156866e-10
1907,4.067577590051639e-06,3.3228822867873275e-10,1.4821398473609447e-09,1.8162506617728066e-10
1908,4.161429225340336e-06,3.460882057128499e-10,1.4822908852732804e-09,1.644883792665094e-10
1909,4.10232623185688e-06,3.1165162514160526e-10,1.6201966355845953e-09,6.117863755277547e-11
1910,4.0658047575042085e-06,3.232602598300462e-10,1.4580394114283024e-09,2.930034786225682e-11
1911,4.198122724119457e-06,3.316107666240242e-10,1.5408784724359391e-09,2.930034786225682e-11
1912,4.411469165331385e-06,3.2994525762346834e-10,1.5902073626149006e-09,2.930034786225682e-11
1913,4.489329837399834e-06,3.107790691458945e-10,1.7079350314982582e-09,2.930034786225682e-11
1914,4.412471948203997e-06,2.5214469302164185e-10,1.5171459326929997e-09,0.0
1915,4.335821716137746e-06,1.6979796834443965e-10,1.4914724534774238e-09,6.3754890256007e-11
1916,4.338091230238206e-06,2.751610041009021e-10,1.4329326138349886e-09,1.2396234039258047e-10
1917,4.349529880138496e-06,2.476132245672018e-10,1.4778993267278955e-09,1.2396234039258047e-10
1918,4.391418347690238e-06,2.34842214127554e-10,1.4695536850898146e-09,1.2396234039258047e-10
1919,4.426260180220457e-06,2.912484767247925e-10,1.622899830395446e-09,1.2396234039258047e-10
1920,4.494991539364232e-06,2.483547207173967e-10,1.5975538352514767e-09,1.2396234039258047e-10
1921,4.711697816414276e-06,2.899614477096841e-10,1.6762818117704065e-09,1.2396234039258047e-10
1922,5.02883793680147e-06,2.899614477096841e-10,1.733769826119312e-09,8.435874617899027e-11
1923,5.3737879690223574e-06,2.0915185654819217e-10,1.7669791978797938e-09,2.4151296042416804e-11
1924,5.642507533463816e-06,2.8241644935343505e-10,1.7458455474945416e-09,2.4151296042416804e-11
1925,5.87374948476541e-06,3.082912556192799e-10,1.9356101959339914e-09,7.016164633404693e-11
1926,6.276816683176938e-06,2.689027036753952e-10,1.6950813530591802e-09,9.30846094648885e-11
1927,6.587359881190683e-06,4.053329675869831e-10,1.6904485985616953e-09,9.30846094648885e-11
1928,6.872078366931029e-06,5.08776158108277e-10,1.762079046166828e-09,9.30846094648885e-11
1929,7.100221344964146e-06,5.340619553738182e-10,1.921735350217192e-09,6.89333134224717e-11
1930,7.176778516233233e-06,5.639632966974212e-10,1.9564966868834688e-09,6.89333134224717e-11
1931,7.295626346603967e-06,5.431647235162476e-10,2.184475576618082e-09,9.516632323450632e-11
1932,7.370386356342351e-06,4.977924461524452e-10,1.9825335579553335e-09,4.9155972942876196e-11
1933,7.468600740269592e-06,8.457882093106304e-10,2.3544290644090485e-09,2.6233009812034627e-11
1934,7.499331916603426e-06,7.318258201819258e-10,2.643806380169573e-09,2.6233009812034627e-11
1935,7.473498499166453e-06,5.721594131020374e-10,2.791729736273396e-09,2.6233009812034627e-11
1936,7.387870157669697e-06,6.096859108842675e-10,2.8608255764339674e-09,4.7170442155472105e-11
1937,7.438903464519951e-06,5.552311249656938e-10,2.865948145469588e-09,6.961285912789248e-11
1938,7.413635817751388e-06,6.115263593128465e-10,2.6547809664886503e-09,4.337984931585786e-11
1939,7.369886848859356e-06,7.870353158872285e-10,3.0133035749153284e-09,4.337984931585786e-11
1940,6.992801510412912e-06,4.189868888345874e-10,2.913692176420568e-09,4.337984931585786e-11
1941,6.8023401971523915e-06,3.9651901405170417e-10,2.700295352399605e-09,4.337984931585786e-11
1942,6.709484166224554e-06,4.712431536261061e-10,2.704193504042353e-09,4.337984931585786e-11
1943,6.798955642547558e-06,5.156974827328195e-10,2.4780088933188236e-09,8.680239463717702e-11
1944,6.77520152489056e-06,5.915827728480189e-10,2.5173279809871066e-09,6.435997766475663e-11
1945,6.910490680768687e-06,6.705157282579524e-10,2.687997649860766e-09,1.0189881874797128e-10
1946,7.05693927167366e-06,9.67806666157018e-10,2.5540316686952937e-09,1.0189881874797128e-10
1947,7.158639294045445e-06,9.751273558463884e-10,2.4982722715957297e-09,1.0189881874797128e-10
1948,7.360073206135505e-06,1.1290273596983473e-09,2.6566079970789603e-09,1.0189881874797128e-10
1949,7.461577362326872e-06,1.0543032201239454e-09,2.446349456342034e-09,1.189049810993278e-10
1950,7.499342635648125e-06,9.80876546652354e-10,2.7823221187312744e-09,7.146497877601782e-11
1951,7.423773435480793e-06,9.049912565371545e-10,2.731455411059918e-09,8.801407717719454e-11
1952,7.227068830876046e-06,7.643488937019477e-10,2.59775375813628e-09,5.0475236093979905e-11
1953,7.0389358240520646e-06,3.3066269960231e-10,2.4193897044507852e-09,5.0475236093979905e-11
1954,7.057681224458585e-06,3.1206470344332816e-10,2.5237288449529517e-09,7.950714788921128e-11
1955,6.91000501059794e-06,1.7265895162012412e-10,2.3953966429449534e-09,9.400139991796611e-11
1956,6.68922854986574e-06,2.1306296905348228e-10,2.440138472234058e-09,1.1739925499996773e-10
1957,6.5165804049424225e-06,2.3019792124077754e-10,2.3148509775694492e-09,1.0047927965852109e-10
1958,6.43150230774024e-06,2.8970696179321717e-10,2.241061495108657e-09,9.583198916957819e-11
1959,6.33692187485784e-06,2.878308712404655e-10,2.2480028315032185e-09,9.583198916957819e-11
1960,6.227992019246033e-06,2.5683750860221773e-10,2.4467665988530437e-09,9.583198916957819e-11
1961,6.066095790759261e-06,2.5357712160215383e-10,2.393977270388957e-09,8.931121516945036e-11
1962,5.893106065611521e-06,2.492846256799527e-10,2.478881449314534e-09,9.522047535380298e-11
1963,5.887148290639743e-06,2.4849603426556147e-10,2.6516307245166057e-09,1.043357394528829e-10
1964,5.758141014666762e-06,2.3349437165500117e-10,2.566098191079748e-09,1.043357394528829e-10
1965,5.686218888253539e-06,2.2687582070960285e-10,2.6625900531992588e-09,1.1887917634416974e-10
1966,5.6639712186422135e-06,2.784238524257608e-10,2.9116171695875437e-09,1.8922374778185258e-10
