ngram,breath,breth,brath,breath
1870,2.6938818856641384e-05,6.058007682798103e-08,5.161675785205131e-09,2.6938818856641384e-05
1871,2.6797082162894575e-05,5.973350576076492e-08,5.473246173741992e-09,2.6797082162894575e-05
1872,2.6715305336568106e-05,6.294926890859642e-08,5.447047448013466e-09,2.6715305336568106e-05
1873,2.651025897648651e-05,6.257058414251202e-08,5.928006910746067e-09,2.651025897648651e-05
1874,2.5964669735653194e-05,5.554594041866169e-08,5.191474932481859e-09,2.5964669735653194e-05
1875,2.540443788997696e-05,5.591122993158544e-08,4.465481191167393e-09,2.540443788997696e-05
1876,2.5334011817384245e-05,5.8380052284486994e-08,4.878355687663673e-09,2.5334011817384245e-05
1877,2.528246061826524e-05,6.228550018607035e-08,3.973875926734292e-09,2.528246061826524e-05
1878,2.515937818056305e-05,6.347146909644965e-08,4.112395662098882e-09,2.515937818056305e-05
1879,2.5030685719684698e-05,6.080458397101601e-08,4.657627331435979e-09,2.5030685719684698e-05
1880,2.5300829033117873e-05,5.930695376069447e-08,4.876296921807466e-09,2.5300829033117873e-05
1881,2.5490450103201772e-05,6.085936224816838e-08,4.990979534420197e-09,2.5490450103201772e-05
1882,2.5351508676456952e-05,6.18695682622469e-08,5.1856704010231985e-09,2.5351508676456952e-05
1883,2.4897686151754378e-05,5.966641530059341e-08,4.784798367042851e-09,2.4897686151754378e-05
1884,2.454902382201648e-05,5.815843299014237e-08,5.393867574809974e-09,2.454902382201648e-05
1885,2.4406872398685664e-05,5.386842159639725e-08,5.16884325816948e-09,2.4406872398685664e-05
1886,2.4057771172790255e-05,5.196339409556978e-08,4.544295447875665e-09,2.4057771172790255e-05
1887,2.373048612623409e-05,4.9788309602100915e-08,3.9550759175658155e-09,2.373048612623409e-05
1888,2.3401070523375112e-05,4.9636401148031184e-08,3.755809504671756e-09,2.3401070523375112e-05
1889,2.3542127434796256e-05,4.545551896788831e-08,3.294462670920341e-09,2.3542127434796256e-05
1890,2.360207119116759e-05,4.3656870880275685e-08,4.219552199710311e-09,2.360207119116759e-05
1891,2.3523703670694624e-05,4.167314265097437e-08,3.633260613002319e-09,2.3523703670694624e-05
1892,2.3263808803416657e-05,4.129166900465212e-08,4.122981511756052e-09,2.3263808803416657e-05
1893,2.3314814305714598e-05,3.9693318854006066e-08,4.220609068588439e-09,2.3314814305714598e-05
1894,2.3017290524356732e-05,4.050647867919517e-08,4.419203986876547e-09,2.3017290524356732e-05
1895,2.3035592416168322e-05,3.92250402317781e-08,4.622294769163204e-09,2.3035592416168322e-05
1896,2.3263780739008716e-05,3.843760459127614e-08,5.015556382913035e-09,2.3263780739008716e-05
1897,2.345325239210589e-05,3.940603323014459e-08,4.5444334327372965e-09,2.345325239210589e-05
1898,2.3295315518875475e-05,4.0398738576641335e-08,4.735820973473486e-09,2.3295315518875475e-05
1899,2.3260235788516832e-05,3.8827879831972364e-08,4.473261221755414e-09,2.3260235788516832e-05
1900,2.290780970984737e-05,3.9325049121836335e-08,4.723666093196601e-09,2.290780970984737e-05
1901,2.2792606354674456e-05,3.8276026158103246e-08,4.844657627448409e-09,2.2792606354674456e-05
1902,2.2259848524949382e-05,3.8886017453673305e-08,4.760506655543395e-09,2.2259848524949382e-05
1903,2.1186197305464054e-05,3.8577952007504534e-08,4.237781395640841e-09,2.1186197305464054e-05
1904,2.0374391689464183e-05,3.7018461439077196e-08,3.9227621468589695e-09,2.0374391689464183e-05
1905,1.9707582915933536e-05,3.356830013956369e-08,3.844394929381727e-09,1.9707582915933536e-05
1906,1.922173630321465e-05,3.3223440760415153e-08,3.499672551754429e-09,1.922173630321465e-05
1907,1.8876095574731672e-05,3.201221662355433e-08,3.5772505592644522e-09,1.8876095574731672e-05
1908,1.806916433062205e-05,3.027221825594292e-08,3.2554433751893643e-09,1.806916433062205e-05
1909,1.769420487107709e-05,2.8314396668552685e-08,2.980078279384608e-09,1.769420487107709e-05
1910,1.7239062799490057e-05,2.74718041331263e-08,2.7266166943310364e-09,1.7239062799490057e-05
1911,1.6777598700303186e-05,2.5887825470606784e-08,2.5781243330667637e-09,1.6777598700303186e-05
1912,1.6221674741245806e-05,2.6588043766651026e-08,2.140386376073674e-09,1.6221674741245806e-05
1913,1.55852343855908e-05,2.560447244702248e-08,2.396224964483297e-09,1.55852343855908e-05
1914,1.4974902114772703e-05,2.4162085919345244e-08,1.9415643378753853e-09,1.4974902114772703e-05
1915,1.4660243713089066e-05,2.3230279921904184e-08,1.7875033834055136e-09,1.4660243713089066e-05
1916,1.4286814413415933e-05,2.1822112497967997e-08,1.7376611260999653e-09,1.4286814413415933e-05
1917,1.4207351861322032e-05,2.0978952289648793e-08,1.9637986950879085e-09,1.4207351861322032e-05
1918,1.4083043164906225e-05,2.0621270151772412e-08,1.9862250733027054e-09,1.4083043164906225e-05
1919,1.4307255696621723e-05,1.8546546393898618e-08,2.0545451213343266e-09,1.4307255696621723e-05
1920,1.453092032274331e-05,1.8365681546989824e-08,1.968238191477464e-09,1.453092032274331e-05
1921,1.4626021246450754e-05,1.7664322068558898e-08,2.0301069238369352e-09,1.4626021246450754e-05
1922,1.4944744829595688e-05,1.7632184981916258e-08,2.4102607687481736e-09,1.4944744829595688e-05
1923,1.5147063355211035e-05,1.8167194605821024e-08,2.7983189257848753e-09,1.5147063355211035e-05
1924,1.5400676212656045e-05,1.749872094844055e-08,2.6235621928906637e-09,1.5400676212656045e-05
1925,1.5472894769378138e-05,1.746383634529788e-08,3.080747942466441e-09,1.5472894769378138e-05
1926,1.549748152943461e-05,1.7646256011971673e-08,3.1230430146728897e-09,1.549748152943461e-05
1927,1.5289485937890796e-05,1.7453769223558472e-08,3.0019386976221085e-09,1.5289485937890796e-05
1928,1.5092497181155653e-05,1.722267966337248e-08,2.9945364600690384e-09,1.5092497181155653e-05
1929,1.4789780314978479e-05,1.7269021514364014e-08,2.59077145451211e-09,1.4789780314978479e-05
1930,1.4489027827429319e-05,1.6901676502811824e-08,2.3581188589107326e-09,1.4489027827429319e-05
1931,1.4097435528778338e-05,1.6901877104252046e-08,2.5336317171260295e-09,1.4097435528778338e-05
1932,1.4057860296036648e-05,1.6384812110256267e-08,2.010893420033101e-09,1.4057860296036648e-05
1933,1.393666337077905e-05,1.6059526534003713e-08,1.8750650238834918e-09,1.393666337077905e-05
1934,1.3850938947663443e-05,1.5713868301807972e-08,2.1866397105694902e-09,1.3850938947663443e-05
1935,1.3780259126048935e-05,1.6152264287987757e-08,2.068482195051656e-09,1.3780259126048935e-05
1936,1.3461064034865039e-05,1.4557498698560981e-08,2.2098914761617803e-09,1.3461064034865039e-05
1937,1.3370296073844656e-05,1.5192697005212656e-08,2.187786650255573e-09,1.3370296073844656e-05
1938,1.2994767140688574e-05,1.5069030341002028e-08,2.116094505970929e-09,1.2994767140688574e-05
1939,1.2720049068905479e-05,1.5058381081749824e-08,2.0290262010241075e-09,1.2720049068905479e-05
1940,1.2295564634509251e-05,1.5593277399464763e-08,2.1247887100577553e-09,1.2295564634509251e-05
1941,1.2187830309682926e-05,1.5613043429547295e-08,1.8112989996765805e-09,1.2187830309682926e-05
1942,1.2037251378517664e-05,1.4682606241933627e-08,1.879915080747553e-09,1.2037251378517664e-05
1943,1.2258618621022574e-05,1.5386867145496452e-08,1.951497534997364e-09,1.2258618621022574e-05
1944,1.22652059612197e-05,1.4218185612995576e-08,1.9528739895032945e-09,1.22652059612197e-05
1945,1.2395894243257186e-05,1.3568376771339835e-08,1.7362239186040946e-09,1.2395894243257186e-05
1946,1.2266148197730737e-05,1.2900271961768794e-08,1.768888916294945e-09,1.2266148197730737e-05
1947,1.2337848472400634e-05,1.4462446859145724e-08,1.6765260529056597e-09,1.2337848472400634e-05
1948,1.2263966969580256e-05,1.331912561194518e-08,1.565118915422151e-09,1.2263966969580256e-05
1949,1.229019770627409e-05,1.4978684705267498e-08,1.6640635932699662e-09,1.229019770627409e-05
1950,1.2059095232481403e-05,1.3782977299164095e-08,1.4177969036894516e-09,1.2059095232481403e-05
1951,1.1890619654358098e-05,1.3562554888681331e-08,1.504167433465296e-09,1.1890619654358098e-05
1952,1.1780688120260102e-05,1.428143800045031e-08,1.4668851847484836e-09,1.1780688120260102e-05
1953,1.1753317396921506e-05,1.5240488490267775e-08,1.4574376308981333e-09,1.1753317396921506e-05
1954,1.161835202115721e-05,1.514234578995196e-08,1.4805752972841496e-09,1.161835202115721e-05
1955,1.14385949408253e-05,1.5170680204131974e-08,1.5322005727672457e-09,1.14385949408253e-05
1956,1.1178648622132772e-05,1.3630771051558505e-08,1.3168275279719565e-09,1.1178648622132772e-05
1957,1.1054871070622799e-05,1.3830832733065433e-08,1.4277747634976785e-09,1.1054871070622799e-05
1958,1.0971012021140528e-05,1.5550254798110278e-08,1.1237707986389012e-09,1.0971012021140528e-05
1959,1.091302614700648e-05,1.5219240090402764e-08,1.5943640296889328e-09,1.091302614700648e-05
1960,1.083679853763897e-05,1.506379846257947e-08,1.6017760689252774e-09,1.083679853763897e-05
