ngram,office,ofice,offce,ofice
1677,4.246526805218309e-05,3.3037545270937177e-07,6.71723958995634e-08,3.3037545270937177e-07
1678,4.457416434888728e-05,2.912652600376272e-07,8.70909673267306e-08,2.912652600376272e-07
1679,4.179735723092952e-05,3.374087985516131e-07,8.70909673267306e-08,3.374087985516131e-07
1680,4.298919286936455e-05,4.460203716202419e-07,8.70909673267306e-08,4.460203716202419e-07
1681,4.312593721676551e-05,4.460203716202419e-07,8.70909673267306e-08,4.460203716202419e-07
1682,3.8880040197649836e-05,4.460203716202419e-07,1.072520002968044e-07,4.460203716202419e-07
1683,3.4516954266499465e-05,1.8834130953239635e-07,1.072520002968044e-07,1.8834130953239635e-07
1684,3.4697179476747154e-05,1.5475511158261464e-07,4.0079604397240994e-08,1.5475511158261464e-07
1685,2.8069655335067572e-05,1.5475511158261464e-07,2.016103297007378e-08,1.5475511158261464e-07
1686,2.823173508659238e-05,1.362407796737638e-07,2.016103297007378e-08,1.362407796737638e-07
1687,2.582555927282166e-05,2.762920660513503e-08,2.016103297007378e-08,2.762920660513503e-08
