ngram,court,crt,cout,curt
1713,2.2813022496848134e-05,5.200099297196305e-08,2.686089065459133e-08,2.18983690355604e-07
1714,2.0010914275709573e-05,3.984853995981601e-08,2.686089065459133e-08,2.016695524227024e-07
1715,2.0417085514574345e-05,4.152502595746098e-08,2.853737665223629e-08,1.7608492441922863e-07
1716,2.0866192634067765e-05,5.037998412100413e-08,2.853737665223629e-08,1.520348921043738e-07
1717,1.9055554730584845e-05,1.0386982398001368e-07,1.132235334060689e-08,1.2524625095774615e-07
1718,2.03685661160437e-05,1.0771043536448945e-07,1.906410978287048e-08,1.3298800740000972e-07
1719,2.1283281317404805e-05,1.0771043536448945e-07,1.906410978287048e-08,1.2443090976635825e-07
1720,2.3558290844708347e-05,1.0595354841111007e-07,1.906410978287048e-08,9.752421549689774e-08
1721,2.4111846999273568e-05,1.147136064868651e-07,1.906410978287048e-08,7.838099439335825e-08
1722,3.3354290930479434e-05,1.1884642654130012e-07,2.3196929837305495e-08,1.2528456798983306e-07
1723,3.8822003261884674e-05,1.3469217309745674e-07,2.3196929837305495e-08,1.8086115411668808e-07
1724,3.932106587204284e-05,1.0468601223984869e-07,2.9067849587655862e-08,1.9083250738357753e-07
1725,4.139847520231602e-05,8.146074342058845e-08,2.1326093145392277e-08,1.8309075094131394e-07
1726,4.0554765811456104e-05,1.0062323647324384e-07,2.1326093145392277e-08,1.826960048642182e-07
1727,4.0603604117807534e-05,9.15621082445536e-08,2.1326093145392277e-08,1.8288348461023167e-07
1728,4.062257825613155e-05,8.928161016845998e-08,2.1326093145392277e-08,1.9584260460955454e-07
1729,3.443910723685154e-05,8.657039022149807e-08,5.870919750350367e-09,1.5178223122802592e-07
1730,3.115656987314911e-05,6.18696855017983e-08,5.870919750350367e-09,1.1257212102171771e-07
1731,3.122526244884024e-05,4.535274606658797e-08,0.0,1.0889284141057942e-07
1732,2.902441961590999e-05,4.535274606658797e-08,0.0,1.1515136526847008e-07
1733,3.231717086496896e-05,2.6190253013932567e-08,0.0,1.1642590840616712e-07
1734,3.554551481751592e-05,3.135198462749551e-08,1.0323463227125882e-08,1.5099582435189924e-07
1735,3.817810803801487e-05,2.4872424627834074e-08,1.6790389269414974e-08,1.5743748298697418e-07
1736,3.94688592807922e-05,2.8665445889990744e-08,1.6790389269414974e-08,1.5399887638117044e-07
1737,4.974170068245647e-05,4.250870233590831e-08,5.8320158607167675e-08,1.514756569065412e-07
1738,7.338573595916387e-05,4.103377904129957e-08,5.8320158607167675e-08,1.540176265889061e-07
1739,8.82862087954501e-05,4.4264695528032205e-08,5.8320158607167675e-08,1.60682768677946e-07
1740,9.024455773344795e-05,4.4264695528032205e-08,6.580743721380194e-08,1.6160778670837317e-07
1741,8.361728396266699e-05,4.5044314690910273e-08,5.5483973986676053e-08,1.1749105916741038e-07
1742,9.026696248578705e-05,5.7799059253024354e-08,5.539442022544401e-08,1.1084502509512667e-07
1743,9.492774760084493e-05,5.089347813022219e-08,5.539442022544401e-08,1.1768990455201284e-07
1744,8.998537668958306e-05,4.597834240322689e-08,1.832871124715244e-08,1.3063101127792314e-07
1745,7.013886456011928e-05,5.942125369529094e-08,1.832871124715244e-08,1.3940186655807857e-07
1746,6.654255828055154e-05,7.61022457749862e-08,4.321859695518729e-08,1.36434154894362e-07
1747,7.135383098752104e-05,8.85797010344699e-08,5.236792536119797e-08,1.4641450820006086e-07
1748,8.091640484053642e-05,8.991781389308276e-08,5.236792536119797e-08,1.467891164809641e-07
1749,9.083604215577777e-05,7.716306933096867e-08,5.094583345664562e-08,1.5385549342486877e-07
1750,9.997075955782617e-05,6.753167574353419e-08,5.7543296350104356e-08,1.4805243405849717e-07
1751,0.00012468088555449088,7.644924794801358e-08,5.6648374626076606e-08,1.7123601026014512e-07
1752,0.00013673875530782555,6.141311053348935e-08,6.444555492432105e-08,1.6158406676173138e-07
1753,0.00014881772637766386,4.150120196706146e-08,5.464372649604294e-08,1.9689228330272662e-07
1754,0.00016784860054031014,4.157595309298553e-08,4.21911881939455e-08,1.761214414943067e-07
1755,0.00018705560484834547,5.356302829844546e-08,4.21911881939455e-08,1.848959357683303e-07
1756,0.00021460905138935362,7.481132158204673e-08,4.3306848900621324e-08,1.9846498971227383e-07
1757,0.00024151314989597137,8.39466913760134e-08,4.888987906578482e-08,1.9973485544864745e-07
1758,0.00025934679017934414,7.542375257685308e-08,4.8428325223020304e-08,1.9327310266500524e-07
1759,0.00028048795398457775,8.891913694242248e-08,5.106752963359083e-08,2.1942428090377624e-07
1760,0.0002915590864306848,9.956460494160118e-08,3.8640839353628765e-08,1.8214421082518584e-07
1761,0.00029916444119797755,9.811466838982597e-08,4.278347276454042e-08,2.0016468178190345e-07
1762,0.00031934459028499465,8.95784576674227e-08,4.546605479406805e-08,2.214780059668036e-07
1763,0.0003140615424074765,6.833016438382142e-08,4.223378827613747e-08,2.3350662356084024e-07
1764,0.0003006584385210382,7.04375133458208e-08,3.848533428448978e-08,2.3163107495552788e-07
1765,0.0002939357073046267,7.585180128444335e-08,4.7167383142112026e-08,2.4117823979200435e-07
1766,0.0002995758633395391,7.546308771517423e-08,4.01320505716285e-08,2.26641118063396e-07
1767,0.000294641699708466,7.954013117991313e-08,4.630419045018438e-08,2.3043502648891133e-07
1768,0.0002997210623496877,7.648449898819568e-08,4.3341913423335295e-08,2.4309925095167273e-07
1769,0.000273412511368016,7.489295025412243e-08,4.065933139380766e-08,2.252753676300147e-07
1770,0.00026769171277659813,8.64246365901116e-08,4.935234316454691e-08,2.0868579042598867e-07
1771,0.000264031147318227,8.044720546860975e-08,4.355294791480446e-08,2.1515943566490542e-07
1772,0.0002633364014660141,7.625449072179435e-08,3.70354779225376e-08,2.0428339350278941e-07
1773,0.0002548646672429251,6.443961148810168e-08,4.401518920766583e-08,1.9264612153132736e-07
1774,0.00026270832417399755,6.307941546879192e-08,4.587153488801375e-08,2.1828259682316847e-07
1775,0.00025576069934426675,5.7921466987766376e-08,5.495055559785149e-08,2.2385548094559583e-07
1776,0.00026153316762897054,5.420742661093365e-08,5.7662925101453766e-08,2.2594131974886166e-07
1777,0.0002550870579268251,6.01840411158199e-08,4.904928907478734e-08,2.3796480722434614e-07
1778,0.0002685728021398453,6.048104087394027e-08,5.476007660019734e-08,2.3403601748636253e-07
