ngram,warning,warng,warng,warng
1814,1.2046291755853287e-05,0.0,0.0,0.0
1815,1.1601302633477775e-05,3.862814195494073e-10,3.862814195494073e-10,3.862814195494073e-10
1816,1.149184429648033e-05,3.862814195494073e-10,3.862814195494073e-10,3.862814195494073e-10
1817,1.1736620633330728e-05,5.576289906019025e-10,5.576289906019025e-10,5.576289906019025e-10
1818,1.1815225012209599e-05,5.576289906019025e-10,5.576289906019025e-10,5.576289906019025e-10
1819,1.2109415235629837e-05,5.576289906019025e-10,5.576289906019025e-10,5.576289906019025e-10
1820,1.216287702326164e-05,7.050259265284353e-10,7.050259265284353e-10,7.050259265284353e-10
1821,1.2420023397550852e-05,9.621344356146112e-10,9.621344356146112e-10,9.621344356146112e-10
1822,1.2638311480779002e-05,8.253908191844874e-10,8.253908191844874e-10,8.253908191844874e-10
1823,1.2929417477737712e-05,9.65853587585132e-10,9.65853587585132e-10,9.65853587585132e-10
1824,1.3031159531757502e-05,1.0627460498925855e-09,1.0627460498925855e-09,1.0627460498925855e-09
1825,1.3200430657889228e-05,1.1893628542354e-09,1.1893628542354e-09,1.1893628542354e-09
1826,1.3081112878613307e-05,1.6633558260917676e-09,1.6633558260917676e-09,1.6633558260917676e-09
1827,1.3476041203830391e-05,1.6205294963077067e-09,1.6205294963077067e-09,1.6205294963077067e-09
1828,1.3530789926465201e-05,1.3634209872215308e-09,1.3634209872215308e-09,1.3634209872215308e-09
1829,1.3598723463863799e-05,1.1841574625621426e-09,1.1841574625621426e-09,1.1841574625621426e-09
1830,1.3930050954513717e-05,1.0436946941614978e-09,1.0436946941614978e-09,1.0436946941614978e-09
1831,1.4015217857377138e-05,8.683493210196299e-10,8.683493210196299e-10,8.683493210196299e-10
1832,1.4132871781060072e-05,8.268819755891904e-10,8.268819755891904e-10,8.268819755891904e-10
1833,1.4288273502773205e-05,4.353672660479495e-10,4.353672660479495e-10,4.353672660479495e-10
1834,1.4070089491724502e-05,3.3079665990547776e-10,3.3079665990547776e-10,3.3079665990547776e-10
1835,1.4058348174980243e-05,3.3079665990547776e-10,3.3079665990547776e-10,3.3079665990547776e-10
1836,1.4237962204788346e-05,4.857059199281366e-10,4.857059199281366e-10,4.857059199281366e-10
1837,1.426324550785856e-05,4.857059199281366e-10,4.857059199281366e-10,4.857059199281366e-10
1838,1.4435485744408133e-05,3.928112597100559e-10,3.928112597100559e-10,3.928112597100559e-10
1839,1.4575838447074472e-05,3.076618007976809e-10,3.076618007976809e-10,3.076618007976809e-10
1840,1.4835323262169758e-05,2.2518353848255401e-10,2.2518353848255401e-10,2.2518353848255401e-10
1841,1.5100732655680207e-05,4.351163715047132e-10,4.351163715047132e-10,4.351163715047132e-10
1842,1.5134512718110013e-05,4.351163715047132e-10,4.351163715047132e-10,4.351163715047132e-10
1843,1.5025780417740212e-05,2.7550736295519785e-10,2.7550736295519785e-10,2.7550736295519785e-10
1844,1.4951539144801376e-05,2.7550736295519785e-10,2.7550736295519785e-10,2.7550736295519785e-10
1845,1.5047448999082138e-05,4.757236509484691e-10,4.757236509484691e-10,4.757236509484691e-10
1846,1.4988528814033738e-05,4.757236509484691e-10,4.757236509484691e-10,4.757236509484691e-10
1847,1.4977646839854839e-05,4.757236509484691e-10,4.757236509484691e-10,4.757236509484691e-10
1848,1.4874021092379866e-05,3.751661679731098e-10,3.751661679731098e-10,3.751661679731098e-10
1849,1.5005705660899236e-05,6.438638669844668e-10,6.438638669844668e-10,6.438638669844668e-10
1850,1.5089270164025947e-05,6.25759246007464e-10,6.25759246007464e-10,6.25759246007464e-10
1851,1.502688584358631e-05,6.25759246007464e-10,6.25759246007464e-10,6.25759246007464e-10
1852,1.4894406506625404e-05,4.761045288173957e-10,4.761045288173957e-10,4.761045288173957e-10
1853,1.4901464965078048e-05,5.726232107531156e-10,5.726232107531156e-10,5.726232107531156e-10
1854,1.4885783717285708e-05,6.231250713830048e-10,6.231250713830048e-10,6.231250713830048e-10
1855,1.4962076810271746e-05,6.71254968276358e-10,6.71254968276358e-10,6.71254968276358e-10
1856,1.4960604728133018e-05,4.02557269265001e-10,4.02557269265001e-10,4.02557269265001e-10
1857,1.5049601902969048e-05,4.513558138352636e-10,4.513558138352636e-10,4.513558138352636e-10
1858,1.5255998213043703e-05,4.513558138352636e-10,4.513558138352636e-10,4.513558138352636e-10
1859,1.5392133718705736e-05,4.617236315507256e-10,4.617236315507256e-10,4.617236315507256e-10
1860,1.558136708419105e-05,3.652049496150056e-10,3.652049496150056e-10,3.652049496150056e-10
1861,1.573870836831962e-05,3.147030889851164e-10,3.147030889851164e-10,3.147030889851164e-10
1862,1.5799894754309207e-05,2.129161133116294e-10,2.129161133116294e-10,2.129161133116294e-10
1863,1.5808486620829042e-05,2.6065399442006966e-10,2.6065399442006966e-10,2.6065399442006966e-10
1864,1.5794236397986034e-05,1.6438554089377126e-10,1.6438554089377126e-10,1.6438554089377126e-10
1865,1.5708492615626062e-05,2.0861209188665393e-10,2.0861209188665393e-10,2.0861209188665393e-10
1866,1.5585298050219925e-05,1.4768270336798902e-10,1.4768270336798902e-10,1.4768270336798902e-10
1867,1.5434654804786468e-05,1.9089516078985014e-10,1.9089516078985014e-10,1.9089516078985014e-10
1868,1.5374187699178166e-05,3.253302587642131e-10,3.253302587642131e-10,3.253302587642131e-10
1869,1.527755895429956e-05,3.091978736538944e-10,3.091978736538944e-10,3.091978736538944e-10
1870,1.5159963757988798e-05,3.036964529063673e-10,3.036964529063673e-10,3.036964529063673e-10
1871,1.5178940754724732e-05,3.4427251525772004e-10,3.4427251525772004e-10,3.4427251525772004e-10
1872,1.5126658191937687e-05,3.000459642648374e-10,3.000459642648374e-10,3.000459642648374e-10
1873,1.5075333197143794e-05,3.3905471684216234e-10,3.3905471684216234e-10,3.3905471684216234e-10
1874,1.499267260182283e-05,3.7532368879489297e-10,3.7532368879489297e-10,3.7532368879489297e-10
1875,1.4870250457274129e-05,2.810036211656605e-10,2.810036211656605e-10,2.810036211656605e-10
