ngram,income,icome,inome,inome
1853,2.834125345024014e-05,3.652583124846842e-09,1.6478910061909095e-09,1.6478910061909095e-09
1854,2.8301332869367407e-05,3.3495396615076547e-09,1.728687518528663e-09,1.728687518528663e-09
1855,2.6510079416246818e-05,3.6908208235684826e-09,1.936508588405518e-09,1.936508588405518e-09
1856,2.768932998670997e-05,4.511456161030278e-09,1.7215504418846957e-09,1.7215504418846957e-09
1857,2.6409644176185664e-05,4.758770520498144e-09,1.6754091606127223e-09,1.6754091606127223e-09
1858,2.787583226953367e-05,4.593677057787968e-09,1.7312837671415844e-09,1.7312837671415844e-09
1859,2.9051555559687715e-05,5.235351961476096e-09,1.6716318963970268e-09,1.6716318963970268e-09
1860,3.0264724045991898e-05,5.095942207893651e-09,1.2145101908294415e-09,1.2145101908294415e-09
1861,3.055514649271832e-05,5.244824479484172e-09,1.1254761091348898e-09,1.1254761091348898e-09
1862,3.1408940880542756e-05,4.97162879119019e-09,1.030122178034633e-09,1.030122178034633e-09
1863,3.0520682880056226e-05,3.924031996164043e-09,1.2688115796117521e-09,1.2688115796117521e-09
1864,3.0370017546894295e-05,4.3323014778781246e-09,1.4080187333525324e-09,1.4080187333525324e-09
1865,2.9877308926578345e-05,5.048117614401905e-09,1.4295870043312675e-09,1.4295870043312675e-09
1866,3.00633255392313e-05,4.305305516855944e-09,1.4513071696801001e-09,1.4513071696801001e-09
1867,3.0500994138752242e-05,4.5087431645361525e-09,1.41574166675643e-09,1.41574166675643e-09
1868,3.1460178174061836e-05,4.729025179387289e-09,1.9301320541842415e-09,1.9301320541842415e-09
1869,3.1615549752522e-05,4.440132396675369e-09,1.8025631265405906e-09,1.8025631265405906e-09
1870,3.223806587422067e-05,4.809257690498368e-09,1.986238344432932e-09,1.986238344432932e-09
1871,3.311733131080733e-05,4.084735407060082e-09,1.872490920254829e-09,1.872490920254829e-09
1872,3.286702589580922e-05,3.514718706552701e-09,1.767663630549064e-09,1.767663630549064e-09
1873,3.2800496098518905e-05,3.589898029637035e-09,1.6582609214348715e-09,1.6582609214348715e-09
1874,3.2342401807129916e-05,3.494609427231613e-09,1.6115767212784453e-09,1.6115767212784453e-09
1875,3.219307317132396e-05,3.785194697363587e-09,1.626053458547716e-09,1.626053458547716e-09
1876,3.2381097428567174e-05,4.039725633374149e-09,1.8547914751706633e-09,1.8547914751706633e-09
1877,3.249431444731142e-05,4.239206382753277e-09,1.7819435887173845e-09,1.7819435887173845e-09
1878,3.235480367688329e-05,4.5591529282010666e-09,1.877927571384116e-09,1.877927571384116e-09
1879,3.2563883516039436e-05,4.626353427334655e-09,2.2667038206731452e-09,2.2667038206731452e-09
1880,3.276822306880993e-05,4.8878774678533836e-09,2.3079889071337637e-09,2.3079889071337637e-09
1881,3.364731206342445e-05,4.7336850946980545e-09,2.647035352814393e-09,2.647035352814393e-09
1882,3.403501094518495e-05,4.61357342805359e-09,2.394109799297439e-09,2.394109799297439e-09
1883,3.505650342309049e-05,4.4375597799525426e-09,2.3506442982577725e-09,2.3506442982577725e-09
1884,3.5673998874179756e-05,4.383696136248513e-09,2.245214823583451e-09,2.245214823583451e-09
1885,3.647618203623486e-05,3.803105354448024e-09,2.201642328764868e-09,2.201642328764868e-09
1886,3.7337316046302605e-05,3.6031363289826655e-09,1.9391709190788984e-09,1.9391709190788984e-09
1887,3.7773342877959036e-05,3.934972855493665e-09,1.9905565449919648e-09,1.9905565449919648e-09
1888,3.767109020762811e-05,3.817088613443178e-09,2.12482339659711e-09,2.12482339659711e-09
1889,3.7833840386675934e-05,3.3408320871635463e-09,1.919104732271494e-09,1.919104732271494e-09
1890,3.7836703995708376e-05,3.3327838266927756e-09,1.947203224058772e-09,1.947203224058772e-09
1891,3.935116287071391e-05,3.0810363784082385e-09,2.0103765953548093e-09,2.0103765953548093e-09
1892,4.0084575240533536e-05,3.2055789768646393e-09,2.0834243219525206e-09,2.0834243219525206e-09
1893,4.031369514580417e-05,3.1006053914848864e-09,2.006039334645493e-09,2.006039334645493e-09
1894,4.056105951479237e-05,2.497892210533743e-09,1.9340677948065377e-09,1.9340677948065377e-09
1895,4.1238045793891486e-05,2.4490837929087253e-09,1.6750682745631756e-09,1.6750682745631756e-09
1896,4.1700786303928385e-05,2.5672019113695146e-09,1.879480523595386e-09,1.879480523595386e-09
1897,4.247308606863953e-05,2.4142464852669067e-09,1.7937144309548054e-09,1.7937144309548054e-09
1898,4.202767844877339e-05,2.5969208053818906e-09,1.7389881598209707e-09,1.7389881598209707e-09
1899,4.177488517598249e-05,2.746181663023809e-09,1.637512014873721e-09,1.637512014873721e-09
1900,4.219861511955969e-05,2.962338977293858e-09,1.6548926832068593e-09,1.6548926832068593e-09
1901,4.320536754676141e-05,2.9710124836514395e-09,1.8551656242950442e-09,1.8551656242950442e-09
1902,4.374475611257367e-05,3.0401526058503644e-09,1.911040357706538e-09,1.911040357706538e-09
1903,4.4788029169597265e-05,3.0816337418368025e-09,1.8740930236254324e-09,1.8740930236254324e-09
1904,4.560030980168709e-05,3.014042697963808e-09,1.928854583991121e-09,1.928854583991121e-09
1905,4.6794242475048774e-05,2.899809820838024e-09,2.1489729678287564e-09,2.1489729678287564e-09
1906,4.9042047196832884e-05,2.8687646226797726e-09,2.267016479302291e-09,2.267016479302291e-09
1907,5.067504805213373e-05,2.8530842767691767e-09,2.4354626252228886e-09,2.4354626252228886e-09
1908,5.3010369551235014e-05,2.9461963662364657e-09,2.456464682459065e-09,2.456464682459065e-09
1909,5.4743293731007725e-05,3.111727891231502e-09,2.504841699137371e-09,2.504841699137371e-09
1910,5.7439678909889024e-05,3.1642394418948274e-09,2.787779467589806e-09,2.787779467589806e-09
1911,6.045213376637548e-05,3.5218569647911734e-09,3.04107678721672e-09,3.04107678721672e-09
1912,6.364714551766935e-05,3.830064329183155e-09,3.159402485662456e-09,3.159402485662456e-09
1913,6.652096895517648e-05,4.114191876070095e-09,3.310287377544796e-09,3.310287377544796e-09
1914,7.179379359253549e-05,4.113147663734448e-09,3.2946603540600402e-09,3.2946603540600402e-09
