ngram,soup,sop,sup,soup
1786,2.0024521144737913e-06,4.776353291293032e-07,6.61588644236742e-06,2.0024521144737913e-06
1787,2.0219292520908183e-06,5.039901631269978e-07,6.532907783756465e-06,2.0219292520908183e-06
1788,2.0181185667362504e-06,4.826867723295436e-07,6.343537084571185e-06,2.0181185667362504e-06
1789,1.9069115312829256e-06,4.699748785697011e-07,6.2713191774881646e-06,1.9069115312829256e-06
1790,1.8259980265611375e-06,4.6353956203607337e-07,6.56777969457575e-06,1.8259980265611375e-06
1791,1.5789456304966215e-06,4.6842131545028156e-07,6.586393088322698e-06,1.5789456304966215e-06
1792,1.6188775638121505e-06,4.7237109665080166e-07,6.7893424134776325e-06,1.6188775638121505e-06
1793,1.9106276210680207e-06,4.839970374957505e-07,6.985808600542701e-06,1.9106276210680207e-06
1794,1.9020485037149877e-06,4.9072837019334e-07,7.226853670415169e-06,1.9020485037149877e-06
1795,2.065850740759093e-06,4.973221255763097e-07,7.164022528221332e-06,2.065850740759093e-06
1796,2.0944536345268716e-06,4.8095926834841e-07,7.216546496887791e-06,2.0944536345268716e-06
1797,2.6315319051458834e-06,4.857368115348695e-07,7.034638331658373e-06,2.6315319051458834e-06
1798,3.0469610042668397e-06,4.870372509101019e-07,7.738456328557472e-06,3.0469610042668397e-06
1799,3.278516325216125e-06,4.594868617654616e-07,8.00315170376312e-06,3.278516325216125e-06
1800,3.1282734685841466e-06,4.636355015463778e-07,7.908943968816726e-06,3.1282734685841466e-06
1801,3.3996839355105683e-06,4.4147189523105877e-07,8.00728009510619e-06,3.3996839355105683e-06
1802,3.3351512586575282e-06,4.516755893746449e-07,8.512312823378515e-06,3.3351512586575282e-06
1803,3.4921281927121787e-06,4.834886583791688e-07,9.208558692210187e-06,3.4921281927121787e-06
1804,3.131085658683982e-06,4.855318219857249e-07,9.375978087129105e-06,3.131085658683982e-06
1805,2.8464550366282182e-06,5.180807290474019e-07,8.94107915883069e-06,2.8464550366282182e-06
1806,2.843208660254147e-06,5.555382033760128e-07,8.713432894832554e-06,2.843208660254147e-06
1807,3.022753227404402e-06,5.605234118125477e-07,8.89803816660008e-06,3.022753227404402e-06
1808,2.8942833328723542e-06,5.570094003815029e-07,8.956008059612941e-06,2.8942833328723542e-06
1809,2.7527082693268312e-06,5.443571881512201e-07,9.130663914090422e-06,2.7527082693268312e-06
1810,2.6280146942424054e-06,5.410547479251753e-07,8.867972480532313e-06,2.6280146942424054e-06
1811,2.5880452929933587e-06,5.192739495539302e-07,8.830850155001307e-06,2.5880452929933587e-06
1812,2.6079736861512563e-06,4.5673166125327823e-07,8.812779924483038e-06,2.6079736861512563e-06
1813,2.4568775935612005e-06,4.084623291029337e-07,8.87613844367609e-06,2.4568775935612005e-06
1814,2.597360516379662e-06,3.998116458855553e-07,8.851653157242773e-06,2.597360516379662e-06
1815,2.6932834284057857e-06,4.0069441605997523e-07,9.190554789841241e-06,2.6932834284057857e-06
1816,2.8248762029241855e-06,4.129323656343331e-07,8.826503549893719e-06,2.8248762029241855e-06
1817,2.8463022415183204e-06,4.029025473885538e-07,8.617502317065373e-06,2.8463022415183204e-06
1818,2.990068829993626e-06,4.226131328063535e-07,8.670396709931083e-06,2.990068829993626e-06
1819,3.0815106941060677e-06,4.439552461527845e-07,8.56330253944699e-06,3.0815106941060677e-06
1820,3.4659580835848047e-06,4.6584728303449605e-07,8.566491487727035e-06,3.4659580835848047e-06
1821,3.4502089485093686e-06,4.6281039496014795e-07,8.487575347057178e-06,3.4502089485093686e-06
1822,3.478635400305003e-06,5.095798038772565e-07,8.020125083671051e-06,3.478635400305003e-06
