ngram,understanding,understadning,understading,uderstanding
1829,5.503642127483285e-05,0.0,1.0158394205182576e-09,3.496897692047339e-10
1830,5.45523980690632e-05,0.0,1.1111439625542475e-09,3.496897692047339e-10
1831,5.380323221158635e-05,0.0,8.429039291942989e-10,3.496897692047339e-10
1832,5.307864661777525e-05,0.0,1.0568849605009844e-09,3.496897692047339e-10
1833,5.277725722407922e-05,0.0,1.067323261518181e-09,5.146462938349877e-10
1834,5.155934611268874e-05,0.0,8.366716367344143e-10,3.885652751936927e-10
1835,5.056958772391746e-05,0.0,1.0042384384385222e-09,5.561320768978004e-10
1836,5.04700281973263e-05,0.0,9.33964159978627e-10,4.1558351997801017e-10
1837,5.012822605619606e-05,0.0,9.93542438796981e-10,4.1558351997801017e-10
1838,4.982341592299885e-05,0.0,9.93542438796981e-10,4.1558351997801017e-10
1839,4.843157304484131e-05,0.0,6.529446031474809e-10,4.913649566594205e-10
1840,4.752497625304386e-05,0.0,7.834396306297517e-10,3.264084320291667e-10
1841,4.793079746637626e-05,0.0,7.703570479934894e-10,2.4334823838551804e-10
1842,4.7355523357899596e-05,0.0,7.244211262604137e-10,7.578143668141024e-11
1843,4.6262512374336696e-05,6.557452993303871e-11,7.244211262604137e-10,7.578143668141024e-11
1844,4.570432741145071e-05,6.557452993303871e-11,9.702354316790514e-10,7.578143668141024e-11
1845,4.5999172081272786e-05,6.557452993303871e-11,9.702354316790514e-10,7.578143668141024e-11
1846,4.657542896373863e-05,6.557452993303871e-11,9.702354316790514e-10,1.9566150287277295e-10
1847,4.6736249454884925e-05,6.557452993303871e-11,8.347274776150065e-10,1.9566150287277295e-10
1848,4.55318955313747e-05,6.557452993303871e-11,8.194375416310201e-10,1.9566150287277295e-10
1849,4.508529049676976e-05,6.557452993303871e-11,8.052857349203992e-10,2.4940103950297857e-10
1850,4.5080379225380186e-05,0.0,8.052857349203992e-10,2.4940103950297857e-10
1851,4.5465240483671164e-05,0.0,4.0458860864741753e-10,2.4940103950297857e-10
1852,4.469219857128337e-05,0.0,5.562733210570262e-10,2.4940103950297857e-10
1853,4.402710224634835e-05,0.0,6.045326620248862e-10,1.0199887759806562e-10
1854,4.2637294557477746e-05,0.0,3.621108016612798e-10,1.0199887759806562e-10
1855,4.207621480288383e-05,0.0,5.69931871538135e-10,1.0199887759806562e-10
1856,4.1873001464409754e-05,0.0,6.612480166598037e-10,1.4765695015889994e-10
1857,4.133023789368703e-05,0.0,6.612480166598037e-10,1.9579117692204917e-10
1858,3.991127492294514e-05,0.0,6.612480166598037e-10,1.9579117692204917e-10
1859,3.902561729773879e-05,0.0,5.095633042501951e-10,1.9579117692204917e-10
1860,3.836320528145214e-05,0.0,4.6130396328233504e-10,2.0852704483788542e-10
1861,3.816678768738971e-05,0.0,4.6130396328233504e-10,2.0852704483788542e-10
1862,3.760854607597659e-05,0.0,1.9879521838207991e-10,2.0852704483788542e-10
1863,3.676086531153747e-05,0.0,1.4321364729040298e-10,1.5686731675528572e-10
1864,3.6082773086881e-05,0.0,1.4321364729040298e-10,2.0292333289896802e-10
1865,3.5622893067608986e-05,0.0,1.4321364729040298e-10,2.4714988389185066e-10
1866,3.524870719827179e-05,0.0,1.4321364729040298e-10,2.9138950379576604e-10
1867,3.4918822036291074e-05,0.0,6.617631363527363e-10,2.303942949120698e-10
1868,3.4983801015187055e-05,4.4811698003093574e-11,6.617631363527363e-10,2.7520599291516335e-10
1869,3.588545015580686e-05,4.4811698003093574e-11,7.409349086654312e-10,3.939636474191234e-10
1870,3.606988996450257e-05,4.4811698003093574e-11,5.977212613750282e-10,3.4622576631068315e-10
1871,3.579006183177366e-05,4.4811698003093574e-11,5.977212613750282e-10,2.9261158575520444e-10
1872,3.5759724206790065e-05,4.4811698003093574e-11,6.386729716518452e-10,2.8933674503913865e-10
1873,3.591793886568796e-05,4.4811698003093574e-11,6.386729716518452e-10,3.621233868322804e-10
1874,3.575245812368978e-05,4.4811698003093574e-11,3.983084814355006e-10,4.018641015195763e-10
1875,3.51372520006927e-05,0.0,4.3842351178063106e-10,3.570524035164827e-10
1876,3.3898416794337595e-05,0.0,6.275756422472309e-10,3.1495871783653635e-10
1877,3.34190356495258e-05,0.0,6.625273147558325e-10,3.848620628537398e-10
1878,3.347863613661113e-05,0.0,8.43954108978703e-10,3.4428600050238703e-10
1879,3.329467758054047e-05,6.982762780692399e-11,8.728300265088101e-10,3.033342902255701e-10
1880,3.2805816902379904e-05,6.982762780692399e-11,9.386033934204769e-10,2.5208139544017985e-10
1881,3.270674694379393e-05,6.982762780692399e-11,7.23549585325754e-10,2.4390627612851697e-10
1882,3.269894140040768e-05,6.982762780692399e-11,9.103016039370613e-10,4.05954175037542e-10
1883,3.27512103207742e-05,6.982762780692399e-11,9.632039848257129e-10,3.2929020621352834e-10
1884,3.273684186361996e-05,6.982762780692399e-11,9.282523123171111e-10,2.593868611963249e-10
1885,3.248675212879399e-05,6.982762780692399e-11,8.048720737515883e-10,2.593868611963249e-10
1886,3.2355208531953394e-05,2.7588615915595328e-11,7.90221677775855e-10,3.6974132485870625e-10
1887,3.245100898701432e-05,8.285655296789786e-11,7.797162479164907e-10,3.0396795794703936e-10
1888,3.201097310271247e-05,8.285655296789786e-11,7.435878995876166e-10,3.2640804741619027e-10
1889,3.190378629369661e-05,1.0902744778424583e-10,6.999171183106969e-10,1.9053104332351316e-10
1890,3.145688840179771e-05,1.0902744778424583e-10,3.7869083464275073e-10,1.9053104332351316e-10
1891,3.136083796562161e-05,1.3463249959322354e-10,4.0429588645172846e-10,2.9295125055942405e-10
1892,3.101273744375378e-05,1.3463249959322354e-10,5.035504077203054e-10,2.9295125055942405e-10
1893,3.0790139914773006e-05,1.0704388367762822e-10,5.406198702992019e-10,1.8259678689704272e-10
1894,3.0558252806908316e-05,5.177594662532568e-11,5.516272518134104e-10,1.8259678689704272e-10
1895,3.060870065902626e-05,5.177594662532568e-11,5.457956170351608e-10,1.4976230969640118e-10
1896,3.074290101981855e-05,2.5605051808977717e-11,6.920665964907765e-10,1.4297184071563962e-10
1897,3.105467138604061e-05,2.5605051808977717e-11,7.663736173446623e-10,1.801253511425825e-10
1898,3.105985238757317e-05,0.0,8.129212382611075e-10,9.574331208802737e-11
1899,3.12981732609582e-05,0.0,7.284757876289762e-10,1.503850318083723e-10
1900,3.134425449908511e-05,1.8070604536544822e-11,6.904409068285235e-10,2.226674499545516e-10
1901,3.144408193682986e-05,1.8070604536544822e-11,9.15489251867336e-10,2.7407750870432427e-10
1902,3.153075314393001e-05,5.2507185107789465e-11,9.976277859369276e-10,2.529063010601819e-10
1903,3.1628064919329647e-05,5.2507185107789465e-11,1.0985174635015836e-09,2.8134330777783237e-10
1904,3.169612006916266e-05,5.2507185107789465e-11,1.1510403622302538e-09,2.6004353729870896e-10
1905,3.1763846241769246e-05,5.2507185107789465e-11,1.3075906191151176e-09,2.572522314217959e-10
1906,3.195543311968712e-05,5.2507185107789465e-11,1.2657649650638092e-09,2.1812549782269334e-10
1907,3.220531133203102e-05,7.838710236462987e-11,1.416655594420137e-09,1.7514342753877088e-10
1908,3.2510991981585645e-05,7.838710236462987e-11,1.276300930021433e-09,1.7863118524046635e-10
1909,3.293589075578244e-05,7.151253993737633e-11,1.4486113816428566e-09,2.0619320338445745e-10
1910,3.308616370694446e-05,8.528642970422645e-11,1.2799583694521134e-09,1.721496605980707e-10
1911,3.3487762266304344e-05,8.528642970422645e-11,1.2090401774982646e-09,3.5198697131580813e-10
1912,3.401336653041653e-05,8.528642970422645e-11,1.1533065375728719e-09,4.3763886661433004e-10
1913,3.472543279972992e-05,8.528642970422645e-11,1.3367453572626126e-09,6.079968324436611e-10
1914,3.550573455868289e-05,9.980186617606992e-11,1.3801232299849785e-09,6.517789294391285e-10
1915,3.659531440851944e-05,1.316793113040734e-10,1.5319899555293099e-09,6.287585581156639e-10
1916,3.778743484872393e-05,1.191691556942257e-10,1.557407020807184e-09,7.366633047615042e-10
1917,3.9062649843149953e-05,1.0539526592737555e-10,1.6588122066428313e-09,8.485810229100618e-10
1918,4.008641293954237e-05,1.0539526592737555e-10,1.7754633477703612e-09,7.823121277767647e-10
1919,4.117765898367257e-05,1.0539526592737555e-10,1.7587572668073141e-09,7.808535960686567e-10
1920,4.188952152617276e-05,1.0539526592737555e-10,2.3099430622254756e-09,6.413839538841972e-10
1921,4.306691542816614e-05,4.692930766214687e-11,2.5393600872852015e-09,6.526363338643648e-10
1922,4.3480818671274134e-05,1.5051862534143368e-11,2.574642499197921e-09,6.207588887363613e-10
1923,4.420161453059076e-05,0.0,2.543693129147024e-09,4.852921239465299e-10
1924,4.4761456852679006e-05,0.0,2.327113216412816e-09,4.328651088363651e-10
1925,4.5719546116223296e-05,0.0,2.407607272278004e-09,3.9546365388736556e-10
1926,4.651744166039862e-05,0.0,2.4118048034895067e-09,4.335612028124761e-10
1927,4.7471400778574336e-05,0.0,1.8735340104722044e-09,4.781114076075304e-10
1928,4.769243449637932e-05,0.0,1.6921599835636618e-09,4.1658606921211675e-10
1929,4.867639238779832e-05,0.0,1.505756630493238e-09,4.418718664776579e-10
1930,4.914545102760063e-05,1.9059174873246676e-10,1.4807152805472258e-09,5.780088253264687e-10
1931,5.0226179674999525e-05,1.9059174873246676e-10,1.6489822206113202e-09,6.096762717693644e-10
1932,5.068369085035686e-05,1.9059174873246676e-10,1.5141415264454038e-09,6.358718016416124e-10
1933,5.194242684020927e-05,2.1375890740011576e-10,1.6085195397863572e-09,5.678355028245921e-10
1934,5.2755862790425976e-05,2.1375890740011576e-10,1.6282823660824469e-09,5.892213641603813e-10
1935,5.4144387831911445e-05,2.1375890740011576e-10,1.6428717116870724e-09,5.664118777179031e-10
1936,5.531134073472848e-05,2.1375890740011576e-10,1.805218403332682e-09,6.876881128040477e-10
1937,5.671892046978298e-05,2.316715866764899e-11,1.672383945613579e-09,6.188784088375801e-10
1938,5.73157069863685e-05,6.667166025613775e-11,1.640367080264176e-09,6.444598743549079e-10
1939,5.8772332912277693e-05,6.667166025613775e-11,1.6715150057728628e-09,8.249719558277896e-10
1940,5.9682696051563e-05,9.509102632294336e-11,1.7519886652550554e-09,8.844367936435203e-10
1941,6.115238647907972e-05,9.509102632294336e-11,1.8633634476675607e-09,9.3756883209498e-10
1942,6.23377517123507e-05,9.509102632294336e-11,1.9507795220466815e-09,1.1119251551251962e-09
1943,6.407661827064917e-05,1.1654435155034852e-10,1.9799712504463075e-09,1.1369897245927518e-09
1944,6.534087047579565e-05,1.5448699660794825e-10,2.057472398802369e-09,1.2404043665219839e-09
1945,6.673767763589109e-05,1.297519155610668e-10,2.1313121267851898e-09,1.3163544857316571e-09
1946,6.719953983390172e-05,1.297519155610668e-10,2.3294581501837844e-09,1.1003666945873037e-09
1947,6.769211488842432e-05,9.4722366854911e-11,2.44118408027865e-09,1.3356538652864458e-09
1948,6.808104496615539e-05,9.4722366854911e-11,2.5272626848403336e-09,1.4950824625944596e-09
1949,6.878258552335734e-05,1.1172852920626752e-10,2.3328078992333546e-09,1.541806246166796e-09
1950,6.84748062797423e-05,9.027520397886235e-11,2.2771942902772527e-09,1.5901393297339845e-09
1951,6.855210813228041e-05,5.233255892126262e-11,2.3191684445882696e-09,1.7503794049110256e-09
1952,6.923832240447934e-05,3.35631383796553e-11,2.135072896258805e-09,1.7948589678010558e-09
1953,7.010333709851173e-05,4.925237499588318e-11,2.0229012592005394e-09,1.9474569893215434e-09
1954,7.0537904061244e-05,3.2695398967584415e-11,1.9677937216197196e-09,1.7283630717100452e-09
1955,7.109251600923017e-05,6.168390302509406e-11,1.8565615235642342e-09,1.519417076283653e-09
1956,7.129447580414958e-05,8.508175810709569e-11,2.0161237124227682e-09,1.4599530394145331e-09
1957,7.199625127084021e-05,8.508175810709569e-11,2.365670421460615e-09,1.4311492388000398e-09
1958,7.229454786283895e-05,9.69835660193295e-11,2.526742703956586e-09,1.3143998032840086e-09
1959,7.235585819996362e-05,1.873350780057237e-10,2.8963283517567463e-09,1.266747524335849e-09
1960,7.242407342086412e-05,1.9282156327975793e-10,3.1056799671651855e-09,1.4231598360099034e-09
1961,7.296882748570559e-05,2.6035497864760973e-10,3.2540164848374584e-09,1.6494340417315202e-09
1962,7.30732229255539e-05,2.517699868032075e-10,3.4205347126154653e-09,1.72731338756092e-09
1963,7.323977375303261e-05,2.5098139538881625e-10,3.7600724121590795e-09,1.9123322925196362e-09
1964,7.332144741667435e-05,3.4091449603788707e-10,3.5275850494644244e-09,2.269768309811785e-09
1965,7.345578654037257e-05,3.6427301453034744e-10,3.5491342246071358e-09,2.3552485358838535e-09
1966,7.352448613216569e-05,3.003007168330843e-10,3.596160924601577e-09,2.556438901838273e-09
1967,7.389543108209702e-05,2.791249949428222e-10,3.7086855491403573e-09,2.704213488056796e-09
1968,7.362368549885494e-05,2.9130045399648555e-10,3.6201018373459094e-09,2.6958979176023537e-09
