ngram,factor,facor,fator,fctr
1894,1.9685809352917465e-05,1.1449442267290927e-09,1.7345777036936738e-09,8.270072325368614e-10
1895,2.088293747094992e-05,1.2063025181926638e-09,1.4930730937326837e-09,8.131886354765885e-10
1896,2.16152207680612e-05,1.2818422513914486e-09,1.6471255153455949e-09,8.054071853891287e-10
1897,2.246658186777495e-05,1.4778875742241633e-09,1.7352691505934104e-09,9.085687281894041e-10
1898,2.327096652671961e-05,1.5663203432682492e-09,1.8911920918185388e-09,9.219444097041674e-10
1899,2.437302308473071e-05,1.686485538522829e-09,1.918396489283428e-09,8.642282207332081e-10
1900,2.5547079660879846e-05,1.574274567848834e-09,1.925794983798872e-09,8.392728813509467e-10
1901,2.6680092560127378e-05,1.3799914861627777e-09,2.0967496152022947e-09,7.360405301121936e-10
1902,2.7978248389055288e-05,1.4172413084371068e-09,2.1817013909749707e-09,6.39496947460064e-10
1903,2.947380822401361e-05,1.3121893571721444e-09,2.283858308820592e-09,7.179254095974435e-10
1904,3.0980103474576026e-05,1.2527673660349998e-09,2.2375670522783206e-09,6.562647647534448e-10
1905,3.252931336256941e-05,1.3107528554609109e-09,2.3494564389230685e-09,6.575550976733219e-10
1906,3.420870182578385e-05,1.2419379968875432e-09,2.4195979188488893e-09,6.80488308559189e-10
1907,3.568852766225713e-05,1.5066095672620706e-09,2.449351642143581e-09,7.952377248773449e-10
1908,3.7317489581515216e-05,1.6028317879295579e-09,2.3570703167052898e-09,8.124499327268251e-10
1909,3.8861482607899234e-05,1.8234235867252225e-09,2.4123218977933902e-09,8.434811182844726e-10
1910,4.1040779511344484e-05,2.219318252981241e-09,2.25666042995089e-09,7.507938635877207e-10
1911,4.297455026452164e-05,2.3309604722600496e-09,2.1968158244892575e-09,6.500440027526874e-10
1912,4.514504170011995e-05,2.4601119871395636e-09,1.9836170166749004e-09,6.018051533297961e-10
1913,4.708765378122085e-05,2.4455071777142378e-09,1.7350703572306868e-09,6.386135747200277e-10
1914,4.922684664571924e-05,2.298567558511877e-09,1.6027472206557393e-09,5.065935766117897e-10
1915,5.143279070450392e-05,2.6231071283331987e-09,1.592573612667942e-09,6.132972542514738e-10
1916,5.362896367192401e-05,2.677555447202654e-09,1.427399880833085e-09,6.660779626267908e-10
1917,5.577006283731732e-05,2.517256720529255e-09,1.4438596033069677e-09,6.951605005919451e-10
1918,5.8238121710019186e-05,2.642356302016781e-09,1.4498942046969887e-09,7.538883723639295e-10
1919,6.023065621515603e-05,2.7217566613200817e-09,1.4035264696486495e-09,7.958805281482739e-10
1920,6.130980078264006e-05,3.0606180288574235e-09,1.4264684195757533e-09,8.671104152162862e-10
1921,6.237312897740464e-05,3.2641661754492392e-09,1.531065258702264e-09,9.626976200343457e-10
1922,6.327721868209275e-05,2.947823858028593e-09,1.4769822190682395e-09,9.08128159972575e-10
1923,6.378132301116628e-05,2.9817865954129275e-09,1.5078392820048033e-09,8.217682843726846e-10
1924,6.417148480457919e-05,3.0094219814559763e-09,1.507691241694634e-09,8.077285308859063e-10
1925,6.439687941955137e-05,3.133008646167517e-09,1.4990342300791326e-09,7.530772117014806e-10
1926,6.44007564655372e-05,3.2460102859589922e-09,1.5381006309870111e-09,7.59534586019279e-10
1927,6.567734505681853e-05,3.0539111874259918e-09,1.4657159930209218e-09,6.42136478910617e-10
1928,6.666508540677439e-05,2.9568719853553407e-09,1.3161547090285402e-09,5.41895290544809e-10
1929,6.803115580363997e-05,2.892359589929632e-09,1.3999536133521166e-09,5.222819954298075e-10
1930,6.941968084512544e-05,2.730693353975815e-09,1.3396630154411631e-09,5.548572831351858e-10
1931,7.040993347930322e-05,2.707210995061311e-09,1.537785914480188e-09,4.5717116203825015e-10
1932,7.077822790181796e-05,2.3218656521249515e-09,1.6617447893908987e-09,4.820905500199249e-10
1933,7.135210034903139e-05,1.8880387412220247e-09,1.6180966090826944e-09,5.062344908348036e-10
1934,7.160805918309572e-05,1.9067195758789725e-09,1.5715378443026395e-09,4.829551084447762e-10
1935,7.260570522963203e-05,1.9657535916499977e-09,1.589650102028019e-09,4.811936444542348e-10
1936,7.317197741940618e-05,2.2703139685680593e-09,1.6717910468676068e-09,5.056750454876127e-10
1937,7.400987357998799e-05,2.185666885574327e-09,1.8049631075481694e-09,5.137625364819748e-10
1938,7.469393001104306e-05,2.0794317696320216e-09,2.1510444933195825e-09,6.007715396589524e-10
1939,7.591102725460328e-05,2.1653708667404967e-09,2.6664359054073827e-09,6.294179027183893e-10
1940,7.658829313835927e-05,2.3127198886133524e-09,3.0769697662818326e-09,5.651686341145989e-10
1941,7.772195489711262e-05,2.5824303330677724e-09,3.648983924543968e-09,7.132828732420953e-10
1942,7.783954060869291e-05,3.0239304711037515e-09,4.044090300731844e-09,7.960641550714647e-10
1943,7.825299274242883e-05,3.1645159825899327e-09,4.245424519869598e-09,7.777061891304068e-10
