ngram,competition,competiton,competion,competiton
1678,4.356520743645628e-06,0.0,0.0,0.0
1679,3.7155155366365633e-06,0.0,0.0,0.0
1680,3.6798472982419687e-06,0.0,0.0,0.0
1681,3.969200244163014e-06,0.0,0.0,0.0
1682,4.164359584787494e-06,0.0,0.0,0.0
1683,5.10543847147866e-06,0.0,0.0,0.0
1684,5.929710401427915e-06,0.0,0.0,0.0
1685,5.877997961891067e-06,0.0,0.0,0.0
1686,5.900215975478724e-06,0.0,0.0,0.0
1687,5.960170743232343e-06,0.0,0.0,0.0
1688,5.454428414200915e-06,0.0,0.0,0.0
1689,5.392398959104737e-06,0.0,0.0,0.0
1690,5.0575577006384265e-06,0.0,0.0,0.0
1691,4.221708227955137e-06,0.0,0.0,0.0
1692,4.010965637592433e-06,0.0,0.0,0.0
1693,4.066795457090068e-06,0.0,0.0,0.0
1694,3.865021004198102e-06,0.0,0.0,0.0
1695,3.4761410461214837e-06,0.0,0.0,0.0
1696,3.3805554916658106e-06,0.0,0.0,0.0
1697,2.8246844781928563e-06,0.0,7.347074821544603e-09,0.0
1698,2.8999348030213568e-06,0.0,7.347074821544603e-09,0.0
1699,2.727887704168097e-06,0.0,7.347074821544603e-09,0.0
1700,2.5045789990534625e-06,0.0,7.347074821544603e-09,0.0
1701,2.4729548938142088e-06,0.0,7.347074821544603e-09,0.0
1702,2.357421846811901e-06,0.0,7.347074821544603e-09,0.0
1703,2.2428764460918112e-06,0.0,7.347074821544603e-09,0.0
1704,1.97165177594018e-06,0.0,0.0,0.0
1705,1.7705209367185098e-06,0.0,9.157804673317775e-09,0.0
1706,1.96411039204187e-06,0.0,9.157804673317775e-09,0.0
1707,2.045267413970058e-06,0.0,9.157804673317775e-09,0.0
1708,2.0350574589299086e-06,0.0,9.157804673317775e-09,0.0
1709,1.9999389613596056e-06,0.0,9.157804673317775e-09,0.0
1710,1.9746538392999876e-06,0.0,9.157804673317775e-09,0.0
1711,2.0000006121076045e-06,0.0,1.8850133390710004e-08,0.0
1712,1.8430584743457854e-06,0.0,9.692328717392229e-09,0.0
1713,1.8126719315400156e-06,0.0,9.692328717392229e-09,0.0
1714,1.924849787623576e-06,0.0,9.692328717392229e-09,0.0
1715,1.8212478331796383e-06,0.0,9.692328717392229e-09,0.0
1716,1.7458216510541597e-06,0.0,9.692328717392229e-09,0.0
1717,1.9289530541755084e-06,0.0,9.692328717392229e-09,0.0
