ngram,joint,jont,join,jont
1797,2.6085527809170473e-05,6.634121506112121e-09,4.808111355357271e-05,6.634121506112121e-09
1798,2.404682423470409e-05,4.462189030972143e-09,4.65213753549116e-05,4.462189030972143e-09
1799,2.4238959407999312e-05,4.462189030972143e-09,4.6177371716891814e-05,4.462189030972143e-09
1800,2.4373669605535853e-05,3.4761669098770653e-09,4.7781828470760956e-05,3.4761669098770653e-09
1801,2.4091156384591678e-05,1.9445362463090176e-09,4.850423075757655e-05,1.9445362463090176e-09
1802,2.396320944951315e-05,1.8995177177215184e-09,4.86148133599532e-05,1.8995177177215184e-09
1803,2.429263778529795e-05,2.2505176769779413e-09,4.852349333564884e-05,2.2505176769779413e-09
1804,2.5187067356975084e-05,1.6835940260965084e-09,4.872398130828515e-05,1.6835940260965084e-09
1805,2.5153489072441255e-05,2.9819815822967097e-09,4.96375495068995e-05,2.9819815822967097e-09
1806,2.5604650935357703e-05,2.9819815822967097e-09,4.9129584762600386e-05,2.9819815822967097e-09
1807,2.6023234178345384e-05,2.9819815822967097e-09,4.855485583123352e-05,2.9819815822967097e-09
1808,2.688526053264338e-05,2.753004300716709e-09,4.8032770532050305e-05,2.753004300716709e-09
1809,2.698584415026874e-05,2.2466003343371963e-09,4.799635748245886e-05,2.2466003343371963e-09
1810,2.813848602402556e-05,1.8956003750807734e-09,4.819321579166821e-05,1.8956003750807734e-09
1811,2.7562204455274957e-05,2.3643682567353608e-09,4.812053365250384e-05,2.3643682567353608e-09
1812,2.8028106368895222e-05,1.5433972195515772e-09,4.734454965468363e-05,1.5433972195515772e-09
1813,2.7748929434372777e-05,1.7373766235197407e-09,4.7149309206620925e-05,1.7373766235197407e-09
1814,2.802821368927003e-05,1.7373766235197407e-09,4.670412298375075e-05,1.7373766235197407e-09
1815,2.904911889345385e-05,2.274576273362884e-09,4.611706858018546e-05,2.274576273362884e-09
1816,3.030874930638155e-05,2.1028993625802984e-09,4.54210899728683e-05,2.1028993625802984e-09
1817,2.9619217197510545e-05,2.445594504685289e-09,4.501191298394198e-05,2.445594504685289e-09
1818,3.045459457747971e-05,2.5139312060622795e-09,4.4376449035813236e-05,2.5139312060622795e-09
1819,3.083426314073482e-05,2.3371095693645673e-09,4.4507396004129464e-05,2.3371095693645673e-09
1820,3.1311550628743134e-05,2.5853209573156732e-09,4.43901850043663e-05,2.5853209573156732e-09
1821,3.1970640910523275e-05,2.842429466401849e-09,4.412278576637618e-05,2.842429466401849e-09
1822,3.2205114881175435e-05,2.1946355288626762e-09,4.410925404434758e-05,2.1946355288626762e-09
1823,3.2396229341559645e-05,2.004462810020361e-09,4.422273299756593e-05,2.004462810020361e-09
1824,3.397637400277225e-05,2.0641277179552932e-09,4.418233688089198e-05,2.0641277179552932e-09
1825,3.490290172131998e-05,1.65363993926653e-09,4.413450109755753e-05,1.65363993926653e-09
1826,3.58154544041359e-05,1.7085398017004293e-09,4.373187662817405e-05,1.7085398017004293e-09
1827,3.752702001033218e-05,1.6846314343510471e-09,4.371027431001754e-05,1.6846314343510471e-09
1828,3.855011995515919e-05,1.8688401619877074e-09,4.319866119268616e-05,1.8688401619877074e-09
1829,4.0112496208166704e-05,1.884619817347856e-09,4.185214545161996e-05,1.884619817347856e-09
1830,4.0292133884837055e-05,2.170533459316155e-09,4.105088789531562e-05,2.170533459316155e-09
1831,4.080974914748887e-05,2.325541402305374e-09,4.028208370852683e-05,2.325541402305374e-09
1832,4.0592639769394214e-05,2.6246719083847634e-09,3.979030589107424e-05,2.6246719083847634e-09
1833,4.101029584749735e-05,2.4341336882624123e-09,3.949297076490309e-05,2.4341336882624123e-09
1834,4.133856262862017e-05,2.0158512636925252e-09,3.916450493436839e-05,2.0158512636925252e-09
1835,4.1730080868416864e-05,1.993451023299794e-09,3.9379352009356285e-05,1.993451023299794e-09
1836,4.1416967308448094e-05,2.3783307386996253e-09,4.028716700434286e-05,2.3783307386996253e-09
1837,4.224542031546922e-05,2.2472999175856702e-09,4.0780991444730065e-05,2.2472999175856702e-09
1838,4.239594324774641e-05,1.918909174415871e-09,4.081264913630938e-05,1.918909174415871e-09
1839,4.277538235848104e-05,1.6447247373564876e-09,4.0649792416453625e-05,1.6447247373564876e-09
1840,4.292578471774634e-05,1.5553541787838299e-09,4.033491599589719e-05,1.5553541787838299e-09
1841,4.217022329352663e-05,2.255130288857694e-09,4.0103884592619056e-05,2.255130288857694e-09
1842,4.2341668761634666e-05,1.897028732513105e-09,4.017902236747821e-05,1.897028732513105e-09
1843,4.2550072456443946e-05,1.5683240499925993e-09,3.9874944507443744e-05,1.5683240499925993e-09
