ngram,variation,variation,varition,varation
1814,1.26909430296759e-05,1.26909430296759e-05,1.9397940396816337e-10,1.1099253738322545e-09
1815,1.3460747140925378e-05,1.3460747140925378e-05,1.9397940396816337e-10,8.745621845765836e-10
1816,1.4338790086705039e-05,1.4338790086705039e-05,3.8415212281047873e-10,8.745621845765836e-10
1817,1.4119486487678451e-05,1.4119486487678451e-05,5.55499693862974e-10,8.279721035770698e-10
1818,1.4603658720651375e-05,1.4603658720651375e-05,7.345345601602763e-10,1.0070069698743721e-09
1819,1.4150701125410186e-05,1.4150701125410186e-05,8.84832001319629e-10,7.682987103661634e-10
1820,1.4592062013564697e-05,1.4592062013564697e-05,1.2804403410575966e-09,7.682987103661634e-10
1821,1.4734075063773031e-05,1.4734075063773031e-05,1.4089945956006845e-09,3.5038243734979753e-10
1822,1.4291468817516164e-05,1.4291468817516164e-05,1.5337634971603264e-09,4.751513389094392e-10
1823,1.4092136163006736e-05,1.4092136163006736e-05,1.3435907783180108e-09,6.156141073100838e-10
1824,1.4033574968509908e-05,1.4033574968509908e-05,1.1722432072655157e-09,4.442665362575886e-10
1825,1.3093897775563943e-05,1.3093897775563943e-05,9.932083409682134e-10,5.184652786459156e-10
1826,1.285857121859278e-05,1.285857121859278e-05,8.429108998088606e-10,5.184652786459156e-10
1827,1.2383001896003926e-05,1.2383001896003926e-05,2.533231561027297e-10,6.230358847883874e-10
1828,1.1816254430284192e-05,1.1816254430284192e-05,1.2476890155964171e-10,9.540238202606792e-10
1829,1.1547488351685128e-05,1.1547488351685128e-05,7.027427845989515e-11,9.698034756208278e-10
1830,1.0959610595559102e-05,1.0959610595559102e-05,7.027427845989515e-11,1.1152543491884818e-09
1831,1.100579122846414e-05,1.100579122846414e-05,2.560635988960566e-10,1.2081490094065624e-09
1832,1.1159682929116701e-05,1.1159682929116701e-05,5.115119756331816e-10,9.549154007209332e-10
1833,1.1212414522430794e-05,1.1212414522430794e-05,1.088859795978741e-09,1.119871925351187e-09
1834,1.1356681820221379e-05,1.1356681820221379e-05,2.3347627323541278e-09,1.0983615128523638e-09
1835,1.1663213886744675e-05,1.1663213886744675e-05,2.3347627323541278e-09,9.349403790841799e-10
1836,1.1735276530089322e-05,1.1735276530089322e-05,2.2644884538942326e-09,1.169697703774984e-09
1837,1.1572683953480528e-05,1.1572683953480528e-05,2.2644884538942326e-09,1.0386668826610291e-09
1838,1.131828880066418e-05,1.131828880066418e-05,2.0786991334580715e-09,1.0984237170624007e-09
1839,1.1323803976535731e-05,1.1323803976535731e-05,1.974813630083767e-09,1.0984237170624007e-09
1840,1.1075702397127835e-05,1.1075702397127835e-05,1.5486377418533997e-09,1.084639124547339e-09
1841,1.0601973112248483e-05,1.0601973112248483e-05,3.72712416485399e-10,1.0715565419110768e-09
