ngram,muscle,musle,mscle,mscle
1888,1.4255340309838565e-05,1.5300371009845698e-09,1.8538935466137574e-10,1.8538935466137574e-10
1889,1.4540308776694083e-05,1.2919088378447542e-09,2.0532156530528312e-10,2.0532156530528312e-10
1890,1.4903322802898142e-05,1.5818032518742443e-09,1.0895368337696506e-10,1.0895368337696506e-10
1891,1.5029680071165785e-05,1.501158023283925e-09,1.0895368337696506e-10,1.0895368337696506e-10
1892,1.5029896271049178e-05,1.6669085794213905e-09,7.993040554829126e-11,7.993040554829126e-11
1893,1.5523782946859554e-05,1.671862481789077e-09,5.234178963269593e-11,5.234178963269593e-11
1894,1.568618933691011e-05,1.8374352436393134e-09,1.1861710819920697e-10,1.1861710819920697e-10
1895,1.6079161339023684e-05,1.7462844265863404e-09,1.397883158433493e-10,1.397883158433493e-10
1896,1.6077703029233298e-05,1.7181315655915137e-09,1.068269520462398e-10,1.068269520462398e-10
1897,1.636085731401441e-05,1.772680502387658e-09,1.2540370725971124e-10,1.2540370725971124e-10
1898,1.6866430087247863e-05,2.139252663901914e-09,1.4344187544106697e-10,1.4344187544106697e-10
1899,1.7123260736947748e-05,1.821576048729615e-09,1.4344187544106697e-10,1.4344187544106697e-10
1900,1.745428406658383e-05,1.7785501008457265e-09,1.9765368905070143e-10,1.9765368905070143e-10
1901,1.7662934884096364e-05,1.755633892232465e-09,1.4851505739496166e-10,1.4851505739496166e-10
1902,1.7712486754005242e-05,1.6777152207175e-09,1.7899872060768629e-10,1.7899872060768629e-10
1903,1.8004818100182873e-05,1.6501849727948832e-09,1.5961829477209984e-10,1.5961829477209984e-10
1904,1.799732802153033e-05,1.3049113258199542e-09,1.4104153955862841e-10,1.4104153955862841e-10
1905,1.7809819057999577e-05,1.1713499416453134e-09,1.5349709598615798e-10,1.5349709598615798e-10
1906,1.76668896269153e-05,1.6206060025693502e-09,2.000420543498852e-10,2.000420543498852e-10
1907,1.7427701875151668e-05,1.84132704718541e-09,1.6048041467137912e-10,1.6048041467137912e-10
