ngram,string,strng,strng,strng
1912,9.556178416200315e-06,6.626962748398516e-10,6.626962748398516e-10,6.626962748398516e-10
1913,9.47517258152532e-06,6.578280063531037e-10,6.578280063531037e-10,6.578280063531037e-10
1914,9.490557334044882e-06,6.868588792967906e-10,6.868588792967906e-10,6.868588792967906e-10
1915,9.614007207606587e-06,5.837060477821763e-10,5.837060477821763e-10,5.837060477821763e-10
1916,9.609532883457308e-06,6.553511741217274e-10,6.553511741217274e-10,6.553511741217274e-10
1917,9.707448563338922e-06,6.289544639072529e-10,6.289544639072529e-10,6.289544639072529e-10
1918,9.849270229876441e-06,6.8848696188617e-10,6.8848696188617e-10,6.8848696188617e-10
1919,1.0027464798310706e-05,7.444765042536566e-10,7.444765042536566e-10,7.444765042536566e-10
1920,1.0307727019867993e-05,7.104864831384918e-10,7.104864831384918e-10,7.104864831384918e-10
1921,1.0772207653125016e-05,6.49777783166629e-10,6.49777783166629e-10,6.49777783166629e-10
1922,1.0947656327126814e-05,6.502642075594573e-10,6.502642075594573e-10,6.502642075594573e-10
1923,1.1089524767677566e-05,5.282503323655874e-10,5.282503323655874e-10,5.282503323655874e-10
1924,1.1353416604314198e-05,4.4445592444526076e-10,4.4445592444526076e-10,4.4445592444526076e-10
1925,1.160675726298775e-05,3.840492923679051e-10,3.840492923679051e-10,3.840492923679051e-10
1926,1.1830881833572806e-05,2.704033187837597e-10,2.704033187837597e-10,2.704033187837597e-10
1927,1.1869969057443086e-05,3.154167958564967e-10,3.154167958564967e-10,3.154167958564967e-10
1928,1.1459390277325707e-05,2.820030657403803e-10,2.820030657403803e-10,2.820030657403803e-10
1929,1.121135158298005e-05,2.842720681866291e-10,2.842720681866291e-10,2.842720681866291e-10
1930,1.1124177815093259e-05,2.378391293435454e-10,2.378391293435454e-10,2.378391293435454e-10
1931,1.087199819137043e-05,2.6407213915558003e-10,2.6407213915558003e-10,2.6407213915558003e-10
1932,1.0744546541120923e-05,1.9505661570067597e-10,1.9505661570067597e-10,1.9505661570067597e-10
1933,1.0439940784375981e-05,2.8772525037127194e-10,2.8772525037127194e-10,2.8772525037127194e-10
1934,1.0375762940384448e-05,3.09381617547011e-10,3.09381617547011e-10,3.09381617547011e-10
1935,1.0400926190154028e-05,3.3101679730584976e-10,3.3101679730584976e-10,3.3101679730584976e-10
1936,1.0419004736052426e-05,3.2232006746164236e-10,3.2232006746164236e-10,3.2232006746164236e-10
1937,1.0386698314895121e-05,3.175350914747759e-10,3.175350914747759e-10,3.175350914747759e-10
1938,1.0346844257063431e-05,2.9130208166274127e-10,2.9130208166274127e-10,2.9130208166274127e-10
1939,1.0079172300590602e-05,4.655602609775806e-10,4.655602609775806e-10,4.655602609775806e-10
1940,1.0005364206985437e-05,3.7289162630698465e-10,3.7289162630698465e-10,3.7289162630698465e-10
1941,9.960830279201868e-06,3.381772679349788e-10,3.381772679349788e-10,3.381772679349788e-10
1942,9.891967108290243e-06,3.186406475976154e-10,3.186406475976154e-10,3.186406475976154e-10
1943,9.936150230974558e-06,2.9821910813814563e-10,2.9821910813814563e-10,2.9821910813814563e-10
1944,9.873182404719825e-06,3.1371933622332497e-10,3.1371933622332497e-10,3.1371933622332497e-10
1945,9.919160999873253e-06,3.324887567649323e-10,3.324887567649323e-10,3.324887567649323e-10
1946,9.968209919212054e-06,2.0787488992051502e-10,2.0787488992051502e-10,2.0787488992051502e-10
1947,9.990078979171813e-06,2.4098884197711254e-10,2.4098884197711254e-10,2.4098884197711254e-10
1948,9.879891877062619e-06,3.0553169716451833e-10,3.0553169716451833e-10,3.0553169716451833e-10
1949,9.91062292346864e-06,2.976298136519213e-10,2.976298136519213e-10,2.976298136519213e-10
1950,9.853461961029097e-06,3.269364164313972e-10,3.269364164313972e-10,3.269364164313972e-10
1951,1.0126330120588786e-05,2.889937713737975e-10,2.889937713737975e-10,2.889937713737975e-10
1952,1.0081040922419301e-05,3.172761973781389e-10,3.172761973781389e-10,3.172761973781389e-10
1953,1.007420074269508e-05,2.8332112152394476e-10,2.8332112152394476e-10,2.8332112152394476e-10
1954,1.0070605769994603e-05,2.9375503716019425e-10,2.9375503716019425e-10,2.9375503716019425e-10
1955,1.0132783375281309e-05,2.1753779829079634e-10,2.1753779829079634e-10,2.1753779829079634e-10
1956,1.0048581576224283e-05,2.2746764690083155e-10,2.2746764690083155e-10,2.2746764690083155e-10
1957,1.0159304240785008e-05,2.2768262176413907e-10,2.2768262176413907e-10,2.2768262176413907e-10
1958,9.829925797280989e-06,2.2768262176413907e-10,2.2768262176413907e-10,2.2768262176413907e-10
1959,9.89702415868773e-06,2.258065312113874e-10,2.258065312113874e-10,2.258065312113874e-10
1960,9.969299623792591e-06,2.5246873837568376e-10,2.5246873837568376e-10,2.5246873837568376e-10
1961,1.0067596252026436e-05,2.2017643958038846e-10,2.2017643958038846e-10,2.2017643958038846e-10
1962,1.008511078128192e-05,2.4810597128364723e-10,2.4810597128364723e-10,2.4810597128364723e-10
1963,1.0243312057614925e-05,3.4001624234423847e-10,3.4001624234423847e-10,3.4001624234423847e-10
1964,1.0198988742818724e-05,3.430011998634923e-10,3.430011998634923e-10,3.430011998634923e-10
1965,1.0322383656914877e-05,4.752274218985545e-10,4.752274218985545e-10,4.752274218985545e-10
1966,1.0278249257161015e-05,5.003962373430402e-10,5.003962373430402e-10,5.003962373430402e-10
1967,1.02332153671471e-05,5.73025620009826e-10,5.73025620009826e-10,5.73025620009826e-10
1968,1.019302921382145e-05,5.79483134096773e-10,5.79483134096773e-10,5.79483134096773e-10
1969,1.013521510425822e-05,6.157934697873354e-10,6.157934697873354e-10,6.157934697873354e-10
1970,9.972226377742896e-06,5.671032591937828e-10,5.671032591937828e-10,5.671032591937828e-10
1971,9.993516609288885e-06,6.205542092090661e-10,6.205542092090661e-10,6.205542092090661e-10
1972,1.006179900286952e-05,5.491961032769563e-10,5.491961032769563e-10,5.491961032769563e-10
1973,1.011846299141845e-05,5.861547933535708e-10,5.861547933535708e-10,5.861547933535708e-10
1974,1.018267994368216e-05,5.44501493496671e-10,5.44501493496671e-10,5.44501493496671e-10
1975,1.0292998662667482e-05,5.754454095769595e-10,5.754454095769595e-10,5.754454095769595e-10
1976,1.0396170442358457e-05,4.918320790319492e-10,4.918320790319492e-10,4.918320790319492e-10
1977,1.0887881866697821e-05,5.17992938225171e-10,5.17992938225171e-10,5.17992938225171e-10
1978,1.1130703959289739e-05,4.350619130828142e-10,4.350619130828142e-10,4.350619130828142e-10
1979,1.1359104584179086e-05,4.4734310898432636e-10,4.4734310898432636e-10,4.4734310898432636e-10
1980,1.1691448500122143e-05,4.732659125705752e-10,4.732659125705752e-10,4.732659125705752e-10
1981,1.2292989984936347e-05,7.737985034474346e-10,7.737985034474346e-10,7.737985034474346e-10
1982,1.2853673069912475e-05,8.807828930487308e-10,8.807828930487308e-10,8.807828930487308e-10
1983,1.3663920591560391e-05,1.1675788371848635e-09,1.1675788371848635e-09,1.1675788371848635e-09
1984,1.4259211119289311e-05,1.4314409677426303e-09,1.4314409677426303e-09,1.4314409677426303e-09
1985,1.5154346978566277e-05,2.0073893975640952e-09,2.0073893975640952e-09,2.0073893975640952e-09
1986,1.583718728527726e-05,2.8323522733535763e-09,2.8323522733535763e-09,2.8323522733535763e-09
1987,1.671838409882704e-05,3.300998284240718e-09,3.300998284240718e-09,3.300998284240718e-09
1988,1.7201929560022628e-05,3.6133477321342866e-09,3.6133477321342866e-09,3.6133477321342866e-09
1989,1.780687359444398e-05,3.650614683563853e-09,3.650614683563853e-09,3.650614683563853e-09
1990,1.794588128437421e-05,3.4528863022766286e-09,3.4528863022766286e-09,3.4528863022766286e-09
1991,1.804177268890531e-05,3.703649204782928e-09,3.703649204782928e-09,3.703649204782928e-09
1992,1.7972226487472653e-05,3.4149759607439633e-09,3.4149759607439633e-09,3.4149759607439633e-09
1993,1.8174231757127147e-05,2.7487527095740714e-09,2.7487527095740714e-09,2.7487527095740714e-09
1994,1.833753023155233e-05,2.452527728521606e-09,2.452527728521606e-09,2.452527728521606e-09
1995,1.859073797407161e-05,2.002642028399647e-09,2.002642028399647e-09,2.002642028399647e-09
1996,1.8730003960497144e-05,2.137439741074181e-09,2.137439741074181e-09,2.137439741074181e-09
1997,1.929293310760321e-05,2.3061365832839034e-09,2.3061365832839034e-09,2.3061365832839034e-09
1998,1.998962891645663e-05,2.030306304031829e-09,2.030306304031829e-09,2.030306304031829e-09
1999,2.114375118773231e-05,1.919211361262845e-09,1.919211361262845e-09,1.919211361262845e-09
2000,2.2083703827645096e-05,1.9832908807312523e-09,1.9832908807312523e-09,1.9832908807312523e-09
2001,2.2638985423587394e-05,1.8094827699702672e-09,1.8094827699702672e-09,1.8094827699702672e-09
2002,2.3058133592712693e-05,1.7717953929416046e-09,1.7717953929416046e-09,1.7717953929416046e-09
2003,2.3808076678376112e-05,1.8567403329125147e-09,1.8567403329125147e-09,1.8567403329125147e-09
2004,2.4163064413837026e-05,2.9021081886832737e-09,2.9021081886832737e-09,2.9021081886832737e-09
2005,2.453341663307843e-05,2.6862427520463986e-09,2.6862427520463986e-09,2.6862427520463986e-09
2006,2.437227807864214e-05,2.7274716136409846e-09,2.7274716136409846e-09,2.7274716136409846e-09
2007,2.4676118430631633e-05,2.581783675736915e-09,2.581783675736915e-09,2.581783675736915e-09
2008,2.4866684855494115e-05,2.740954066890059e-09,2.740954066890059e-09,2.740954066890059e-09
2009,2.504264947284745e-05,2.6543319129958475e-09,2.6543319129958475e-09,2.6543319129958475e-09
2010,2.457063471540875e-05,2.3030893620783796e-09,2.3030893620783796e-09,2.3030893620783796e-09
2011,2.4271213987958618e-05,1.0176293815547917e-09,1.0176293815547917e-09,1.0176293815547917e-09
2012,2.3795122355555316e-05,1.0051802842462161e-09,1.0051802842462161e-09,1.0051802842462161e-09
2013,2.3006943073206848e-05,7.686424170760819e-10,7.686424170760819e-10,7.686424170760819e-10
2014,2.1887493078663412e-05,6.703194006807411e-10,6.703194006807411e-10,6.703194006807411e-10
2015,2.0923706220595966e-05,4.49908750631873e-10,4.49908750631873e-10,4.49908750631873e-10
2016,2.023979530869318e-05,4.3803018900548784e-10,4.3803018900548784e-10,4.3803018900548784e-10
2017,1.9965892837111216e-05,4.3939203837883856e-10,4.3939203837883856e-10,4.3939203837883856e-10
2018,1.962322094186675e-05,4.687762421295982e-10,4.687762421295982e-10,4.687762421295982e-10
2019,1.908531658045831e-05,3.990752893076599e-10,3.990752893076599e-10,3.990752893076599e-10
