ngram,red,rd,redd
1780,6.329506660612034e-05,1.915250501432248e-06,1.9147471468678695e-07
1781,6.322334229480475e-05,1.9558182040262702e-06,1.8466050022425406e-07
1782,6.62041108755927e-05,1.938941165592821e-06,2.2636205849429253e-07
1783,6.79638739841591e-05,1.8373464497147194e-06,2.438294016217567e-07
1784,6.757938535884023e-05,1.8690270897942746e-06,2.7791973573292647e-07
1785,6.850688545715197e-05,1.765316044709055e-06,4.184435665268081e-07
1786,6.789769395254552e-05,1.5764805181918616e-06,4.1336575204046054e-07
1787,6.873969998975684e-05,1.6013713905392381e-06,4.28777740678145e-07
1788,6.588796064274252e-05,1.600477747030839e-06,4.3214782457263415e-07
1789,6.205037165532954e-05,1.557554030893828e-06,4.0095627541956803e-07
1790,5.884637669493843e-05,1.6764762124564316e-06,3.708277692534726e-07
1791,5.925341871001625e-05,1.7507785677090787e-06,3.746134110217879e-07
1792,5.6876623732802856e-05,1.8370739586056776e-06,2.573057490248435e-07
1793,8.060510455314735e-05,2.0007619241368957e-06,2.1115970838536668e-07
1794,8.108541338255495e-05,1.9963798000130088e-06,1.7589508973157665e-07
1795,8.672522692774822e-05,2.02054341765948e-06,1.519707290802736e-07
1796,8.999567684700846e-05,2.063862861437623e-06,1.906767142908653e-07
1797,9.445458843921577e-05,2.014462292468774e-06,1.940333120842297e-07
1798,9.593958332386267e-05,1.914871583202122e-06,1.5658739321062448e-07
1799,0.00010047791667083012,1.919894365138524e-06,1.3584164548774424e-07
1800,8.051640179473907e-05,1.946701559063513e-06,1.337266196190155e-07
1801,8.061863835402099e-05,1.974444168289275e-06,1.6256424117955248e-07
1802,7.75293488654175e-05,2.048886277147436e-06,1.9332616675780757e-07
1803,7.622417407609256e-05,2.124823757705079e-06,1.6360479142869216e-07
1804,7.776801898476801e-05,2.273851870476002e-06,1.6964836748099644e-07
1805,7.586719272824536e-05,2.4081093995066894e-06,1.8806485968525521e-07
1806,7.754622700823737e-05,2.4384630056114735e-06,1.9586661384859587e-07
1807,8.08767311225113e-05,2.3512112485540067e-06,2.3935165164143004e-07
1808,7.891986180246542e-05,2.3370794549139518e-06,2.2617953123114732e-07
1809,7.594097041874193e-05,2.2961933154874714e-06,2.338594628424419e-07
1810,7.658837889071688e-05,2.283171397721162e-06,2.220995999177181e-07
1811,7.372981833343926e-05,2.143827357161042e-06,2.101565661811427e-07
1812,7.551990659391907e-05,2.031230711249269e-06,1.8764679562569393e-07
1813,7.033372198098473e-05,2.0339354185645268e-06,1.985160592101108e-07
1814,6.780014310996714e-05,1.94998306467044e-06,1.6564149011141387e-07
1815,6.965062441720095e-05,1.86491822010534e-06,1.6465413210653423e-07
1816,7.604397719010844e-05,1.7437100723327603e-06,1.408887350911365e-07
1817,7.53437629360373e-05,1.622274697053529e-06,1.4879504663310529e-07
1818,7.645156074431725e-05,1.5396427670566482e-06,1.593800748521192e-07
1819,7.78465967284449e-05,1.4641487138890495e-06,2.024977244933065e-07
1820,8.034262178365939e-05,1.2756567814774047e-06,2.1590536342890638e-07
1821,8.134200262637543e-05,1.226250365756901e-06,2.109180233641642e-07
1822,8.083209624081584e-05,1.1760982780677814e-06,2.468970470610137e-07
1823,7.649121003591322e-05,1.1545305856738456e-06,2.4478910022805523e-07
1824,7.635035269361521e-05,1.11800009757904e-06,2.5046289765993735e-07
1825,7.487673636725438e-05,1.125162076017919e-06,2.444381652009854e-07
1826,7.568848377559334e-05,1.1253052077466106e-06,2.1461153413123872e-07
1827,7.552456684477095e-05,1.1082807824485435e-06,1.8604519778721495e-07
1828,7.59018595480094e-05,1.0988120168674089e-06,1.9388092705899647e-07
1829,7.574453359536295e-05,1.1184543901825755e-06,1.46512051506826e-07
1830,7.712917639374999e-05,1.1127243949106611e-06,1.6373484206561833e-07
1831,7.830538275551849e-05,1.1048806689879193e-06,1.5289916380619877e-07
1832,8.045018746218245e-05,1.0741776869898395e-06,1.4155299002790604e-07
1833,7.824282822964181e-05,1.0920146808400335e-06,1.3239715355796632e-07
1834,7.828561917579333e-05,1.128805300660523e-06,1.306130700738452e-07
1835,7.782521424815059e-05,1.1449082129339722e-06,1.2169952969186072e-07
1836,7.958547731894734e-05,1.1400786498987664e-06,1.3929522728923465e-07
1837,7.96529306431434e-05,1.1404079681856923e-06,1.1711457200850159e-07
1838,8.072370214254729e-05,1.1640247196607691e-06,1.17649671592192e-07
1839,8.126545123689408e-05,1.177598310927611e-06,1.3725215097792898e-07
1840,8.218753958187466e-05,1.1884804637572545e-06,1.3824396713094496e-07
1841,8.278201961989648e-05,1.1816823806449456e-06,1.518035272088777e-07
1842,8.405696488417951e-05,1.21337123865877e-06,1.8952519452243776e-07
1843,8.45096365083009e-05,1.227204506903945e-06,2.38785323704503e-07
1844,8.496335067320615e-05,1.235955843575149e-06,2.5024600651996867e-07
1845,8.529686913659264e-05,1.2110072507961637e-06,2.506729442432386e-07
1846,8.473510492227174e-05,1.212830284202937e-06,2.486219666967112e-07
1847,8.46929896007558e-05,1.2412734642046935e-06,2.4546791520054156e-07
1848,8.66130503709428e-05,1.2590276940370262e-06,2.3380381212031613e-07
1849,8.709072842196162e-05,1.2421119858377746e-06,1.9614933372784954e-07
1850,8.675638569651969e-05,1.2688424249063246e-06,1.4000213509137082e-07
1851,8.726229342365903e-05,1.2967662996743456e-06,1.2950267651896346e-07
1852,8.792250654161242e-05,1.328211153252466e-06,1.3013230873834152e-07
1853,8.775722484902612e-05,1.363185772009144e-06,1.1500403676986285e-07
1854,8.92957707817134e-05,1.3515085908823364e-06,1.292346171664706e-07
1855,8.96210694918409e-05,1.3858788341687095e-06,1.353777564970317e-07
1856,8.999309648061171e-05,1.4126800189322758e-06,1.432216316337482e-07
1857,9.165045360402604e-05,1.4122494543958704e-06,1.411427317878276e-07
1858,9.267992261032174e-05,1.4555316900961252e-06,1.47524790098227e-07
1859,9.319635552986125e-05,1.512039505411979e-06,1.4588377236382906e-07
1860,9.382014312515301e-05,1.5329721268894251e-06,1.4247825674829073e-07
1861,9.371606159090464e-05,1.5746373946967651e-06,1.2898024794237374e-07
1862,9.331012448196166e-05,1.5710617325177218e-06,1.2221769399697484e-07
1863,9.283800006544749e-05,1.5687590868245543e-06,1.2244961311580482e-07
1864,9.303441973835496e-05,1.5975927811138848e-06,1.2413525191894742e-07
1865,9.276698671913306e-05,1.563414701065215e-06,1.2279653256135653e-07
1866,9.285428261916553e-05,1.567817613639428e-06,1.3326580626328776e-07
1867,9.277331784167992e-05,1.630741020822565e-06,1.436105015224192e-07
1868,9.307479714542361e-05,1.6045494248828618e-06,1.4798696668094635e-07
1869,9.353104022531105e-05,1.6299871958835865e-06,1.569307203551164e-07
1870,9.486008951041316e-05,1.6415894736253125e-06,1.4739271745968706e-07
1871,9.554388400699412e-05,1.6867765647735463e-06,1.4309832100220126e-07
1872,9.634803219731631e-05,1.6986308375115705e-06,1.381520482774639e-07
1873,9.678432979853824e-05,1.6834908202716697e-06,1.2883445167842312e-07
1874,9.757948906293937e-05,1.6217445103653257e-06,1.2786982901096572e-07
1875,9.940853383990802e-05,1.6881048168215784e-06,1.2463349362081188e-07
1876,0.00010044394314588447,1.697072207207384e-06,1.2222589264508444e-07
1877,0.00010063182396282042,1.9078580635323306e-06,1.2078017671715964e-07
1878,0.00010102029253695426,1.9541452859682195e-06,1.1564290198456157e-07
1879,0.00010171743321864466,2.1121377845442372e-06,1.0981116714349679e-07
1880,0.0001030005285948781,2.2166427535401974e-06,1.1843275262078481e-07
