ngram,fun,fn,funn,fuun
1832,2.514386064181703e-06,3.0178030182729086e-07,4.002035274603648e-09,5.539768881719048e-10
1833,2.577795807415636e-06,2.942180036110845e-07,4.42486488719648e-09,6.364551504870316e-10
1834,2.7542788367489786e-06,2.9754277112000895e-07,4.815674018284913e-09,6.364551504870316e-10
1835,2.9554890131424017e-06,2.898817034032878e-07,3.906493612720092e-09,5.261258413063225e-10
1836,3.1392807743811446e-06,2.7104314475374327e-07,4.000702380491106e-09,5.261258413063225e-10
1837,3.1769247276055727e-06,2.597703720701767e-07,3.929249854055834e-09,4.3082129927033263e-10
1838,3.3184373608362094e-06,2.6366163297097955e-07,3.736941716387625e-09,3.379266390522519e-10
1839,3.4875223328916557e-06,2.665251486178022e-07,3.10342343093747e-09,8.247826231512688e-11
1840,3.7205735939746124e-06,2.6281823904485334e-07,2.6703552305892433e-09,7.558596605759606e-11
1841,3.7810724669335675e-06,2.6225972809308065e-07,1.96662590181061e-09,2.1554118807236884e-10
1842,3.7498408411400826e-06,2.70144511205217e-07,2.430181437037707e-09,2.7635662805788487e-10
1843,3.772974456036796e-06,2.8271419085155814e-07,2.4483227350253448e-09,3.419311579909236e-10
1844,3.809209114738873e-06,2.807362104054586e-07,2.8731685126308956e-09,3.419311579909236e-10
1845,3.7824468758377146e-06,2.717957008664078e-07,2.6821690741434575e-09,4.086699232987355e-10
1846,3.7071574752189917e-06,2.5892967008595793e-07,3.031248347567279e-09,4.738904229346324e-10
1847,3.6575373607255254e-06,2.900110384221729e-07,3.895388868611706e-09,7.013317744013798e-10
1848,3.648652084718508e-06,3.3523545539537736e-07,4.779209567778204e-09,7.254395695266425e-10
1849,3.8054877222748473e-06,3.535964927842932e-07,5.091703217782342e-09,7.721032028015376e-10
1850,3.935601073732999e-06,3.714404418328091e-07,5.600184284558298e-09,7.539985818245348e-10
1851,4.083543282311959e-06,4.387004862240117e-07,5.933430540545308e-09,1.0789987355977866e-09
1852,4.306980892059593e-06,4.811267676326938e-07,6.829391591927398e-09,1.366190950052066e-09
1853,4.5029231452125325e-06,5.204152557780617e-07,7.09411405809744e-09,1.6387858451213537e-09
1854,4.7438589133110194e-06,5.165836317441322e-07,6.659739807243373e-09,1.3862603882268993e-09
1855,4.947647409738108e-06,4.851289117725952e-07,6.77352650159589e-09,1.274699120066915e-09
1856,5.132734583769759e-06,4.914460995613419e-07,7.007067561102888e-09,1.465412882309788e-09
1857,5.348962986317929e-06,5.024105900832052e-07,7.067823849991685e-09,1.5623456536431997e-09
1858,5.5252723021632325e-06,4.609362836812839e-07,7.0368294048859886e-09,1.2373454998699479e-09
1859,5.685024656746204e-06,4.518935717052435e-07,6.665995374735953e-09,1.0052732971451865e-09
