ngram,food,fod,fod,foodd
1831,6.976184210673506e-05,1.8030022300560437e-08,1.8030022300560437e-08,2.451150473069065e-10
1832,7.178224456895675e-05,1.732950697227612e-08,1.732950697227612e-08,1.1849824296409191e-10
1833,7.237664457144482e-05,1.8876745500051584e-08,1.8876745500051584e-08,0.0
1834,7.244270610889154e-05,1.9298649662451746e-08,1.9298649662451746e-08,0.0
1835,7.300166180357337e-05,1.9842806635901004e-08,1.9842806635901004e-08,0.0
1836,7.44794961065054e-05,1.999598746899827e-08,1.999598746899827e-08,7.506117949418467e-11
1837,7.458108406613715e-05,1.9507797662957468e-08,1.9507797662957468e-08,7.506117949418467e-11
1838,7.337456190725788e-05,1.8595963752992313e-08,1.8595963752992313e-08,1.5138692680391078e-10
1839,7.393418491119519e-05,1.845628056733923e-08,1.845628056733923e-08,1.5138692680391078e-10
1840,7.479535374191723e-05,1.8888431644167473e-08,1.8888431644167473e-08,2.2697289286150683e-10
1841,7.56109376587639e-05,1.8788947033142123e-08,1.8788947033142123e-08,2.2697289286150683e-10
1842,7.53875564052058e-05,1.925280684084945e-08,1.925280684084945e-08,2.2697289286150683e-10
1843,7.710161922399752e-05,1.986727760083795e-08,1.986727760083795e-08,1.5191171336732216e-10
1844,7.980633901232588e-05,1.9729383840935303e-08,1.9729383840935303e-08,1.5191171336732216e-10
1845,8.122660697803699e-05,2.120574319316607e-08,2.120574319316607e-08,7.558596605759606e-11
1846,8.043701590005574e-05,2.1669706283335344e-08,2.1669706283335344e-08,7.558596605759606e-11
1847,8.068129890099434e-05,2.099558368432294e-08,2.099558368432294e-08,0.0
1848,8.117657957232691e-05,2.1475393907621765e-08,2.1475393907621765e-08,1.0937535004679993e-10
1849,8.132011654587197e-05,2.2047795462348015e-08,2.2047795462348015e-08,1.6311488667700554e-10
1850,7.955167529871687e-05,2.3018839406014583e-08,2.3018839406014583e-08,2.1058479563304137e-10
1851,7.688972047097715e-05,2.402110434372519e-08,2.402110434372519e-08,3.03441985824041e-10
1852,7.664133279052163e-05,2.4731121785391352e-08,2.4731121785391352e-08,4.045651274304467e-10
1853,7.671420982140782e-05,2.73225975178093e-08,2.73225975178093e-08,4.045651274304467e-10
1854,7.573723373103089e-05,2.9292024805727124e-08,2.9292024805727124e-08,4.045651274304467e-10
1855,7.580881148377168e-05,3.033558115816959e-08,3.033558115816959e-08,2.951897773836468e-10
1856,7.659448289944391e-05,2.8178717771863504e-08,2.8178717771863504e-08,2.414502407534412e-10
1857,7.808646790051301e-05,2.85233259234019e-08,2.85233259234019e-08,1.9398033179740537e-10
1858,7.912100305215322e-05,2.7481149800223648e-08,2.7481149800223648e-08,1.0112314160640575e-10
1859,7.874375816235053e-05,2.7438105628821826e-08,2.7438105628821826e-08,0.0
1860,7.864297159747886e-05,3.104224636071454e-08,3.104224636071454e-08,0.0
1861,7.901302576231371e-05,3.06385606409419e-08,3.06385606409419e-08,0.0
1862,7.948442881960156e-05,3.243347812542652e-08,3.243347812542652e-08,0.0
1863,7.941719169528889e-05,3.356681231382806e-08,3.356681231382806e-08,0.0
1864,7.95790963041197e-05,3.4415195265020363e-08,3.4415195265020363e-08,0.0
1865,7.977206821254055e-05,3.731122509366612e-08,3.731122509366612e-08,0.0
1866,8.01924241906298e-05,3.8061934556513477e-08,3.8061934556513477e-08,0.0
1867,8.053522261824193e-05,3.407769609355325e-08,3.407769609355325e-08,0.0
1868,8.118027367994987e-05,3.462437194100078e-08,3.462437194100078e-08,0.0
1869,8.012572340833555e-05,3.426174950098877e-08,3.426174950098877e-08,3.958588615634742e-11
1870,7.947348993703989e-05,3.44074447663648e-08,3.44074447663648e-08,3.958588615634742e-11
1871,7.912021413046335e-05,3.486705375215544e-08,3.486705375215544e-08,8.016194850770018e-11
1872,7.919610756549187e-05,3.375169502614231e-08,3.375169502614231e-08,8.016194850770018e-11
1873,7.86897715962758e-05,3.347790819166871e-08,3.347790819166871e-08,8.016194850770018e-11
1874,7.819499400544114e-05,3.208358835747406e-08,3.208358835747406e-08,8.016194850770018e-11
1875,7.797286629543773e-05,3.1817038400764175e-08,3.1817038400764175e-08,8.016194850770018e-11
1876,7.922923188224169e-05,3.034698207013012e-08,3.034698207013012e-08,4.057606235135276e-11
1877,8.04977337663461e-05,3.10529940808887e-08,3.10529940808887e-08,7.552773485995447e-11
1878,8.098413880881188e-05,2.9295454950784006e-08,2.9295454950784006e-08,3.4951672508601714e-11
1879,8.111458009807393e-05,2.8485593312715148e-08,2.8485593312715148e-08,3.4951672508601714e-11
1880,8.312571091145011e-05,2.8869092005834318e-08,2.8869092005834318e-08,3.4951672508601714e-11
1881,8.577975677326322e-05,3.047259003860095e-08,3.047259003860095e-08,6.65172678842347e-11
1882,8.733700295644147e-05,3.063127504024773e-08,3.063127504024773e-08,9.892684687302328e-11
1883,8.787429500703834e-05,3.1269331505054e-08,3.1269331505054e-08,9.892684687302328e-11
1884,8.746508995370408e-05,3.216486251947767e-08,3.216486251947767e-08,6.397517436442155e-11
1885,8.82379203436098e-05,3.484158967686264e-08,3.484158967686264e-08,6.397517436442155e-11
1886,8.92547977855429e-05,3.598899667167643e-08,3.598899667167643e-08,6.397517436442155e-11
1887,8.923544373828918e-05,3.5401150455527386e-08,3.5401150455527386e-08,9.160914289057282e-11
1888,8.785076456011407e-05,3.7826627163894955e-08,3.7826627163894955e-08,6.004354751493984e-11
1889,8.783372426738165e-05,3.788410245826006e-08,3.788410245826006e-08,2.7633968526151266e-11
1890,8.79407037116055e-05,3.8662091940620617e-08,3.8662091940620617e-08,5.29296586718583e-11
1891,8.974698929315699e-05,3.699126313197862e-08,3.699126313197862e-08,5.29296586718583e-11
1892,9.069240123998108e-05,3.4948790781998337e-08,3.4948790781998337e-08,5.29296586718583e-11
1893,9.14536212803796e-05,3.387078173489044e-08,3.387078173489044e-08,7.59913322743801e-11
1894,9.22468732044633e-05,3.372406633315807e-08,3.372406633315807e-08,4.8357363748228825e-11
1895,9.403899249653997e-05,3.030027733481282e-08,3.030027733481282e-08,4.8357363748228825e-11
1896,9.426463657291606e-05,2.8728154331604727e-08,2.8728154331604727e-08,4.8357363748228825e-11
1897,9.645819643213014e-05,2.6489522956093684e-08,2.6489522956093684e-08,2.3061673602521792e-11
1898,9.656395143662979e-05,2.5991635003005546e-08,2.5991635003005546e-08,2.3061673602521792e-11
1899,9.763695353675368e-05,2.48626333489353e-08,2.48626333489353e-08,7.770339332286674e-11
1900,9.83822620972725e-05,2.474386054781722e-08,2.474386054781722e-08,9.078292879343458e-11
1901,9.872840018942952e-05,2.3549886612223806e-08,2.3549886612223806e-08,9.078292879343458e-11
1902,9.918686763350186e-05,2.2944217446609272e-08,2.2944217446609272e-08,9.078292879343458e-11
1903,9.988653930901949e-05,2.2436721433142078e-08,2.2436721433142078e-08,1.8641779389990835e-10
1904,0.00010004815391896824,2.488641952831066e-08,2.488641952831066e-08,2.0227153384772782e-10
1905,0.00010065599365459223,2.4795439098771307e-08,2.4795439098771307e-08,2.0227153384772782e-10
1906,0.0001006772498450508,2.4665799561570826e-08,2.4665799561570826e-08,1.6314480024862529e-10
1907,0.00010103772053428526,2.3836180267673105e-08,2.3836180267673105e-08,1.2700359117553565e-10
1908,0.00010192330955760553,2.3746995481133126e-08,2.3746995481133126e-08,1.4072804528840266e-10
1909,0.00010237122062660222,2.3486591211557036e-08,2.3486591211557036e-08,1.5450905436039823e-10
1910,0.00010352038849045389,2.3779644412310778e-08,2.3779644412310778e-08,5.887418925392446e-11
1911,0.00010410982317158155,2.1223141339581682e-08,2.1223141339581682e-08,5.699838121328174e-11
1912,0.00010533891639040251,2.109759199088655e-08,2.109759199088655e-08,5.699838121328174e-11
1913,0.00010723755154426076,2.0598943249540624e-08,2.0598943249540624e-08,4.148339509203934e-11
1914,0.00011444498834732388,2.0884704505468628e-08,2.0884704505468628e-08,7.071637422465368e-11
1915,0.0001221622431850327,2.0244622740100178e-08,2.0244622740100178e-08,7.29306426757884e-11
1916,0.0001263623416889459,2.0717144571286942e-08,2.0717144571286942e-08,7.420149613793622e-11
1917,0.0001284933844414939,2.031206314256906e-08,2.031206314256906e-08,8.816723046090047e-11
1918,0.00012896118797860772,2.0006269656797874e-08,2.0006269656797874e-08,7.418929855372371e-11
1919,0.00012852639546118944,1.9306132311872456e-08,1.9306132311872456e-08,1.0260079194976005e-10
1920,0.00012770471741012962,1.9307631049514384e-08,1.9307631049514384e-08,1.0260079194976005e-10
1921,0.00012211412311964004,1.799234031604361e-08,1.799234031604361e-08,1.5770263765503755e-10
