ngram,discipline,dicipline,discpline,discipine
1988,2.2905108770438737e-05,7.543485709098669e-09,3.0061520891625346e-09,3.130851102182776e-09
1989,2.2906430396168226e-05,6.82957259000107e-09,3.008849487023164e-09,2.979609384620322e-09
1990,2.2955145271095845e-05,6.321901795709144e-09,2.9175446503160174e-09,2.7106923689806148e-09
1991,2.3093206826680606e-05,5.8011710356100005e-09,2.5137553625955077e-09,2.5877882693846134e-09
1992,2.3244679791137708e-05,5.441458268100925e-09,2.516709063371536e-09,2.273145148303156e-09
1993,2.3355458584514315e-05,5.02728309775031e-09,2.3648899346743033e-09,2.1522305842276116e-09
1994,2.3614186959873352e-05,4.629138405931599e-09,2.3138892072235453e-09,1.738580581088302e-09
1995,2.3942409045827973e-05,4.305218245396045e-09,2.2660252563255767e-09,1.599119677945079e-09
1996,2.4373241883170393e-05,4.084309588949151e-09,2.2089645509585208e-09,1.4769362082540332e-09
1997,2.474748518060161e-05,3.752596455797175e-09,2.137992751092911e-09,1.334478432519453e-09
1998,2.5041159720525945e-05,3.481198377183351e-09,2.0104855637446762e-09,1.2721098777542954e-09
1999,2.5417552803576526e-05,3.7067432298191048e-09,1.8591269872787158e-09,1.2177596946700525e-09
2000,2.569662787469237e-05,3.513758490519032e-09,1.7782119031219322e-09,1.0832779911191486e-09
2001,2.5923883055968743e-05,3.103087548821699e-09,1.541578396681485e-09,9.476004584182566e-10
2002,2.6112930104968006e-05,3.1951565361763657e-09,1.4663111439336011e-09,8.664133299696175e-10
2003,2.6152486368248772e-05,3.2079087164404996e-09,1.2916227690570485e-09,7.592998135003931e-10
2004,2.625297695755892e-05,3.015278392050545e-09,1.1560989070830934e-09,6.55859077365e-10
2005,2.6394773937811677e-05,2.8700093412936667e-09,1.1896009574233597e-09,6.025808859825129e-10
2006,2.642184803594968e-05,2.4178894124966224e-09,1.0482097332977146e-09,5.496216061638495e-10
2007,2.651311738840637e-05,2.494876020061757e-09,1.0496571151945894e-09,4.779759841890195e-10
2008,2.616898278314953e-05,2.5823951389978917e-09,1.013718624915632e-09,5.072959274876609e-10
2009,2.556596233002243e-05,2.3103244238344344e-09,9.93717100669248e-10,4.699633420519283e-10
2010,2.5327859735365825e-05,2.191532780645592e-09,9.496712543339519e-10,5.114773406398956e-10
2011,2.498122921679169e-05,2.2922244261433124e-09,8.543877867100186e-10,4.98959353992642e-10
2012,2.4800787546804975e-05,2.2417407454154515e-09,8.014474203335961e-10,4.2206070781171587e-10
2013,2.472988204057661e-05,2.1107568867354385e-09,8.003898615311605e-10,4.19776447729043e-10
2014,2.4304622586766656e-05,1.7534388623603142e-09,7.263314909839685e-10,4.4992248022473243e-10
2015,2.3982737080327104e-05,1.8530190477277537e-09,6.64094858469712e-10,3.8726707158558733e-10
2016,2.413377400703861e-05,1.7044468772883396e-09,6.106585713285182e-10,3.708851559203197e-10
2017,2.4031929873065867e-05,1.6637389336586021e-09,6.07358330295682e-10,3.1807025531923233e-10
2018,2.404946026217658e-05,1.424543383254928e-09,6.573370792128941e-10,3.4268817228344516e-10
2019,2.3775742192810867e-05,1.4255786967565243e-09,6.534658439361074e-10,3.6294695721084125e-10
