ngram,nail,naill,naill,naill
1924,4.784581765956578e-06,2.430319628083615e-09,2.430319628083615e-09,2.430319628083615e-09
1925,4.721390788680375e-06,2.2347355315461518e-09,2.2347355315461518e-09,2.2347355315461518e-09
1926,4.721502786456508e-06,2.1711330273304394e-09,2.1711330273304394e-09,2.1711330273304394e-09
1927,4.690569962154509e-06,2.119170402651146e-09,2.119170402651146e-09,2.119170402651146e-09
1928,4.555062592511863e-06,2.5674587931869196e-09,2.5674587931869196e-09,2.5674587931869196e-09
1929,4.442107443277824e-06,2.4029377297475817e-09,2.4029377297475817e-09,2.4029377297475817e-09
1930,4.314930200572624e-06,2.6095731686659462e-09,2.6095731686659462e-09,2.6095731686659462e-09
1931,4.279726129295471e-06,2.2523076181890644e-09,2.2523076181890644e-09,2.2523076181890644e-09
1932,4.295192801302099e-06,2.349432886334617e-09,2.349432886334617e-09,2.349432886334617e-09
1933,4.334857424380191e-06,2.3052963347782095e-09,2.3052963347782095e-09,2.3052963347782095e-09
1934,4.344972304742052e-06,2.2121788052181e-09,2.2121788052181e-09,2.2121788052181e-09
1935,4.3727923184633255e-06,1.3173244241469563e-09,1.3173244241469563e-09,1.3173244241469563e-09
1936,4.369047798848312e-06,1.7814918905147336e-09,1.7814918905147336e-09,1.7814918905147336e-09
1937,4.501371352359586e-06,1.8763841115797065e-09,1.8763841115797065e-09,1.8763841115797065e-09
1938,4.475192456863754e-06,1.875732569267541e-09,1.875732569267541e-09,1.875732569267541e-09
1939,4.501973177996531e-06,2.1097850292203393e-09,2.1097850292203393e-09,2.1097850292203393e-09
1940,4.425579715773763e-06,2.1023744808549137e-09,2.1023744808549137e-09,2.1023744808549137e-09
1941,4.55197973029239e-06,2.1156814712851103e-09,2.1156814712851103e-09,2.1156814712851103e-09
1942,4.516710500216245e-06,2.0651287505454465e-09,2.0651287505454465e-09,2.0651287505454465e-09
1943,4.621087620242699e-06,1.6714446969347462e-09,1.6714446969347462e-09,1.6714446969347462e-09
1944,4.585687747749034e-06,1.2415676958754673e-09,1.2415676958754673e-09,1.2415676958754673e-09
1945,4.668588644562988e-06,1.2987484004911565e-09,1.2987484004911565e-09,1.2987484004911565e-09
1946,4.810746239464996e-06,1.0906753179178758e-09,1.0906753179178758e-09,1.0906753179178758e-09
1947,4.792775143869221e-06,1.118042489938504e-09,1.118042489938504e-09,1.118042489938504e-09
1948,4.607958544511348e-06,1.0275925011698256e-09,1.0275925011698256e-09,1.0275925011698256e-09
1949,4.672936159165277e-06,1.116230502870178e-09,1.116230502870178e-09,1.116230502870178e-09
1950,4.5778171754916134e-06,1.249163453231894e-09,1.249163453231894e-09,1.249163453231894e-09
1951,4.516591226482498e-06,1.4784286096945566e-09,1.4784286096945566e-09,1.4784286096945566e-09
1952,4.380471507049931e-06,1.8396726285198538e-09,1.8396726285198538e-09,1.8396726285198538e-09
1953,4.170892745085959e-06,1.8128181257713395e-09,1.8128181257713395e-09,1.8128181257713395e-09
