ngram,structure,strcture,strucure,sturcture
1902,5.0872593419626355e-05,1.6060706138037213e-10,3.8592464145027955e-09,4.916265113262343e-10
1903,5.1838979353695845e-05,3.165572268600972e-10,4.046714392152191e-09,4.197201177883311e-10
1904,5.2230421715648845e-05,3.324109668079167e-10,3.9962470158424625e-09,4.776890490308463e-10
1905,5.3148330542691315e-05,3.4486652323544627e-10,3.944291940679737e-09,5.816257792850316e-10
1906,5.3409381507663056e-05,3.212547757575861e-10,3.9172875102419116e-09,5.371012047815173e-10
1907,5.387272800102697e-05,3.3590494968871454e-10,3.66326886285557e-09,5.234194823598517e-10
1908,5.440253672921764e-05,3.7715383494856576e-10,3.6157996914048293e-09,5.50943917471918e-10
1909,5.460800093715079e-05,3.7715383494856576e-10,3.6814587568910285e-09,6.336618610777326e-10
1910,5.506074895882713e-05,2.293710231669545e-10,3.726692224656095e-09,7.076441813477377e-10
1911,5.5254107012712795e-05,2.4147314703348854e-10,3.5277343586009077e-09,7.523010547849651e-10
1912,5.549781261444358e-05,3.5512050244879134e-10,3.870856460760511e-09,8.032954460343181e-10
1913,5.622130265692249e-05,3.955801222302721e-10,4.011697957955513e-09,7.996442436779866e-10
1914,5.60327763586039e-05,4.832453742720233e-10,4.14216844950894e-09,9.164414187840769e-10
1915,5.591488349767003e-05,4.0532718649709057e-10,4.153698686591513e-09,9.638187430700234e-10
1916,5.5786160893538704e-05,4.504827721169795e-10,4.711212753250038e-09,9.47694403111551e-10
1917,5.567777043324895e-05,4.369007269062435e-10,4.858160191594558e-09,8.37886972106437e-10
1918,5.591719413392379e-05,4.0894486309189e-10,5.05717249029861e-09,7.268681351257911e-10
1919,5.6357660339147386e-05,2.9321527646373827e-10,4.84495691185519e-09,7.10162054162744e-10
1920,5.75150375620329e-05,2.9133064908894365e-10,4.756505633807251e-09,1.0616964390974815e-09
1921,5.826516956273865e-05,1.8901522311606404e-10,4.691350133764363e-09,1.0549682179426613e-09
1922,5.928326364872711e-05,2.0544037007289414e-10,4.889424738101817e-09,1.1047300792408977e-09
1923,6.117290883724178e-05,2.0939167364294623e-10,4.867039025770379e-09,1.0429236462534369e-09
1924,6.251291675393336e-05,2.198474695942159e-10,4.831643529712437e-09,1.1370998269961368e-09
1925,6.424092966231651e-05,2.6585781988584603e-10,5.2485261216515616e-09,1.5224324895995218e-09
1926,6.59387395509319e-05,2.6036928962065124e-10,5.340542484434861e-09,1.5953989161511727e-09
1927,6.681011031365156e-05,4.1814811930456537e-10,5.328034013984961e-09,1.5647848334537124e-09
1928,6.900684197067417e-05,4.4095760574704354e-10,5.455388585318133e-09,1.7382574665373136e-09
1929,7.125199148764036e-05,4.1794081092775114e-10,5.588297824488109e-09,1.873762470580179e-09
1930,7.337067446704688e-05,4.5051609863312944e-10,5.455557085452613e-09,2.235740426126398e-09
1931,7.571065569728879e-05,4.2609456835889555e-10,5.7125196636523665e-09,2.3759628708930336e-09
1932,7.783266794701506e-05,3.8008421806726544e-10,5.268367964106346e-09,2.1983021910746257e-09
1933,7.863718305348552e-05,3.8032841360407284e-10,5.022076088323502e-09,2.223911309075431e-09
1934,8.021668639100556e-05,1.7541249405387101e-10,5.306854892036686e-09,2.1072438714599328e-09
1935,8.207785140257329e-05,1.5260300761139282e-10,5.600940092672804e-09,2.0539919289218135e-09
1936,8.352845283557795e-05,1.4825464268928912e-10,5.692104184821087e-09,1.9974631789868422e-09
1937,8.451630752201058e-05,2.236693885659946e-10,5.893278690446582e-09,1.8535763083146355e-09
1938,8.505217244549255e-05,3.3243064253721654e-10,6.437004897362288e-09,1.7652642205133263e-09
1939,8.504475928410622e-05,4.07112720519314e-10,6.841684742551836e-09,1.7777720089690823e-09
1940,8.567960321670398e-05,4.613253469708058e-10,7.240023628237882e-09,1.7034860982129934e-09
1941,8.614416375556695e-05,4.940146129474497e-10,7.113508575835275e-09,1.6493894662770815e-09
1942,8.56082676494095e-05,5.687387525218515e-10,8.050959708429315e-09,1.5348554490860318e-09
1943,8.53086613850402e-05,5.478013201784141e-10,8.28767632299332e-09,1.7346419856067996e-09
1944,8.552905118059633e-05,4.476183630102477e-10,8.648789747870263e-09,1.7843743625535679e-09
1945,8.689108134214101e-05,3.951653686813066e-10,8.752233731408004e-09,1.8355893947687362e-09
1946,9.003274941018649e-05,3.370313948560165e-10,8.865195752097828e-09,2.232025215447615e-09
1947,9.344357697825347e-05,3.7555043995242595e-10,9.467200864524524e-09,2.448839781748242e-09
1948,9.584490492540811e-05,4.0589330309513475e-10,1.019980087692472e-08,2.631989784848291e-09
