ngram,patient,patint,patiant,patent
1856,6.334913580628511e-05,1.4730754473367215e-09,7.350339503719994e-10,3.1802044499532455e-05
1857,6.493824132901085e-05,1.8106793524858794e-09,6.88228359223077e-10,3.123962700816004e-05
1858,6.615420248376072e-05,1.62496497210388e-09,6.86499440627486e-10,3.016990844376518e-05
1859,6.566314498611194e-05,2.265362342157573e-09,5.348147282178774e-10,3.0120074370643124e-05
1860,6.587444191349537e-05,1.782768948339302e-09,5.475505961337137e-10,3.0144101661530192e-05
1861,6.595969015117069e-05,1.6611874732928656e-09,7.229954571538347e-10,3.0809091705512924e-05
1862,6.543118849679428e-05,1.775840538112813e-09,6.769267527470138e-10,3.0869296616791484e-05
1863,6.581674253019238e-05,1.7699577676515738e-09,7.724025149638944e-10,3.131517847318069e-05
1864,6.542549973736251e-05,1.5261693179066275e-09,8.184585311075767e-10,3.118522051538873e-05
1865,6.631333599216305e-05,1.5261693179066275e-09,6.322710291836334e-10,3.133021579872418e-05
1866,6.799324338706876e-05,8.225664752511566e-10,6.322710291836334e-10,3.085751086473465e-05
1867,6.992288711314489e-05,1.0386287544302979e-09,6.144882777217983e-10,3.139707457324091e-05
1868,7.167662157111668e-05,8.01007042440714e-10,3.88541556071788e-10,3.2533724152017385e-05
1869,7.353869919565373e-05,7.526098831446757e-10,2.771050135384558e-10,3.4056006760303194e-05
1870,7.498073370827894e-05,7.361056169370122e-10,3.083386324043147e-10,3.5034099710173905e-05
1871,7.573712667051171e-05,7.57124501982176e-10,2.953005142001887e-10,3.6141852303574395e-05
1872,7.53719879347565e-05,8.390279225358097e-10,2.5107396320730603e-10,3.704053960973397e-05
1873,7.625191106594034e-05,1.0626187033465788e-09,4.071089735166059e-10,3.782436397159472e-05
1874,7.622240809723735e-05,2.038777856856149e-09,4.433779454693365e-10,3.8781670030272964e-05
1875,7.578167008302574e-05,2.1945413026485436e-09,5.236080061595974e-10,3.872181956207247e-05
1876,7.733279406758291e-05,2.0757836481445834e-09,7.152679321847139e-10,3.856446606472933e-05
1877,7.782477873011626e-05,2.1937359706569737e-09,7.982685782234203e-10,3.911190080024036e-05
1878,7.990678880430226e-05,2.067717080889153e-09,9.711139749489307e-10,3.9028832231581744e-05
1879,8.194074533613665e-05,2.195296535826127e-09,1.2155106683080825e-09,4.063899229679789e-05
1880,8.292280212377332e-05,2.1134333053459844e-09,1.1910223918221163e-09,4.284291883647841e-05
1881,8.56693264462852e-05,1.4578270059382804e-09,1.2062377525395058e-09,4.419219892172675e-05
1882,8.770047861617059e-05,1.4841189110992303e-09,1.4176938908530952e-09,4.479748115824934e-05
1883,8.776506417364414e-05,1.5162415390695167e-09,1.450892366567607e-09,4.622123950477024e-05
1884,8.854842495306261e-05,1.4546452713006174e-09,1.454758686530206e-09,4.70198922682487e-05
1885,8.752668301375317e-05,1.592499582600152e-09,1.2878310005705528e-09,4.87967356873144e-05
1886,8.739723749126174e-05,1.5761370205012527e-09,1.0710229231269963e-09,4.790930948469655e-05
1887,8.781401681647236e-05,1.7051718192202208e-09,1.1605479375128728e-09,4.658213843608142e-05
1888,8.642860380600073e-05,1.384579425318349e-09,1.3088767312049602e-09,4.4843206394164425e-05
1889,8.60485275292636e-05,1.210054165994607e-09,1.1218741114665016e-09,4.468531707451413e-05
1890,8.551584739637162e-05,1.3044099847877737e-09,1.4282251988216389e-09,4.347561636157999e-05
1891,8.598705296338136e-05,1.1981597063710175e-09,1.3426741087999412e-09,4.375679158589004e-05
1892,8.691468870633148e-05,1.1139063639729686e-09,1.3904337701050755e-09,4.3672318237700635e-05
1893,8.777535757482318e-05,9.899710733713668e-10,1.4550918485995673e-09,4.412369422165544e-05
1894,8.794753375696018e-05,7.853718945024671e-10,1.3444789646678755e-09,4.490130283686865e-05
1895,8.963436058755698e-05,7.387188162764704e-10,1.2073094191045186e-09,4.5330863421051095e-05
1896,8.94974624056236e-05,8.608008670942167e-10,1.199527969017059e-09,4.4017297373751975e-05
1897,9.095324224160452e-05,9.386667237138673e-10,7.612022599547328e-10,4.312753610845123e-05
1898,9.132407285505906e-05,9.34004239029816e-10,7.41406015945602e-10,4.202996050090795e-05
1899,9.228056400648452e-05,1.0991126025190162e-09,6.065765191719055e-10,3.926024874090217e-05
1900,9.239091845561884e-05,1.120280606376716e-09,5.504710338349079e-10,3.817638883317288e-05
1901,9.273094058568989e-05,1.1198683805676728e-09,4.74285543378932e-10,3.682386055256107e-05
1902,9.247881202359817e-05,1.0365901708426455e-09,4.717392468719542e-10,3.5722645926788186e-05
1903,9.272508967634556e-05,1.1012535090187165e-09,5.182894153537327e-10,3.633259932809908e-05
1904,9.155408666369372e-05,1.1347152979140113e-09,4.888205951125713e-10,3.6644255617699984e-05
1905,9.076908775438954e-05,1.38274672664299e-09,4.110853066682399e-10,3.608467263152956e-05
1906,8.956482114237068e-05,1.3604768264333496e-09,4.88660237274452e-10,3.670223356623735e-05
1907,8.86837754348692e-05,1.3726750212685245e-09,4.525190282013623e-10,3.662372598358031e-05
1908,8.682721610447126e-05,1.3968627365912312e-09,4.319701084926868e-10,3.6481257536382016e-05
1909,8.56855112942867e-05,1.4485813818306985e-09,3.700033949862101e-10,3.757593679308359e-05
1910,8.47294255176426e-05,1.2783636530297064e-09,2.2655109732649947e-10,3.7222388138096516e-05
1911,8.425353111566178e-05,1.194314805782629e-09,2.470037329433643e-10,3.703306200415162e-05
1912,8.3258404629305e-05,1.0182717843524154e-09,2.885805483465731e-10,3.7030254004223805e-05
1913,8.313175203511491e-05,1.1001012164716224e-09,2.681972937385828e-10,3.668868937113855e-05
1914,8.276432760924633e-05,1.1290984020766765e-09,3.266632520038115e-10,3.6283672151122505e-05
1915,8.354105063647564e-05,1.0622515565574174e-09,3.44816243018948e-10,3.595193577764023e-05
1916,8.203304293731759e-05,1.0749600891963545e-09,3.4862880043157977e-10,3.464719390779335e-05
1917,8.177125398235927e-05,1.1038507806228536e-09,4.324232083519064e-10,3.382853823755535e-05
1918,8.166475994845055e-05,1.1082761613196673e-09,4.060765691958425e-10,3.326882272501409e-05
1919,8.211429875310776e-05,1.1203982900173263e-09,4.0503475970002766e-10,3.2236390844835637e-05
1920,7.814093779805782e-05,1.0146589679571605e-09,3.9424639346791983e-10,3.1401732225536504e-05
1921,7.401591730220909e-05,1.0236686022656117e-09,3.638920434819884e-10,3.034056654931711e-05
1922,6.960791090802689e-05,9.362488443250987e-10,4.044684825161531e-10,2.9138489480828866e-05
1923,6.704695468735216e-05,9.330508786233237e-10,3.8386634149123466e-10,2.8625376216950826e-05
1924,6.303364092933148e-05,8.841337979197711e-10,3.977580546678437e-10,2.826529687029376e-05
1925,5.903947541290628e-05,8.409770499032529e-10,4.092526218706689e-10,2.7654434234136716e-05
1926,5.4571995860897005e-05,7.993286588181547e-10,3.8406981761607284e-10,2.903771331018236e-05
1927,5.467378598820817e-05,6.359905142210615e-10,3.83143265130543e-10,2.9045138944638893e-05
1928,5.523309768510184e-05,5.866704185944879e-10,3.778411432937239e-10,2.9449974005858947e-05
1929,5.6335562216450595e-05,6.130907170831534e-10,3.5595885366263806e-10,3.0010630195777465e-05
1930,5.6157648941734806e-05,4.929974464376993e-10,3.3140540906766754e-10,2.9604781957459636e-05
