ngram,decision,decison,decsion,deision
1967,0.00012442297052725086,3.4982705748071955e-08,3.367475758559684e-09,3.516173384200881e-09
1968,0.00012671472878927098,3.6469339802027075e-08,3.4897896318751366e-09,3.3810882982265866e-09
1969,0.000130389398171766,3.89674532641493e-08,3.7182562108638096e-09,3.3814580976557605e-09
1970,0.00013403659561715488,4.199254886673641e-08,4.3648444541284044e-09,3.5912290284402714e-09
1971,0.00013812202295022353,4.418913184573674e-08,4.568891550807816e-09,3.5524142992317464e-09
1972,0.00014271928895530955,4.672969211583222e-08,4.840924676991725e-09,3.75631950940861e-09
1973,0.00014699966206015752,4.994263390147223e-08,5.134438271373451e-09,3.767946399335642e-09
1974,0.00015175363140380277,5.329069046362227e-08,5.437372964576883e-09,3.876475362929455e-09
1975,0.00015560433218654777,5.693241738364512e-08,5.903341054087312e-09,3.8714533483792076e-09
1976,0.00015864392584522387,6.256739279056741e-08,6.270108369018804e-09,3.800834123625561e-09
1977,0.0001613652046736596,6.817748245323076e-08,6.283941430699055e-09,3.5509817308820857e-09
1978,0.0001633286675704377,7.392077248726179e-08,6.484695066636245e-09,3.408227414577628e-09
1979,0.0001648233488335141,7.95963280048844e-08,6.64019709059208e-09,3.2581039770868917e-09
1980,0.00016513980101860528,8.382727502618894e-08,6.806726293717702e-09,3.021473468248611e-09
1981,0.000165213317294339,8.830145402173781e-08,7.001044506032323e-09,2.8530748398734674e-09
1982,0.00016489232906938663,9.273594616031135e-08,6.677057446629371e-09,2.6735995481022965e-09
1983,0.0001644568401388824,9.344916967230737e-08,6.554464970776053e-09,2.53446465402009e-09
