ngram,entertainment,entertinment,enterainment,enterntainment
1899,8.878824311458239e-06,2.205467118456182e-10,5.786057387181996e-10,0.0
1900,8.940177264906066e-06,3.6511154813797676e-10,4.464304838501322e-10,0.0
1901,9.021036021295004e-06,3.6015646219324434e-10,5.78568895174111e-10,0.0
1902,9.027558787368304e-06,2.543004239725326e-10,6.050996410283155e-10,0.0
1903,8.892467121768277e-06,2.6679828782746485e-10,6.494757945737664e-10,0.0
1904,8.872546719170974e-06,2.6407527256181295e-10,8.528514006123089e-10,0.0
1905,8.905395069242722e-06,3.098158584838703e-10,9.151291867150389e-10,0.0
1906,8.95332959771622e-06,2.7068912488476775e-10,8.834206778805611e-10,0.0
1907,8.974190417835157e-06,1.99375154282969e-10,7.535060155193309e-10,0.0
1908,8.90241322589905e-06,1.9596292148506477e-10,7.090714642427847e-10,0.0
1909,8.936107406043448e-06,2.2352493962905585e-10,7.504463756762598e-10,0.0
1910,9.082974949186401e-06,1.916466499385372e-10,8.657503563253804e-10,0.0
1911,9.18602888434959e-06,2.456825675440604e-10,7.695993802554162e-10,0.0
1912,9.235948709829245e-06,2.1435608942616772e-10,7.756859400829898e-10,0.0
1913,9.276300910901877e-06,2.1313902230448078e-10,7.553026854749995e-10,0.0
1914,9.296979702152644e-06,1.3988815661392096e-10,8.429679375167507e-10,0.0
1915,9.311852928866366e-06,1.2616370250105391e-10,8.128659213989055e-10,0.0
1916,9.318788605534272e-06,1.2870540942534958e-10,8.079808845794036e-10,1.5051862534143368e-11
1917,9.29157119701683e-06,1.985340840139825e-10,7.406461991329597e-10,1.5051862534143368e-11
1918,9.368758843005967e-06,1.4302466552365952e-10,7.586472125112717e-10,1.5051862534143368e-11
1919,9.511631365707477e-06,1.2861055771949482e-10,7.847667317571551e-10,1.5051862534143368e-11
1920,9.574418722227815e-06,1.1431263871993939e-10,8.203816752911613e-10,1.5051862534143368e-11
1921,9.70831063438839e-06,1.1431263871993939e-10,8.867358989940653e-10,1.5051862534143368e-11
1922,9.943268586149706e-06,1.384639347623562e-10,1.072706534710477e-09,1.5051862534143368e-11
1923,1.0108045119393085e-05,1.3291365428904e-10,1.2374313875161492e-09,2.4553444594970538e-11
1924,1.0300983506437791e-05,1.1192804024887489e-10,1.272234698542921e-09,4.897497486920445e-11
1925,1.0354674616662254e-05,9.754780118585517e-11,1.4044943938021755e-09,4.897497486920445e-11
1926,1.0399906126882083e-05,9.754780118585517e-11,1.3115115422251173e-09,4.897497486920445e-11
1927,1.0503384406287555e-05,9.754780118585517e-11,1.3551351866044774e-09,4.897497486920445e-11
