ngram,towel,towl,towl,towel
1838,7.377822157650371e-07,3.813047544376502e-09,3.813047544376502e-09,7.377822157650371e-07
1839,7.632547586971279e-07,3.349828145030439e-09,3.349828145030439e-09,7.632547586971279e-07
1840,7.761078677503974e-07,3.3015821029483814e-09,3.3015821029483814e-09,7.761078677503974e-07
1841,8.013167790263001e-07,3.84832040837121e-09,3.84832040837121e-09,8.013167790263001e-07
1842,8.160293581178329e-07,3.5267689245190225e-09,3.5267689245190225e-09,8.160293581178329e-07
1843,7.941125172042771e-07,3.2541521382307384e-09,3.2541521382307384e-09,7.941125172042771e-07
1844,8.212888847733016e-07,4.1010121965001645e-09,4.1010121965001645e-09,8.212888847733016e-07
1845,8.620062398482073e-07,3.976751531250702e-09,3.976751531250702e-09,8.620062398482073e-07
1846,8.702938479083449e-07,3.999728294599793e-09,3.999728294599793e-09,8.702938479083449e-07
1847,9.085068281170347e-07,3.955470237063505e-09,3.955470237063505e-09,9.085068281170347e-07
1848,9.062711926942159e-07,3.763173138184226e-09,3.763173138184226e-09,9.062711926942159e-07
1849,9.398710858476989e-07,4.201505873372266e-09,4.201505873372266e-09,9.398710858476989e-07
1850,9.653355651347998e-07,4.253392495355359e-09,4.253392495355359e-09,9.653355651347998e-07
1851,9.769294787734647e-07,4.087364351741079e-09,4.087364351741079e-09,9.769294787734647e-07
1852,9.489383501204429e-07,3.9559168004846666e-09,3.9559168004846666e-09,9.489383501204429e-07
1853,9.477061634502856e-07,4.4019637458956956e-09,4.4019637458956956e-09,9.477061634502856e-07
1854,9.509910959033212e-07,5.028160935235551e-09,5.028160935235551e-09,9.509910959033212e-07
1855,9.492995332038845e-07,5.483189267709219e-09,5.483189267709219e-09,9.492995332038845e-07
1856,9.408384877523141e-07,5.187416464634355e-09,5.187416464634355e-09,9.408384877523141e-07
1857,9.400286070818506e-07,5.385267914143859e-09,5.385267914143859e-09,9.400286070818506e-07
1858,9.558443220417497e-07,5.125588334716927e-09,5.125588334716927e-09,9.558443220417497e-07
1859,9.80161514365006e-07,5.288918382616105e-09,5.288918382616105e-09,9.80161514365006e-07
1860,9.906328110836121e-07,5.370701851502093e-09,5.370701851502093e-09,9.906328110836121e-07
1861,9.970830936773773e-07,4.768041073077711e-09,4.768041073077711e-09,9.970830936773773e-07
1862,1.0021035775155594e-06,5.212749850816831e-09,5.212749850816831e-09,1.0021035775155594e-06
1863,1.008996231835876e-06,4.5529389464909235e-09,4.5529389464909235e-09,1.008996231835876e-06
1864,1.0320815379470462e-06,4.446279439867291e-09,4.446279439867291e-09,1.0320815379470462e-06
1865,1.047240313515171e-06,4.489415981824761e-09,4.489415981824761e-09,1.047240313515171e-06
1866,1.0464282809152792e-06,5.229830124520163e-09,5.229830124520163e-09,1.0464282809152792e-06
1867,1.0766828576639194e-06,5.24014631686498e-09,5.24014631686498e-09,1.0766828576639194e-06
1868,1.102974189442258e-06,5.135071479145381e-09,5.135071479145381e-09,1.102974189442258e-06
1869,1.1321202139567634e-06,4.629136566133443e-09,4.629136566133443e-09,1.1321202139567634e-06
1870,1.1616189112828579e-06,4.759572450449159e-09,4.759572450449159e-09,1.1616189112828579e-06
1871,1.1693315725226836e-06,4.978414283992752e-09,4.978414283992752e-09,1.1693315725226836e-06
1872,1.1710564129836193e-06,5.014469950381795e-09,5.014469950381795e-09,1.1710564129836193e-06
1873,1.1768327600033705e-06,4.376584523362632e-09,4.376584523362632e-09,1.1768327600033705e-06
1874,1.1719884176792611e-06,4.38663115355707e-09,4.38663115355707e-09,1.1719884176792611e-06
1875,1.1410365102295015e-06,4.825741520672214e-09,4.825741520672214e-09,1.1410365102295015e-06
1876,1.1508007479018749e-06,4.722745623147213e-09,4.722745623147213e-09,1.1508007479018749e-06
1877,1.1453605403793127e-06,5.2367913814878514e-09,5.2367913814878514e-09,1.1453605403793127e-06
1878,1.179793912342575e-06,5.2001347989565664e-09,5.2001347989565664e-09,1.179793912342575e-06
1879,1.214998941837361e-06,5.243183728457065e-09,5.243183728457065e-09,1.214998941837361e-06
1880,1.2581340830105807e-06,6.057659326533635e-09,6.057659326533635e-09,1.2581340830105807e-06
1881,1.284768083158789e-06,6.098765873271564e-09,6.098765873271564e-09,1.284768083158789e-06
1882,1.341991232298564e-06,6.293456739874565e-09,6.293456739874565e-09,1.341991232298564e-06
1883,1.3819731878226906e-06,6.3039694734153986e-09,6.3039694734153986e-09,1.3819731878226906e-06
1884,1.394523694995899e-06,5.996562611544829e-09,5.996562611544829e-09,1.394523694995899e-06
1885,1.3922986649309417e-06,6.30119429650173e-09,6.30119429650173e-09,1.3922986649309417e-06
1886,1.388736628931448e-06,6.237456138892737e-09,6.237456138892737e-09,1.388736628931448e-06
1887,1.3905028351603375e-06,5.562822773847691e-09,5.562822773847691e-09,1.3905028351603375e-06
1888,1.3990609691713222e-06,5.241482993665971e-09,5.241482993665971e-09,1.3990609691713222e-06
1889,1.3907102486752722e-06,4.75396528492362e-09,4.75396528492362e-09,1.3907102486752722e-06
1890,1.3832066412890396e-06,4.571650042655457e-09,4.571650042655457e-09,1.3832066412890396e-06
1891,1.3916879879616317e-06,5.001427272333103e-09,5.001427272333103e-09,1.3916879879616317e-06
1892,1.400995821703483e-06,4.897579231055715e-09,4.897579231055715e-09,1.400995821703483e-06
1893,1.4094257332024945e-06,4.9318296113654014e-09,4.9318296113654014e-09,1.4094257332024945e-06
1894,1.423109551978996e-06,5.119186154343782e-09,5.119186154343782e-09,1.423109551978996e-06
1895,1.4326903965411475e-06,5.223773477272939e-09,5.223773477272939e-09,1.4326903965411475e-06
1896,1.4506388846971926e-06,5.255597417581319e-09,5.255597417581319e-09,1.4506388846971926e-06
1897,1.4812645921275752e-06,5.497892680799461e-09,5.497892680799461e-09,1.4812645921275752e-06
1898,1.4884056684292903e-06,4.901944215619989e-09,4.901944215619989e-09,1.4884056684292903e-06
1899,1.4916171267032041e-06,4.485157864156772e-09,4.485157864156772e-09,1.4916171267032041e-06
1900,1.4966246908443281e-06,4.575334745991557e-09,4.575334745991557e-09,1.4966246908443281e-06
1901,1.497428002039669e-06,4.585455221877461e-09,4.585455221877461e-09,1.497428002039669e-06
1902,1.491165724993542e-06,4.300044352336028e-09,4.300044352336028e-09,1.491165724993542e-06
1903,1.4796994654326617e-06,4.531528009975107e-09,4.531528009975107e-09,1.4796994654326617e-06
1904,1.446953303587049e-06,4.3510233828568195e-09,4.3510233828568195e-09,1.446953303587049e-06
1905,1.4337233226667325e-06,4.2576199391472105e-09,4.2576199391472105e-09,1.4337233226667325e-06
1906,1.4426969983105664e-06,4.130785903809299e-09,4.130785903809299e-09,1.4426969983105664e-06
1907,1.4534133307669045e-06,3.825975885313986e-09,3.825975885313986e-09,1.4534133307669045e-06
1908,1.4741826329814752e-06,3.5558052692761878e-09,3.5558052692761878e-09,1.4741826329814752e-06
1909,1.5369477231225964e-06,3.735149681613084e-09,3.735149681613084e-09,1.5369477231225964e-06
1910,1.5908326044414674e-06,3.473208863370912e-09,3.473208863370912e-09,1.5908326044414674e-06
1911,1.670823865294681e-06,3.28822892724036e-09,3.28822892724036e-09,1.670823865294681e-06
1912,1.768752814054356e-06,3.5828549333721024e-09,3.5828549333721024e-09,1.768752814054356e-06
1913,1.846382864251999e-06,3.61570525900642e-09,3.61570525900642e-09,1.846382864251999e-06
1914,1.8962815602208138e-06,3.585428081415947e-09,3.585428081415947e-09,1.8962815602208138e-06
1915,1.920164257691275e-06,3.5920909421552747e-09,3.5920909421552747e-09,1.920164257691275e-06
1916,1.911581080094038e-06,3.5263227576060832e-09,3.5263227576060832e-09,1.911581080094038e-06
1917,1.9050676201004535e-06,3.4781335906635444e-09,3.4781335906635444e-09,1.9050676201004535e-06
1918,1.8622915019607587e-06,3.5193655926032565e-09,3.5193655926032565e-09,1.8622915019607587e-06
1919,1.8164877896456995e-06,3.139806478305981e-09,3.139806478305981e-09,1.8164877896456995e-06
1920,1.790546402194845e-06,3.3534961474401825e-09,3.3534961474401825e-09,1.790546402194845e-06
1921,1.7659236846157e-06,3.3794036775296784e-09,3.3794036775296784e-09,1.7659236846157e-06
1922,1.7558271240756897e-06,3.3446643549999474e-09,3.3446643549999474e-09,1.7558271240756897e-06
1923,1.7446850668940378e-06,3.3580249374815755e-09,3.3580249374815755e-09,1.7446850668940378e-06
1924,1.7340753726914824e-06,3.3192675909430947e-09,3.3192675909430947e-09,1.7340753726914824e-06
1925,1.736351578074391e-06,3.189797315172882e-09,3.189797315172882e-09,1.736351578074391e-06
1926,1.7363573273801843e-06,3.5049081097732984e-09,3.5049081097732984e-09,1.7363573273801843e-06
1927,1.7499962398557858e-06,3.4710510973415663e-09,3.4710510973415663e-09,1.7499962398557858e-06
1928,1.7637037704584406e-06,3.454645617192601e-09,3.454645617192601e-09,1.7637037704584406e-06
1929,1.7866807086517968e-06,3.3773269577811303e-09,3.3773269577811303e-09,1.7866807086517968e-06
1930,1.8021833219401223e-06,3.163879888238138e-09,3.163879888238138e-09,1.8021833219401223e-06
1931,1.842887367534526e-06,3.1195989601075424e-09,3.1195989601075424e-09,1.842887367534526e-06
1932,1.8767149997854306e-06,3.0582402959262414e-09,3.0582402959262414e-09,1.8767149997854306e-06
1933,1.893077735206004e-06,2.7175703909421145e-09,2.7175703909421145e-09,1.893077735206004e-06
1934,1.8811152975623763e-06,2.621477320933049e-09,2.621477320933049e-09,1.8811152975623763e-06
1935,1.9149620616839717e-06,2.4769874088345236e-09,2.4769874088345236e-09,1.9149620616839717e-06
1936,1.9308914066381736e-06,2.403065207141302e-09,2.403065207141302e-09,1.9308914066381736e-06
1937,1.9516918915282337e-06,2.4354151711187502e-09,2.4354151711187502e-09,1.9516918915282337e-06
1938,1.933828278717036e-06,3.016290550661438e-09,3.016290550661438e-09,1.933828278717036e-06
