ngram,fat,ft,fat,faat
1851,1.914110362122301e-05,4.689972554063258e-06,1.914110362122301e-05,7.1494154723390176e-09
1852,1.9896343604029554e-05,5.0952171802366915e-06,1.9896343604029554e-05,7.56405788797971e-09
1853,2.0236143297682118e-05,5.4473251631342075e-06,2.0236143297682118e-05,8.396179624574934e-09
1854,2.0419620341272093e-05,5.563969677625989e-06,2.0419620341272093e-05,8.002187484074902e-09
1855,2.041768805481427e-05,5.529472283732113e-06,2.041768805481427e-05,9.227254642902544e-09
1856,2.034731733147055e-05,5.676247773018466e-06,2.034731733147055e-05,8.836124911125256e-09
1857,2.075699714103913e-05,5.870858980675361e-06,2.075699714103913e-05,8.998464259438573e-09
1858,2.0772624079004993e-05,5.883993253519293e-06,2.0772624079004993e-05,9.00272345560893e-09
1859,2.031934517227845e-05,5.969943036429218e-06,2.031934517227845e-05,8.683728593337849e-09
1860,2.0028391580646193e-05,6.229961789878351e-06,2.0028391580646193e-05,8.56242289769073e-09
1861,1.9951253697010024e-05,6.41899298768424e-06,1.9951253697010024e-05,8.801077454125204e-09
1862,2.013116006440084e-05,6.647292203914341e-06,2.013116006440084e-05,8.762583547650138e-09
1863,2.023677916440647e-05,6.736007110573285e-06,2.023677916440647e-05,9.063413067674934e-09
1864,1.984778230377872e-05,6.799687655854671e-06,1.984778230377872e-05,8.184527658780131e-09
1865,1.9848184820148163e-05,6.851503842751429e-06,1.9848184820148163e-05,7.957119280937214e-09
1866,1.9847728253807873e-05,6.98131576167985e-06,1.9847728253807873e-05,7.700942994404159e-09
1867,1.9900934213572847e-05,7.080160555363234e-06,1.9900934213572847e-05,7.70112342150599e-09
1868,1.9787720053240525e-05,7.252791419887217e-06,1.9787720053240525e-05,7.477410563743497e-09
1869,1.954246727109421e-05,7.472455633563056e-06,1.954246727109421e-05,6.524239307533922e-09
1870,1.9170567091870388e-05,7.660002795871281e-06,1.9170567091870388e-05,6.941279170494649e-09
1871,1.9062951780922178e-05,8.053328656387748e-06,1.9062951780922178e-05,7.147082925484938e-09
1872,1.9056408356326366e-05,8.017724147586186e-06,1.9056408356326366e-05,7.459976065453994e-09
1873,1.8831579447058694e-05,8.11274126785325e-06,1.8831579447058694e-05,7.633650854290051e-09
1874,1.899411680434631e-05,8.109050798209085e-06,1.899411680434631e-05,7.987476838674671e-09
1875,1.910944229166489e-05,8.245753568709396e-06,1.910944229166489e-05,7.874756783162899e-09
1876,1.9343525959162173e-05,8.395208624278894e-06,1.9343525959162173e-05,9.334595001726192e-09
1877,1.978369618882425e-05,8.80971122439535e-06,1.978369618882425e-05,8.995154525998877e-09
1878,1.9885981081253184e-05,8.707797275876925e-06,1.9885981081253184e-05,9.240199399280463e-09
1879,1.9931511165590825e-05,8.960445224407262e-06,1.9931511165590825e-05,9.187955539248703e-09
1880,2.0772229878015685e-05,9.061707325080143e-06,2.0772229878015685e-05,9.19321514152622e-09
1881,2.101164188518721e-05,9.113549562503717e-06,2.101164188518721e-05,8.938651660120707e-09
1882,2.1403709719639403e-05,8.931622622705098e-06,2.1403709719639403e-05,8.818539993476243e-09
1883,2.1917789646457614e-05,8.732032191411626e-06,2.1917789646457614e-05,7.053362655844759e-09
1884,2.2532292859978043e-05,8.346792453396898e-06,2.2532292859978043e-05,7.203044954146825e-09
1885,2.305871800802249e-05,8.256416874376424e-06,2.305871800802249e-05,7.260916122321857e-09
1886,2.3983226128621027e-05,8.354812507604947e-06,2.3983226128621027e-05,7.103662610522374e-09
1887,2.3998264233731398e-05,8.594106800176502e-06,2.3998264233731398e-05,6.9408284833879665e-09
