ngram,drama,draam,draama
1954,1.4775396396414311e-05,1.7842945870816251e-10,1.5683949179073106e-11
1955,1.4517318179839225e-05,2.2191221578569754e-10,1.5683949179073106e-11
1956,1.453313987959908e-05,2.587780753571245e-10,1.5683949179073106e-11
1957,1.465550472598157e-05,2.335055987853377e-10,2.842767489662025e-11
1958,1.4632166832078447e-05,2.288583082963948e-10,2.842767489662025e-11
1959,1.4945711492535857e-05,2.2259220558032818e-10,1.2743725717547149e-11
1960,1.5133123659844777e-05,2.4415303608225717e-10,1.2743725717547149e-11
1961,1.5403672867770573e-05,2.554086049798089e-10,2.399929461509893e-11
1962,1.57470468756011e-05,2.3232936011538134e-10,2.399929461509893e-11
1963,1.600259903560592e-05,1.982650512020813e-10,3.390315111984066e-11
1964,1.614032849569672e-05,1.9975752996170826e-10,3.914604553210767e-11
1965,1.627169902868835e-05,2.1430096685299509e-10,5.677620873445477e-11
1966,1.6148376744240522e-05,2.2817584429045213e-10,7.436235159387548e-11
1967,1.6110816691902335e-05,2.1061525638600897e-10,8.320703055136086e-11
1968,1.5880488717812113e-05,2.613554769429324e-10,8.080800314605848e-11
1969,1.5932832476599807e-05,2.858363942362782e-10,8.978488884909502e-11
1970,1.5543130757578183e-05,2.9233720801245614e-10,9.742005020146089e-11
1971,1.5152020231263513e-05,3.101117795096491e-10,8.838433060828369e-11
1972,1.4667823831717084e-05,3.184483153363869e-10,1.1423139319375965e-10
1973,1.4238883133137798e-05,2.5635784070951063e-10,9.664525033433894e-11
1974,1.3894807774964388e-05,3.1060165649782993e-10,8.780057137685354e-11
1975,1.3575711298991727e-05,3.9457686423771676e-10,9.516303023371364e-11
1976,1.2982360073822616e-05,4.0594745124934914e-10,9.422257567424732e-11
1977,1.2932574983486639e-05,3.956917462339631e-10,7.66835578171397e-11
1978,1.2862786726535497e-05,3.8357695888605447e-10,6.773265728050276e-11
1979,1.2861803952546325e-05,4.0568908450864885e-10,5.676623506573846e-11
1980,1.289475130761275e-05,4.28782297366505e-10,5.676623506573846e-11
1981,1.2884599397823746e-05,3.773087576502172e-10,6.439603364438717e-11
1982,1.2915921485858104e-05,2.6098374057108893e-10,4.817703329527769e-11
1983,1.3094551962110148e-05,2.343387468200271e-10,4.014060215170748e-11
1984,1.3144000799262098e-05,2.550388907999032e-10,4.7491195499991894e-11
