ngram,price,prce,prcie,priice
1821,9.599372424418107e-05,2.7542657678379456e-08,5.277423736111636e-10,1.7134757105249524e-10
1822,9.484863403486088e-05,2.5559875232212496e-08,5.277423736111636e-10,1.7134757105249524e-10
1823,9.221787123741316e-05,2.7474351682599263e-08,1.4739693592653273e-10,1.7134757105249524e-10
1824,9.197212888726167e-05,2.834638377992503e-08,1.4739693592653273e-10,0.0
1825,9.202683369429516e-05,2.597943650682412e-08,1.4739693592653273e-10,0.0
1826,9.193038463958405e-05,2.4961862164575776e-08,1.4739693592653273e-10,1.1849824296409191e-10
1827,9.273908342168267e-05,2.419992536520762e-08,0.0,1.1849824296409191e-10
1828,9.354419099898743e-05,2.2862646886778748e-08,0.0,1.1849824296409191e-10
1829,0.00010051241302530148,2.156339995451617e-08,0.0,1.1849824296409191e-10
1830,0.00010020003953416432,1.6988250932976305e-08,0.0,2.1380278500008184e-10
1831,0.00010151310354038807,1.7732509175313486e-08,0.0,2.1380278500008184e-10
1832,9.859625216839569e-05,1.9234805875052123e-08,1.7029891782475e-10,2.1380278500008184e-10
1833,9.907603297116501e-05,1.733986211758877e-08,1.7029891782475e-10,9.530454203598993e-11
1834,9.716916039386498e-05,1.658699768012996e-08,1.7029891782475e-10,9.530454203598993e-11
1835,9.625672204752586e-05,2.03904162126329e-08,1.7029891782475e-10,9.530454203598993e-11
1836,8.98319693598231e-05,2.1148873382717933e-08,2.453600973189347e-10,9.530454203598993e-11
1837,8.799704560910218e-05,2.1470616776550092e-08,2.453600973189347e-10,7.744141042717193e-11
1838,8.696320479170286e-05,2.128890232354154e-08,2.453600973189347e-10,7.744141042717193e-11
1839,8.915707647767184e-05,2.0212575232595294e-08,1.508426161755949e-10,7.744141042717193e-11
1840,8.917324885260314e-05,2.080991214268936e-08,1.508426161755949e-10,1.5302737648476798e-10
1841,8.973983079028715e-05,1.9162402458456588e-08,1.508426161755949e-10,1.5302737648476798e-10
1842,8.998678718593769e-05,1.5873483353142807e-08,2.1165805616111096e-10,1.5302737648476798e-10
1843,9.349562398191276e-05,1.5156658150772273e-08,2.0217140659996502e-10,1.5302737648476798e-10
1844,9.453024644504435e-05,1.5742049822417163e-08,2.0217140659996502e-10,1.4236882307981447e-10
1845,9.504367023639913e-05,1.570185137467206e-08,2.689101719077769e-10,2.0910758838762637e-10
1846,9.407334437128156e-05,1.577449142737513e-08,1.9312873522636664e-10,2.0910758838762637e-10
1847,9.394623235233926e-05,1.6552849630662488e-08,1.9312873522636664e-10,1.335216223300303e-10
1848,9.509927622275427e-05,1.7426072013953283e-08,2.4781641024976663e-10,1.8820929735343028e-10
