ngram,bird,bid,brd,bird
1754,8.954137293975301e-06,2.7002112152071538e-05,4.7662480184840206e-08,8.954137293975301e-06
1755,1.0291581799849934e-05,2.7580283910668057e-05,4.059659250036215e-08,1.0291581799849934e-05
1756,1.0041629528651746e-05,2.696228563893653e-05,3.1801692454028596e-08,1.0041629528651746e-05
1757,1.1760651822052231e-05,2.7005096074260238e-05,2.4950621124730787e-08,1.1760651822052231e-05
1758,1.1721258488250896e-05,2.5117214785755744e-05,2.805820591739965e-08,1.1721258488250896e-05
1759,1.1106736824980804e-05,2.4137749798163505e-05,2.3739820522093525e-08,1.1106736824980804e-05
1760,1.0366563401476014e-05,2.3107718983997722e-05,3.7046655774832157e-08,1.0366563401476014e-05
1761,1.136290835087753e-05,2.2041855637715863e-05,4.396485689791721e-08,1.136290835087753e-05
1762,1.1298307591849671e-05,2.351576040382497e-05,4.279413115934208e-08,1.1298307591849671e-05
1763,1.154597729120204e-05,2.4861742141573423e-05,4.523921326438085e-08,1.154597729120204e-05
1764,1.0646825103322044e-05,2.533552625599051e-05,4.781544937770832e-08,1.0646825103322044e-05
1765,1.2764989800676371e-05,2.659718458224753e-05,5.355008982275779e-08,1.2764989800676371e-05
1766,1.3907994538645393e-05,2.7298925228283872e-05,6.707655586524197e-08,1.3907994538645393e-05
1767,1.5070907725852781e-05,2.849672611254001e-05,5.3769720612503336e-08,1.5070907725852781e-05
1768,1.6344288659248768e-05,2.9457082096736747e-05,5.0714088420785886e-08,1.6344288659248768e-05
1769,1.796554248098151e-05,2.7871278299634078e-05,7.240158339527625e-08,1.796554248098151e-05
1770,1.9706411226902025e-05,2.736554051807616e-05,6.388556020705696e-08,1.9706411226902025e-05
1771,2.0864989762360763e-05,2.698705221908832e-05,6.616213202700497e-08,2.0864989762360763e-05
1772,2.1549834335538825e-05,2.6308174970576408e-05,6.786423410533513e-08,2.1549834335538825e-05
1773,2.2337224176486154e-05,2.6275502802621175e-05,6.643011829510215e-08,2.2337224176486154e-05
1774,2.2029225224936715e-05,2.4921775548136793e-05,7.177504457445139e-08,2.2029225224936715e-05
1775,2.1336930331017356e-05,2.52857462328393e-05,8.106054189787365e-08,2.1336930331017356e-05
1776,2.1051937567660518e-05,2.665020032769202e-05,6.211520390106021e-08,2.1051937567660518e-05
1777,2.041903891430203e-05,2.630323069752194e-05,6.211520390106021e-08,2.041903891430203e-05
1778,2.116217586132864e-05,2.476381528789976e-05,5.977956009571375e-08,2.116217586132864e-05
1779,1.9822237326090025e-05,2.4954061310771586e-05,5.179691850035592e-08,1.9822237326090025e-05
1780,1.9130528926325496e-05,2.439136135633037e-05,4.3273194043942046e-08,1.9130528926325496e-05
1781,1.8979536954637816e-05,2.4847686810452224e-05,4.940336850722815e-08,1.8979536954637816e-05
1782,1.9682298053729547e-05,2.4368188470751712e-05,4.070376746767579e-08,1.9682298053729547e-05
1783,1.920974825355058e-05,2.3057952213483596e-05,3.745362750099243e-08,1.920974825355058e-05
1784,1.9231880157479153e-05,2.2398367426441318e-05,4.577598820633609e-08,1.9231880157479153e-05
1785,1.7389350042711677e-05,2.299480079922692e-05,4.1831823211729054e-08,1.7389350042711677e-05
1786,1.7438531358493492e-05,2.2314576459133866e-05,4.865082622477043e-08,1.7438531358493492e-05
1787,1.8813378119375557e-05,2.2660737678441884e-05,4.418168878369702e-08,1.8813378119375557e-05
1788,2.0028936108116924e-05,2.253749568938344e-05,3.531969218682564e-08,2.0028936108116924e-05
1789,1.961449392443423e-05,2.2013180569047108e-05,3.2504082346309e-08,1.961449392443423e-05
1790,2.0528127606667113e-05,2.138179297617171e-05,4.8007057757664436e-08,2.0528127606667113e-05
1791,1.9937472643505316e-05,2.1284633736026342e-05,4.6200494731505973e-08,1.9937472643505316e-05
1792,2.0498956863385892e-05,2.167087456785209e-05,4.7847158362352664e-08,2.0498956863385892e-05
1793,2.0908478680731995e-05,2.2326063637072885e-05,4.241055811300092e-08,2.0908478680731995e-05
1794,2.1041199943283573e-05,2.3401912455613327e-05,4.981213080108253e-08,2.1041199943283573e-05
1795,2.287641499216469e-05,2.2477053270059904e-05,5.085211515368623e-08,2.287641499216469e-05
1796,2.3058098252347137e-05,2.192052722550995e-05,4.977599919543861e-08,2.3058098252347137e-05
1797,2.4408425815636292e-05,2.1785653838638348e-05,3.6066890172849394e-08,2.4408425815636292e-05
1798,2.5389950418944602e-05,2.2435666583727914e-05,3.4759002787154714e-08,2.5389950418944602e-05
1799,2.636932367749978e-05,2.203831744347034e-05,3.6901142966680056e-08,2.636932367749978e-05
1800,2.6367391131186325e-05,2.1924744682369885e-05,8.894334767108245e-08,2.6367391131186325e-05
1801,2.5482655993463205e-05,2.130032433862133e-05,8.221387507286895e-08,2.5482655993463205e-05
1802,2.3893563723374556e-05,2.2423038899432868e-05,8.246792785168314e-08,2.3893563723374556e-05
1803,2.4953292138109517e-05,2.349599292626538e-05,8.369411906374222e-08,2.4953292138109517e-05
1804,2.349170868650877e-05,2.3395575876098258e-05,8.369166185470281e-08,2.349170868650877e-05
1805,2.3455963206028434e-05,2.3731829579836422e-05,8.627407664464824e-08,2.3455963206028434e-05
1806,2.3822617939523688e-05,2.3597619604385856e-05,8.88822034385482e-08,2.3822617939523688e-05
1807,2.4276453197152087e-05,2.403786155420156e-05,3.645267123074193e-08,2.4276453197152087e-05
1808,2.3694485207670368e-05,2.4164239480991716e-05,3.979245707544773e-08,2.3694485207670368e-05
1809,2.3536174921900965e-05,2.367367389004877e-05,4.565525608362415e-08,2.3536174921900965e-05
