ngram,wind,wnd,wind,wid
1889,5.543657399747255e-05,3.563275744308417e-08,5.543657399747255e-05,1.7263973859371617e-06
1890,5.574741122213059e-05,3.565546994163274e-08,5.574741122213059e-05,2.0377696046125493e-06
1891,5.6067849592571815e-05,3.5961738222210574e-08,5.6067849592571815e-05,2.1310584575725703e-06
1892,5.652587424265221e-05,3.4810598086616144e-08,5.652587424265221e-05,1.9574277010698486e-06
1893,5.6739196484808675e-05,3.4119683586400895e-08,5.6739196484808675e-05,2.039313455627832e-06
1894,5.667527303947801e-05,3.4204892886334296e-08,5.667527303947801e-05,2.0856492873073355e-06
1895,5.6831224875557905e-05,3.285689840838911e-08,5.6831224875557905e-05,2.359487422966465e-06
1896,5.7089459525221696e-05,3.303877704752267e-08,5.7089459525221696e-05,2.515808773750905e-06
1897,5.671494935605941e-05,3.1868899646220987e-08,5.671494935605941e-05,2.276225602924699e-06
1898,5.518905267568438e-05,3.001103974855011e-08,5.518905267568438e-05,2.250836522372473e-06
1899,5.425772334482255e-05,2.962076806056757e-08,5.425772334482255e-05,2.2854780386946264e-06
1900,5.308242699746708e-05,2.955052608959769e-08,5.308242699746708e-05,2.4386676419193724e-06
1901,5.248531566134521e-05,2.9063287395761757e-08,5.248531566134521e-05,2.4128858383067253e-06
1902,5.192685265293611e-05,2.865431980580979e-08,5.192685265293611e-05,2.473540429751405e-06
1903,5.044559553165787e-05,2.7626818927777615e-08,5.044559553165787e-05,2.3308722672611893e-06
1904,4.936732303966502e-05,2.772628882041772e-08,4.936732303966502e-05,2.2742408418707782e-06
1905,4.8785435605428317e-05,2.816207559216569e-08,4.8785435605428317e-05,2.340419168181792e-06
1906,4.804046537693856e-05,2.8123460132129756e-08,4.804046537693856e-05,2.3036859114914217e-06
1907,4.798503765154497e-05,2.9224696567504386e-08,4.798503765154497e-05,2.0511156597941797e-06
1908,4.7228059494435524e-05,3.0323771937901256e-08,4.7228059494435524e-05,2.069726649876559e-06
1909,4.636184374768553e-05,3.051855530194254e-08,4.636184374768553e-05,1.8115965921034721e-06
1910,4.5425841692901615e-05,3.048669380437527e-08,4.5425841692901615e-05,1.7242525375747521e-06
1911,4.4800774568492283e-05,3.0115587230333015e-08,4.4800774568492283e-05,1.699727931736561e-06
1912,4.3913927324216017e-05,3.0281332742885884e-08,4.3913927324216017e-05,1.573861140968802e-06
1913,4.2812059421391625e-05,2.909788676674907e-08,4.2812059421391625e-05,1.4602161237624905e-06
1914,4.151413304498419e-05,2.8355306166564072e-08,4.151413304498419e-05,1.3447618698592123e-06
1915,4.056036881853028e-05,2.6824072867676866e-08,4.056036881853028e-05,1.2364024135942081e-06
1916,3.976904814148189e-05,2.6111626384915454e-08,3.976904814148189e-05,1.122896508474826e-06
1917,3.982741847201916e-05,2.6385916943435665e-08,3.982741847201916e-05,1.1286931079926684e-06
1918,3.941078466596082e-05,2.6935097454026746e-08,3.941078466596082e-05,1.0831763737379724e-06
1919,3.960390209353396e-05,2.6863175557017323e-08,3.960390209353396e-05,1.0734978234592875e-06
1920,4.0914838401866814e-05,2.800967990879144e-08,4.0914838401866814e-05,1.1262625158841338e-06
1921,4.16231487179175e-05,2.735008207212429e-08,4.16231487179175e-05,1.2461236776419225e-06
1922,4.289130135605644e-05,2.8313498339522473e-08,4.289130135605644e-05,1.3031695240377822e-06
1923,4.388608691182786e-05,3.2914601330194926e-08,4.388608691182786e-05,1.3744079459294362e-06
1924,4.449185871635564e-05,3.267788097259329e-08,4.449185871635564e-05,1.516746920060541e-06
1925,4.544874796660484e-05,3.22632102621258e-08,4.544874796660484e-05,1.6632727368102808e-06
1926,4.629845664437328e-05,3.27894793222023e-08,4.629845664437328e-05,1.7546764021452482e-06
1927,4.622084348479153e-05,3.429175343683255e-08,4.622084348479153e-05,1.7713590848091241e-06
1928,4.621746328276848e-05,3.322692165852459e-08,4.621746328276848e-05,1.7509162587105363e-06
1929,4.544272867081288e-05,3.218159072559956e-08,4.544272867081288e-05,1.7920036238397837e-06
1930,4.4944818780225303e-05,2.7615841296275382e-08,4.4944818780225303e-05,1.7620049155604128e-06
1931,4.452666066104679e-05,2.7784442683095482e-08,4.452666066104679e-05,1.6377175922700969e-06
1932,4.4338761134505535e-05,2.7249442575388068e-08,4.4338761134505535e-05,1.5927363230210695e-06
1933,4.4372762204147875e-05,2.606895702480675e-08,4.4372762204147875e-05,1.5729934830233105e-06
1934,4.385174491160017e-05,2.363868770568648e-08,4.385174491160017e-05,1.562820459964444e-06
1935,4.3935194428611014e-05,2.3392799062906178e-08,4.3935194428611014e-05,1.6631219393405315e-06
1936,4.371334476413072e-05,2.2205672221632866e-08,4.371334476413072e-05,1.5911312272822085e-06
1937,4.3875027975965554e-05,2.1835276697856898e-08,4.3875027975965554e-05,1.6317445345391337e-06
1938,4.298241401556879e-05,2.1350623110752816e-08,4.298241401556879e-05,1.551101190346214e-06
1939,4.315829417984267e-05,2.1544372381348305e-08,4.315829417984267e-05,1.4503110849415992e-06
1940,4.232407705525735e-05,2.209520566509582e-08,4.232407705525735e-05,1.2563050891653153e-06
1941,4.246725230976673e-05,2.2378702573584112e-08,4.246725230976673e-05,1.117753453984603e-06
1942,4.1788130017396596e-05,2.3241644799197403e-08,4.1788130017396596e-05,8.854487175215451e-07
1943,4.204210147560973e-05,2.4138168035798506e-08,4.204210147560973e-05,7.672476515706097e-07
1944,4.185179412680944e-05,2.450592440084165e-08,4.185179412680944e-05,6.858988480676739e-07
1945,4.245435723402936e-05,2.3912199712380503e-08,4.245435723402936e-05,6.37895644623703e-07
1946,4.1843757831624574e-05,2.315776091523146e-08,4.1843757831624574e-05,6.318852488870366e-07
1947,4.214069901666205e-05,2.2088816109544496e-08,4.214069901666205e-05,6.544421223355e-07
1948,4.191396978317893e-05,2.0649394828962742e-08,4.191396978317893e-05,9.175962856845996e-07
1949,4.2432174398397494e-05,2.007341442273563e-08,4.2432174398397494e-05,9.87973188719999e-07
1950,4.249517795480122e-05,2.025058393988794e-08,4.249517795480122e-05,1.010817787313759e-06
1951,4.354338255195346e-05,1.9074312161494944e-08,4.354338255195346e-05,9.470194096853188e-07
1952,4.3881586732043487e-05,1.8931341319980025e-08,4.3881586732043487e-05,9.463086436361274e-07
1953,4.416681726330093e-05,1.8057387204554028e-08,4.416681726330093e-05,8.700890045279916e-07
1954,4.4578376088923376e-05,1.7616966171577327e-08,4.4578376088923376e-05,8.382965940459794e-07
1955,4.462006732605265e-05,1.731013859236035e-08,4.462006732605265e-05,5.566140016201513e-07
1956,4.438565727988524e-05,1.8138314215678164e-08,4.438565727988524e-05,4.6624329489272244e-07
1957,4.4223598836522016e-05,1.6216101350607914e-08,4.4223598836522016e-05,4.505199748499373e-07
1958,4.319689573354221e-05,1.5929789424059696e-08,4.319689573354221e-05,4.327955756317741e-07
1959,4.3931395339313895e-05,1.5452028355257752e-08,4.3931395339313895e-05,4.102042510112369e-07
1960,4.401957786675277e-05,1.5801818139696674e-08,4.401957786675277e-05,4.079190034644853e-07
1961,4.35649609633921e-05,1.5260905555131947e-08,4.35649609633921e-05,4.0251591469443936e-07
1962,4.3994158789116356e-05,1.4857022913515396e-08,4.3994158789116356e-05,4.2918869017479923e-07
1963,4.445451746245713e-05,1.32236063369159e-08,4.445451746245713e-05,4.3027673005521396e-07
1964,4.455876010719554e-05,1.333412656480602e-08,4.455876010719554e-05,5.285217444647319e-07
1965,4.470785799120287e-05,1.2556387421877195e-08,4.470785799120287e-05,5.579716620169555e-07
1966,4.34897280813727e-05,1.2544754568466487e-08,4.34897280813727e-05,6.569645490474483e-07
1967,4.3470717043549356e-05,1.2498580456313642e-08,4.3470717043549356e-05,6.873609907285884e-07
1968,4.363314604103964e-05,1.2307920524027135e-08,4.363314604103964e-05,6.869201415936134e-07
1969,4.33274669506188e-05,1.2159678343591298e-08,4.33274669506188e-05,7.162749276241292e-07
1970,4.2918925568561205e-05,1.3373582368509623e-08,4.2918925568561205e-05,7.12910584914945e-07
1971,4.326521541640561e-05,1.3043376918225086e-08,4.326521541640561e-05,6.05142438254396e-07
1972,4.3943472389530924e-05,1.331309894071962e-08,4.3943472389530924e-05,5.822604854139562e-07
1973,4.505827330701452e-05,1.3181589153532514e-08,4.505827330701452e-05,5.376002515536779e-07
1974,4.58067656187008e-05,1.2456969424233324e-08,4.58067656187008e-05,6.037232529771635e-07
1975,4.67748120302401e-05,1.2599718982439105e-08,4.67748120302401e-05,6.523819950286582e-07
