ngram,angle,angl,anglee,anggle
1901,3.510706405255145e-05,3.10199099422854e-08,5.533446796006964e-10,1.7136686910771257e-11
1902,3.4905103737920786e-05,3.0301084815878964e-08,5.970937157405234e-10,1.7136686910771257e-11
1903,3.517370298920598e-05,2.999336880447702e-08,6.574090161137747e-10,1.7136686910771257e-11
1904,3.5463670168870264e-05,2.712286167089977e-08,5.296103952215755e-10,4.884416680641022e-11
1905,3.6172685733098274e-05,2.482972380083278e-08,5.336920350096364e-10,4.884416680641022e-11
1906,3.628935935142051e-05,2.187695941862395e-08,5.073813670795704e-10,4.884416680641022e-11
1907,3.641514246867571e-05,2.1554945511021676e-08,5.083498146239509e-10,4.884416680641022e-11
1908,3.689664611426581e-05,2.3047182955744054e-08,5.118375723256463e-10,3.1707479895638964e-11
1909,3.689133986232004e-05,2.3024174059368567e-08,5.222131853927741e-10,3.1707479895638964e-11
1910,3.7070927126998345e-05,2.2339881817450598e-08,5.25160795802496e-10,5.925525942933924e-11
1911,3.72874726183779e-05,2.24127390932186e-08,4.719721518371094e-10,2.7547779533700277e-11
1912,3.718738506514845e-05,2.1661553566738282e-08,5.687071290085197e-10,2.7547779533700277e-11
1913,3.730061767523044e-05,2.1428797276306407e-08,6.222476026504101e-10,2.7547779533700277e-11
1914,3.735955189248281e-05,1.7337659561990548e-08,5.782297160924646e-10,2.7547779533700277e-11
1915,3.7639774486056664e-05,1.4961194949592027e-08,5.870867898970036e-10,2.7547779533700277e-11
1916,3.759192051282818e-05,1.4487396171602995e-08,5.959827611582266e-10,2.7547779533700277e-11
1917,3.7847027020429126e-05,1.4526685378411588e-08,5.552366284998302e-10,0.0
1918,3.792638225214822e-05,1.4218777520470991e-08,5.564435479848179e-10,0.0
1919,3.7923001530413914e-05,1.3497729917893203e-08,4.971202318840692e-10,0.0
1920,3.814115344929243e-05,1.752819197723251e-08,4.4343810964456564e-10,2.3201654883056986e-11
1921,3.78967789791724e-05,1.7536234940353423e-08,4.1420513051195126e-10,2.3201654883056986e-11
1922,3.744959186795833e-05,1.700069849976314e-08,3.9875283234077786e-10,2.3201654883056986e-11
1923,3.772403839060904e-05,1.8124237349021703e-08,2.9338979658431544e-10,2.3201654883056986e-11
1924,3.7447789509315044e-05,1.8049566412920674e-08,3.0033565317261994e-10,2.3201654883056986e-11
1925,3.737704433400982e-05,1.769846085559428e-08,2.571949359835608e-10,2.3201654883056986e-11
1926,3.714108970598318e-05,1.8873025301299355e-08,2.3524081492278167e-10,2.3201654883056986e-11
1927,3.7151385186007246e-05,1.5429063740920616e-08,2.3431426243725184e-10,0.0
1928,3.720522051610585e-05,1.6216396098960624e-08,3.4836169266710167e-10,0.0
1929,3.706200940151965e-05,1.79521943977079e-08,1.3620626015953263e-09,0.0
1930,3.71060954681265e-05,1.689249311860002e-08,1.74324609906026e-09,0.0
1931,3.767105850524136e-05,1.8152750540829336e-08,1.7731020699304371e-09,0.0
1932,3.7634898555032646e-05,1.888370767691835e-08,1.844031808203742e-09,0.0
1933,3.761872046327751e-05,1.7550544255990578e-08,1.8681757490186205e-09,0.0
1934,3.760673852022072e-05,1.682103865720462e-08,2.0249098588363624e-09,0.0
1935,3.788706713489124e-05,1.6958801220466413e-08,1.9108624286065125e-09,0.0
1936,3.814401342034606e-05,1.6038381670365912e-08,9.326086569672043e-10,0.0
1937,3.8600621857247983e-05,1.6210039025362936e-08,6.411948273919523e-10,0.0
1938,3.8684491300955415e-05,1.4841933142812585e-08,6.930093007387736e-10,0.0
1939,4.008236646768637e-05,1.4593600740551795e-08,6.718676131318396e-10,0.0
1940,4.117732169106603e-05,1.57554134818026e-08,5.818250821608219e-10,0.0
1941,4.194499498615707e-05,1.7544258109783835e-08,5.45085629410913e-10,0.0
