ngram,duty,dut,dutty,dut
1741,6.558230338019453e-05,2.727818123763167e-07,3.2309164867326346e-09,2.727818123763167e-07
1742,7.119564283389732e-05,2.78711415343683e-07,3.2309164867326346e-09,2.78711415343683e-07
1743,7.050282407102973e-05,2.3733862519748072e-07,3.2309164867326346e-09,2.3733862519748072e-07
1744,7.123254856976149e-05,2.6322083864930133e-07,3.2309164867326346e-09,2.6322083864930133e-07
1745,6.547969834563056e-05,2.6428709937980397e-07,3.2309164867326346e-09,2.6428709937980397e-07
1746,6.48466801586827e-05,2.5914129204401046e-07,0.0,2.5914129204401046e-07
1747,6.74238425355205e-05,2.7078369514908574e-07,0.0,2.7078369514908574e-07
1748,7.327729742558273e-05,2.784377650349208e-07,0.0,2.784377650349208e-07
1749,7.343749634206429e-05,2.748604949991724e-07,0.0,2.748604949991724e-07
1750,7.906985722781559e-05,2.9518248620011687e-07,0.0,2.9518248620011687e-07
1751,8.612412005147365e-05,2.808742830698715e-07,0.0,2.808742830698715e-07
1752,8.620920094212384e-05,2.5767180643145237e-07,0.0,2.5767180643145237e-07
1753,9.00413007392282e-05,2.5818555725111635e-07,0.0,2.5818555725111635e-07
1754,9.743345435708761e-05,2.584347263174485e-07,0.0,2.584347263174485e-07
1755,9.563575648436589e-05,2.7534298802882926e-07,0.0,2.7534298802882926e-07
1756,9.757160088546308e-05,2.7708166986225737e-07,0.0,2.7708166986225737e-07
1757,9.948044940496661e-05,2.953542345299606e-07,0.0,2.953542345299606e-07
1758,9.981384521649619e-05,2.809543896579011e-07,0.0,2.809543896579011e-07
1759,9.865137066559068e-05,2.8497341223295993e-07,0.0,2.8497341223295993e-07
1760,0.00010718373960116878,2.852458627395598e-07,0.0,2.852458627395598e-07
1761,0.00011960285441351257,3.599790099022877e-07,0.0,3.599790099022877e-07
1762,0.0001340458173737196,3.631965220003102e-07,0.0,3.631965220003102e-07
1763,0.0001414568572987004,3.750283456481286e-07,0.0,3.750283456481286e-07
1764,0.00014754750320987244,3.5933119793948466e-07,2.810679688991513e-09,3.5933119793948466e-07
1765,0.00014946797559137588,3.963660962621621e-07,2.810679688991513e-09,3.963660962621621e-07
1766,0.00015751368066828166,3.990674640265622e-07,2.810679688991513e-09,3.990674640265622e-07
1767,0.0001535625196993351,3.8678002007535337e-07,2.810679688991513e-09,3.8678002007535337e-07
1768,0.0001444993499067745,2.997105233199753e-07,2.810679688991513e-09,2.997105233199753e-07
1769,0.00013770426033131246,2.876154841909998e-07,2.810679688991513e-09,2.876154841909998e-07
1770,0.00013493989328188554,2.8260184186430184e-07,2.810679688991513e-09,2.8260184186430184e-07
1771,0.0001370620697603694,2.6940072928027803e-07,0.0,2.6940072928027803e-07
1772,0.0001390704752079078,2.707711144824186e-07,0.0,2.707711144824186e-07
1773,0.0001397265857251893,2.886644076787499e-07,0.0,2.886644076787499e-07
1774,0.00014487013062794825,2.7176558400502214e-07,2.672463139674619e-09,2.7176558400502214e-07
1775,0.00014658746243055378,2.798142060912921e-07,2.672463139674619e-09,2.798142060912921e-07
1776,0.0001463723144427474,2.8427852376872967e-07,2.672463139674619e-09,2.8427852376872967e-07
1777,0.00014897271051138108,2.731332508736679e-07,2.672463139674619e-09,2.731332508736679e-07
1778,0.00014567385577330633,2.942347541485495e-07,2.672463139674619e-09,2.942347541485495e-07
1779,0.00015365223641440804,2.847641939394764e-07,2.672463139674619e-09,2.847641939394764e-07
1780,0.00015260955426908498,2.727957633754029e-07,2.672463139674619e-09,2.727957633754029e-07
1781,0.00015477911178355237,2.8966639677361984e-07,0.0,2.8966639677361984e-07
1782,0.00015749339321960827,3.0606677471821187e-07,0.0,3.0606677471821187e-07
1783,0.00016000589572026262,3.202839796553495e-07,0.0,3.202839796553495e-07
1784,0.00016742124405157353,3.264682837717763e-07,0.0,3.264682837717763e-07
1785,0.0001714265818009153,3.1038826721539537e-07,0.0,3.1038826721539537e-07
1786,0.00017174152890220284,2.8339483191887537e-07,0.0,2.8339483191887537e-07
1787,0.00017460199472095286,2.795554122160736e-07,0.0,2.795554122160736e-07
1788,0.00017356932013561682,2.648230110123352e-07,0.0,2.648230110123352e-07
1789,0.0001745908832942535,2.655487593626406e-07,1.163384817053676e-09,2.655487593626406e-07
1790,0.00017422312937144722,2.553426209520434e-07,1.163384817053676e-09,2.553426209520434e-07
1791,0.0001696484022042049,2.56154547985586e-07,1.163384817053676e-09,2.56154547985586e-07
1792,0.00017268439946097454,2.5699836417710943e-07,1.163384817053676e-09,2.5699836417710943e-07
1793,0.0001682955480646342,2.725953476913544e-07,2.1494069381487536e-09,2.725953476913544e-07
1794,0.0001687221707210743,3.0037045917197247e-07,2.1494069381487536e-09,3.0037045917197247e-07
1795,0.0001674985417464216,3.142966785877174e-07,3.97595118733258e-09,3.142966785877174e-07
1796,0.0001660081699290978,2.9659589781009086e-07,2.812566370278903e-09,2.9659589781009086e-07
1797,0.00016684880912570016,2.954301610965818e-07,3.3794900211603363e-09,2.954301610965818e-07
1798,0.00016597873556228087,2.858468682071751e-07,3.3794900211603363e-09,2.858468682071751e-07
1799,0.0001655126065348408,2.9968481791391763e-07,3.3794900211603363e-09,2.9968481791391763e-07
1800,0.00016778908736471619,2.992755859005618e-07,2.393467900065259e-09,2.992755859005618e-07
1801,0.0001685046757172261,2.63729278669546e-07,2.393467900065259e-09,2.63729278669546e-07
1802,0.000172046191957114,2.6275177487735034e-07,1.0010504488836398e-09,2.6275177487735034e-07
1803,0.00017365224318512316,2.5490646748949075e-07,1.0010504488836398e-09,2.5490646748949075e-07
1804,0.00017453062381329282,2.4764649505673984e-07,4.341267980022069e-10,2.4764649505673984e-07
1805,0.00017652675991744867,2.5085436813502125e-07,4.341267980022069e-10,2.5085436813502125e-07
1806,0.00017434147386146442,2.280470425830572e-07,2.2439774800225062e-09,2.280470425830572e-07
1807,0.0001718530319132177,2.1555751824767606e-07,2.2439774800225062e-09,2.1555751824767606e-07
1808,0.00017488099443393627,2.2041895826012998e-07,2.2439774800225062e-09,2.2041895826012998e-07
1809,0.0001858704095606559,2.4872338753669153e-07,1.8098506820202991e-09,2.4872338753669153e-07
1810,0.0001908684186803709,2.729851148939945e-07,1.8098506820202991e-09,2.729851148939945e-07
1811,0.00019607609803123132,2.9966325801719253e-07,1.8098506820202991e-09,2.9966325801719253e-07
1812,0.00020190109249337444,3.163565054364881e-07,1.8098506820202991e-09,3.163565054364881e-07
1813,0.0002097503311233595,3.667353983668623e-07,0.0,3.667353983668623e-07
1814,0.0002174017094408295,3.9219119482173224e-07,0.0,3.9219119482173224e-07
1815,0.00021800882158069207,4.080627279888306e-07,0.0,4.080627279888306e-07
1816,0.00021051636680827608,3.8303774577538465e-07,0.0,3.8303774577538465e-07
1817,0.0002103087941317686,3.7316530259496563e-07,1.7134757105249524e-10,3.7316530259496563e-07
1818,0.00021015586389694363,3.5607603113671106e-07,1.7134757105249524e-10,3.5607603113671106e-07
1819,0.00020788470906804183,3.422839134665472e-07,1.7134757105249524e-10,3.422839134665472e-07
1820,0.00020391817088238895,3.0967950286659676e-07,3.18744506979028e-10,3.0967950286659676e-07
1821,0.0002008000051968598,2.935468980272812e-07,3.18744506979028e-10,2.935468980272812e-07
1822,0.00020263020165397653,2.7742814674119085e-07,3.18744506979028e-10,2.7742814674119085e-07
1823,0.00020349841049340154,2.7574745737573334e-07,5.996700437803173e-10,2.7574745737573334e-07
1824,0.00020223208827831383,2.6655990024794717e-07,4.28322472727822e-10,2.6655990024794717e-07
1825,0.00020731711161455939,2.5823212013165175e-07,6.815560814134512e-10,2.5823212013165175e-07
1826,0.00020784405101689378,2.561466284792654e-07,6.815560814134512e-10,2.561466284792654e-07
1827,0.00021491067517282709,2.3792779302311828e-07,5.341591454869185e-10,2.3792779302311828e-07
