ngram,lan,loon
1931,8.3161100811984e-07,2.2067967466097927e-07
1932,9.182322579753028e-07,2.2232898848934773e-07
1933,9.307683025586552e-07,2.1684183642329507e-07
1934,9.520596141296014e-07,2.2186649419251937e-07
1935,9.397964341977578e-07,2.1909528413743828e-07
1936,9.850234050645668e-07,2.21328733118753e-07
1937,1.002575515940407e-06,2.3249236034774056e-07
1938,1.0268541521846991e-06,2.295649831499499e-07
1939,9.445041411839026e-07,2.326090720673944e-07
1940,9.9364426172802e-07,2.335837986525543e-07
1941,1.0193188342912305e-06,2.2618586724222821e-07
1942,1.0493083014547925e-06,2.2868876823979788e-07
1943,1.0185629223867312e-06,2.2594460347136192e-07
1944,1.0137160139882845e-06,2.2228726745002598e-07
1945,9.999096895236498e-07,2.2127264490531422e-07
1946,1.010841190561353e-06,2.130046031619973e-07
1947,9.764854017443473e-07,2.0548731275279612e-07
1948,9.510951924442322e-07,2.0742051479568806e-07
1949,9.378286693260764e-07,2.056827546376943e-07
1950,9.600271531391108e-07,2.0587521224310228e-07
1951,9.699986500371388e-07,2.0071966438146254e-07
1952,9.855522762336477e-07,2.0193513502623057e-07
1953,1.0235187265347382e-06,2.0364508454154669e-07
1954,1.0370702138321316e-06,2.1119971498657314e-07
1955,1.0651099273673026e-06,2.1193299102963336e-07
1956,1.1184954148900163e-06,2.104808162682405e-07
1957,1.116128048904232e-06,2.0768252438431644e-07
1958,1.1674287147148528e-06,2.1085115114211866e-07
1959,1.1773537218167412e-06,2.0726120299384222e-07
1960,1.1599216480005583e-06,2.070300898334868e-07
1961,1.165052497396703e-06,2.0166184607920252e-07
1962,1.1646141696733788e-06,2.1123336223029453e-07
1963,1.1608931994747503e-06,2.133099071345766e-07
1964,1.1877277919276302e-06,2.16250035529291e-07
1965,1.1621761554384387e-06,2.1692722944927872e-07
1966,1.187084844137384e-06,2.1743177975557565e-07
1967,1.2044396921088004e-06,2.2078927892315342e-07
1968,1.2291979243985094e-06,2.1938403449439647e-07
1969,1.2352428809338432e-06,2.109996220919389e-07
1970,1.2446375551787372e-06,2.0628102350071587e-07
1971,1.2536322628875496e-06,2.047851625418064e-07
1972,1.2701506518299408e-06,2.0182481413095437e-07
1973,1.2788768637100084e-06,2.0315973309997e-07
1974,1.2808480310663332e-06,2.0041314233562195e-07
1975,1.286672337690626e-06,2.0326020384280647e-07
1976,1.3089321717935881e-06,2.014798923255512e-07
1977,1.3258636824632828e-06,2.0545115018779014e-07
1978,1.3192718759975314e-06,2.097785137980931e-07
1979,1.3285114164318657e-06,2.082771288769436e-07
1980,1.3256920640612537e-06,2.0850294544873448e-07
1981,1.3201698883286944e-06,2.1051348499310863e-07
1982,1.328866752763653e-06,2.3419648138250132e-07
1983,1.3240510595226494e-06,2.438939158569805e-07
1984,1.308806434151068e-06,2.5759207947625586e-07
1985,1.3074366701662906e-06,2.6345857203783195e-07
1986,1.2887761126226645e-06,2.813724912747213e-07
1987,1.2822863644552335e-06,2.964491504339354e-07
1988,1.2803099512633968e-06,3.017206487194406e-07
1989,1.2692568296707968e-06,2.8803116590227417e-07
1990,1.2952730555428258e-06,2.856297750700573e-07
1991,1.2927092224604815e-06,2.787658347967538e-07
1992,1.3008547057324904e-06,2.7583815917101416e-07
1993,1.3338312133523037e-06,2.663124040022272e-07
1994,1.3472956814959097e-06,2.6139249241298656e-07
1995,1.3699926414899113e-06,2.595465186264586e-07
1996,1.3810791058079173e-06,2.587294756852186e-07
1997,1.3487051221870518e-06,2.593053198194996e-07
1998,1.3587894857534723e-06,2.616057323783545e-07
1999,1.338726698512411e-06,2.61126327164415e-07
2000,1.306210914922953e-06,2.643838245473619e-07
2001,1.2562189957472064e-06,2.633138446331681e-07
