ngram,television,televsion,telvision,televison
1966,3.7333542422857136e-05,4.178903699271684e-09,2.165283825255366e-09,2.1448130636615914e-08
1967,3.818944190113273e-05,4.4501174491427625e-09,2.238685808159906e-09,2.217163189551944e-08
1968,3.871424009308352e-05,4.656938263585581e-09,2.3091592130494323e-09,2.3198340010870718e-08
1969,3.988518385865193e-05,4.917218505389493e-09,2.414415619814544e-09,2.472750106262213e-08
1970,3.98961165046785e-05,4.941913925701361e-09,2.573619682445992e-09,2.629057225890717e-08
1971,3.9738296826336796e-05,5.251421012327942e-09,2.347345000914507e-09,2.7214513055793888e-08
1972,4.03948147972447e-05,5.322621454695309e-09,2.3966464051434447e-09,2.901950629003685e-08
1973,4.080438884557225e-05,5.581132254763231e-09,2.3365118094277803e-09,3.000396375796299e-08
1974,4.1370215123086905e-05,5.981358392708509e-09,2.359382720941637e-09,3.313122830052505e-08
1975,4.164904333135512e-05,5.8906511414745316e-09,2.401739537408584e-09,3.591657815604776e-08
1976,4.115827167489832e-05,5.583896646653232e-09,2.3570253685331213e-09,3.825688033032293e-08
1977,4.161942342761904e-05,5.546298721879696e-09,2.4775739555187623e-09,4.074674464504824e-08
1978,4.164892379776575e-05,5.2360600934418605e-09,2.79339792566954e-09,4.426752399565105e-08
1979,4.2590450383223856e-05,5.498178420485342e-09,2.857642598743025e-09,4.9563527377521107e-08
1980,4.242345936030948e-05,5.2818636448697424e-09,2.915655970627183e-09,5.400459609664462e-08
1981,4.2344135830977135e-05,5.422773214596483e-09,2.8179963442097134e-09,5.8847092532232637e-08
1982,4.23873685316981e-05,5.652757627063108e-09,2.7905075710472308e-09,6.22444978099728e-08
1983,4.241245967153061e-05,5.906814148914918e-09,2.9958960709056524e-09,6.521694422596219e-08
1984,4.2133062899145966e-05,6.245625857762402e-09,2.9907483473883597e-09,6.720134848592352e-08
1985,4.234910842829517e-05,6.465957420281094e-09,2.7178293583927727e-09,6.752247116992294e-08
1986,4.183361098902034e-05,6.420849756645046e-09,2.7381490725580146e-09,6.521787300682393e-08
1987,4.240439219367025e-05,6.409465149102646e-09,2.7334488323609615e-09,6.326623491759165e-08
1988,4.219358379486948e-05,6.320717282903843e-09,2.4857508432571e-09,5.7851059815610436e-08
1989,4.258931273527976e-05,6.1026149213359665e-09,2.420409142952654e-09,5.297329965157717e-08
1990,4.2527608976732676e-05,5.721026446232307e-09,2.102702662780993e-09,4.827168455433041e-08
1991,4.295831240597181e-05,5.164930737068727e-09,1.83356802756813e-09,4.4050848048625216e-08
1992,4.3043498278296154e-05,4.583928030805444e-09,1.7217392273798688e-09,3.9551775949624764e-08
1993,4.327331407694146e-05,4.220080919635296e-09,1.5824349767054206e-09,3.476701085755199e-08
1994,4.380193630432976e-05,4.126610291572368e-09,1.4700897007661036e-09,3.115046481078869e-08
1995,4.4454507068231965e-05,3.68743340623772e-09,1.4677683750947373e-09,2.9259255336049657e-08
1996,4.483402933276791e-05,3.617423693924593e-09,1.2559564578827421e-09,2.842469548625104e-08
1997,4.558001975445742e-05,3.578315992720198e-09,1.1491779194905405e-09,2.898556747002853e-08
1998,4.588838419294916e-05,3.654218483362115e-09,1.070267485747678e-09,2.916016558377318e-08
1999,4.6543415269947476e-05,3.7412712927675784e-09,1.0300974755723352e-09,3.0293358171158095e-08
2000,4.6390944459874716e-05,3.764136113915129e-09,9.278225648096899e-10,3.077040641333692e-08
2001,4.622127744369209e-05,3.487739430596548e-09,8.558585903476309e-10,3.084208977099934e-08
2002,4.6171018246760855e-05,3.3622861954946917e-09,8.170685556712393e-10,3.0092164442813944e-08
2003,4.5575618319812096e-05,3.109166543272376e-09,7.884498530254445e-10,2.8582459066228694e-08
2004,4.549316404986062e-05,3.0123158887919642e-09,7.879532661268587e-10,2.6037758108340573e-08
2005,4.481857831706293e-05,2.736698708919302e-09,6.882259127673405e-10,2.3642962635303126e-08
2006,4.416914505002621e-05,2.493705496066566e-09,5.341616950347929e-10,2.133571592415657e-08
2007,4.360247580085083e-05,2.3430493735686143e-09,4.893518804457589e-10,1.9048446502673803e-08
2008,4.2676920981778365e-05,2.102295845344112e-09,4.0447157131521093e-10,1.6673770174082036e-08
2009,4.135816665698907e-05,1.975906898416773e-09,4.1765395507122246e-10,1.4502517536081022e-08
2010,4.1044174784994016e-05,1.8467131474813365e-09,3.8637899229294296e-10,1.345850554810925e-08
2011,4.009248940357273e-05,1.7061968821912338e-09,3.2379969935484153e-10,1.2327951611926632e-08
2012,3.934694073645265e-05,1.6091395359042947e-09,3.0578164603564263e-10,1.123607010608144e-08
2013,3.830059670560461e-05,1.4063433988782086e-09,3.074172503860138e-10,9.691238034292837e-09
2014,3.666226335293946e-05,1.2039873939099062e-09,2.5357422659649005e-10,8.858395350586079e-09
2015,3.471098170848563e-05,1.1437050513001574e-09,2.435504332931604e-10,8.108498126903539e-09
2016,3.324997435681455e-05,9.345159566821947e-10,1.9186928187126766e-10,7.181747641027414e-09
2017,3.212880164937815e-05,9.039963407471893e-10,1.7608537255612658e-10,6.2628435770761826e-09
2018,3.078118934354279e-05,7.728265360995578e-10,1.7880566680061883e-10,5.565605576407506e-09
2019,2.9332255962799536e-05,6.576564015592368e-10,1.7678333016218906e-10,5.0506778759285e-09
