ngram,Quality Control,Qualty Control,Quality Contol
1945,9.022774471694512e-07,1.7517762240792933e-10,0.0
1946,1.0299002813748563e-06,1.7517762240792933e-10,0.0
1947,1.1495514594831287e-06,1.7517762240792933e-10,0.0
1948,1.035645482261316e-06,1.7841985825281117e-11,0.0
1949,1.1325483829490883e-06,1.7841985825281117e-11,1.6168978854226778e-11
1950,1.1879201500570552e-06,3.392503242613135e-11,1.6168978854226778e-11
1951,1.218982577354057e-06,3.392503242613135e-11,4.764139479743587e-11
1952,1.3184140925659449e-06,3.099417151502288e-11,9.237477053122437e-11
1953,1.3771386063256484e-06,4.590972344350622e-11,9.237477053122437e-11
1954,1.4995929892133323e-06,4.590972344350622e-11,1.3378337723349683e-10
1955,1.4916421378075029e-06,8.726103470754357e-11,1.6135091675449432e-10
1956,1.7434012988815084e-06,1.5133549473102447e-10,1.4518193790026756e-10
1957,1.8647456759676321e-06,1.7162023786226095e-10,1.4518193790026756e-10
1958,1.8689979047589337e-06,1.8294245681830087e-10,1.1370952195705847e-10
1959,1.857135040544173e-06,1.787793554070787e-10,7.972416972622045e-11
1960,1.8632125602380256e-06,1.8400791208199914e-10,1.099403326313261e-10
1961,1.8613646943776985e-06,2.1612683270039971e-10,8.994433967465402e-11
1962,1.93847087562712e-06,2.1359921966089346e-10,6.237680015365652e-11
1963,1.744757680301388e-06,1.495247596374126e-10,6.237680015365652e-11
1964,1.7330610424843535e-06,1.3884080988077078e-10,7.093807981504798e-11
1965,1.7531418084867515e-06,1.2751859092473084e-10,1.044922234056627e-10
1966,1.780271775585009e-06,1.5862605078671114e-10,1.104863928521763e-10
1967,1.8401670201585927e-06,1.8898921515044164e-10,1.139417439367994e-10
1968,1.8485043905716988e-06,1.6530182579886444e-10,1.1782372399166922e-10
1969,1.8943860270935277e-06,1.35024516369407e-10,1.3491650158181656e-10
1970,1.9636733635966915e-06,1.35024516369407e-10,1.599541521061073e-10
1971,2.0316773381117466e-06,1.0934067639396211e-10,1.6843580300359865e-10
1972,2.1341930310622307e-06,1.0934067639396211e-10,1.67997304559694e-10
1973,2.249222786433945e-06,8.320004903282298e-11,1.8268482361781325e-10
1974,2.327897553706342e-06,4.044673722931285e-11,1.955370785923703e-10
1975,2.3744319800503684e-06,3.972625898875291e-11,1.8566459084442703e-10
1976,2.418237012794374e-06,7.704495969778386e-11,2.220810816990136e-10
1977,2.3981747939875016e-06,1.381336295347424e-10,2.428599325611712e-10
1978,2.3855306413419645e-06,1.381336295347424e-10,2.335787699171897e-10
1979,2.3743803987079966e-06,1.535945071525927e-10,2.468457566327599e-10
1980,2.2843815129038248e-06,1.4533425256908165e-10,2.8250745641643174e-10
1981,2.246369376734947e-06,1.5209538886277026e-10,3.3033181993340806e-10
1982,2.2171457203512546e-06,1.5848174855781494e-10,3.6425065790982435e-10
1983,2.174132662600771e-06,1.2669587799520243e-10,3.740978761887107e-10
1984,2.193450947223547e-06,7.959094197199486e-11,3.4925697502725354e-10
1985,2.214627719305489e-06,7.959094197199486e-11,3.6214276617168347e-10
1986,2.2458876043986365e-06,7.727064920454957e-11,3.354710120806459e-10
1987,2.2723849204859496e-06,1.0162773202347454e-10,2.93828947284247e-10
1988,2.2522993796363674e-06,1.332724724229755e-10,2.1266934047137198e-10
1989,2.244816024748226e-06,1.4449430441836649e-10,2.0763707618355808e-10
1990,2.204888265363739e-06,1.6209169522480542e-10,1.5061591160777813e-10
1991,2.161423968313362e-06,1.6686861713839056e-10,1.5465452034092919e-10
1992,2.116501783737996e-06,1.8503731384424326e-10,1.6428811981463098e-10
1993,2.0218771591576764e-06,1.8415920475086826e-10,1.7523343193159846e-10
1994,1.9515451705436656e-06,1.5853960455955044e-10,2.1170492640689075e-10
1995,1.8931323048881105e-06,1.2454793892653042e-10,2.350209184011552e-10
1996,1.811819905534711e-06,1.1123319775184294e-10,2.0871899347740808e-10
1997,1.7382011654782609e-06,9.051020399434125e-11,2.6262855977256447e-10
1998,1.6470673602140908e-06,8.275073334895744e-11,2.54116128932986e-10
1999,1.5299064801053776e-06,6.974470852040758e-11,2.444856579091643e-10
2000,1.4618306555088826e-06,5.748223276337759e-11,2.5833218302612996e-10
2001,1.3728259935825399e-06,5.129014871548979e-11,2.3505383155748254e-10
2002,1.2999215316865178e-06,3.912197649169613e-11,2.138935913307906e-10
2003,1.215039479315497e-06,4.1862443075516407e-11,2.008018265553524e-10
2004,1.1422904922905478e-06,3.090882708508705e-11,1.4055693811235567e-10
2005,1.0650388324912846e-06,1.990764200313474e-11,1.4298868537622666e-10
2006,1.0020937598450734e-06,1.4744970125831915e-11,1.3213911413480417e-10
2007,9.134601636365655e-07,1.4744970125831915e-11,9.78543119550019e-11
2008,8.466535957398134e-07,1.4744970125831915e-11,5.921182195350078e-11
2009,7.56702783227021e-07,1.4744970125831915e-11,4.781444808540528e-11
2010,6.917653203280289e-07,3.897478817857117e-12,5.848937331488977e-11
2011,6.271359203375531e-07,8.306950117855015e-12,5.848937331488977e-11
2012,5.648826199181453e-07,1.3382014990174059e-11,3.955584793245505e-11
2013,5.213371423451463e-07,1.8472729546422808e-11,3.484544622091499e-11
2014,4.881344019785112e-07,1.8472729546422808e-11,2.462753339554131e-11
2015,4.667208973582352e-07,1.8472729546422808e-11,2.462753339554131e-11
2016,4.4895939156828847e-07,3.037105809899909e-11,2.068062982767722e-11
2017,4.4431701458809886e-07,3.088584249466564e-11,5.9391669822902076e-12
2018,4.3239577394160735e-07,3.088975117360171e-11,7.1270003787482494e-12
2019,4.4132541177077655e-07,2.973082544044381e-11,8.908750473435312e-12
