ngram,AES,AES,AE,A
1833,6.599289012080131e-09,6.599289012080131e-09,1.1668876222107168e-06,0.0007624182534138006
1834,7.608577284085832e-09,7.608577284085832e-09,1.1225478390640222e-06,0.0007671253240135099
1835,7.665814776609231e-09,7.665814776609231e-09,1.1938684402983718e-06,0.0007630728650838137
1836,8.80609314040421e-09,8.80609314040421e-09,1.1362306427794725e-06,0.0007623976146403168
1837,7.948352277940631e-09,7.948352277940631e-09,1.0688046115449521e-06,0.00075772128600095
1838,6.770871942483682e-09,6.770871942483682e-09,9.97648978032625e-07,0.0007553619798272848
1839,6.668661004357748e-09,6.668661004357748e-09,1.0065679703075148e-06,0.000757376996002027
1840,7.472537398380195e-09,7.472537398380195e-09,9.817370109236175e-07,0.0007652885979041457
1841,5.9427709261531245e-09,5.9427709261531245e-09,9.332349658767011e-07,0.0007663472788408399
1842,7.1131437882700405e-09,7.1131437882700405e-09,9.617325531507959e-07,0.0007698561031637448
1843,7.007958721264426e-09,7.007958721264426e-09,9.783395853446564e-07,0.0007754549483901688
1844,7.87613587048343e-09,7.87613587048343e-09,1.0482243380595589e-06,0.0007849368017299899
1845,8.066024990784269e-09,8.066024990784269e-09,1.0054557963355495e-06,0.0007885103030795497
1846,7.202601245584869e-09,7.202601245584869e-09,9.157511889108199e-07,0.0007898546589006271
1847,8.129397662973555e-09,8.129397662973555e-09,9.049955776520489e-07,0.0007931253556827349
1848,8.429289647235042e-09,8.429289647235042e-09,8.66542884685779e-07,0.0007986919704957732
1849,7.413787203195252e-09,7.413787203195252e-09,7.251205350452697e-07,0.000805596837640873
1850,8.114137330293505e-09,8.114137330293505e-09,6.987510110840438e-07,0.0008107693533280066
1851,8.778103862841898e-09,8.778103862841898e-09,6.280652290310432e-07,0.0008160857916144389
1852,8.353436831143313e-09,8.353436831143313e-09,6.414362059915999e-07,0.0008226682964180197
1853,8.569899932555001e-09,8.569899932555001e-09,6.20965559099724e-07,0.0008301313417697591
1854,7.468849443676667e-09,7.468849443676667e-09,6.282834996389803e-07,0.0008430542490844216
1855,6.9591729521891105e-09,6.9591729521891105e-09,6.296199574405494e-07,0.0008476253133267164
