ngram,Ferguson,Fergson
1963,5.376156033370145e-06,3.5067919798173873e-10
1964,5.257218163023936e-06,2.1049822004507287e-10
1965,5.142236594630438e-06,1.5980426109380678e-10
1966,5.189561436834213e-06,1.2342157653032005e-10
1967,5.169588088652485e-06,1.0224585464005794e-10
1968,5.105637553372487e-06,9.264974501884841e-11
1969,4.9821597453306566e-06,1.4651105725452648e-10
1970,4.967159774033851e-06,1.5074317587832857e-10
1971,4.9772244372953926e-06,2.3130128368187286e-10
1972,5.031511981152497e-06,2.398770923958285e-10
1973,4.880561131618119e-06,2.393381177769248e-10
1974,4.872816199557357e-06,2.88223136825559e-10
1975,4.871799839228126e-06,3.1767297225299933e-10
1976,4.856894195524676e-06,3.2006667653540685e-10
1977,4.828951659874292e-06,3.2437759720346394e-10
1978,4.8143686918982505e-06,2.846191308430208e-10
1979,4.7623439708591576e-06,3.241221467807444e-10
1980,4.745750824700476e-06,3.707258428813682e-10
1981,4.714560808289596e-06,3.59989815734707e-10
1982,4.799389574015679e-06,3.8405175071888817e-10
1983,4.8291701984583464e-06,4.0922429730575315e-10
1984,4.881375779015278e-06,4.0516939406717457e-10
1985,4.8769058724116936e-06,4.4394457554552957e-10
1986,4.953411332410594e-06,4.630447771246184e-10
1987,4.9945219871005975e-06,4.549992565256693e-10
1988,5.035994750609721e-06,4.72301543113269e-10
1989,4.978580753751365e-06,4.365797009623204e-10
