ngram,SAP,SAP,SP,SP
1833,2.224539232185764e-08,2.224539232185764e-08,4.057470083093254e-07,4.057470083093254e-07
1834,2.391383954350853e-08,2.391383954350853e-08,4.317710582719363e-07,4.317710582719363e-07
1835,2.4110426163507067e-08,2.4110426163507067e-08,4.6246874165132924e-07,4.6246874165132924e-07
1836,2.541345901972493e-08,2.541345901972493e-08,3.060747003148988e-07,3.060747003148988e-07
1837,2.3751773881031113e-08,2.3751773881031113e-08,3.3005687376836637e-07,3.3005687376836637e-07
1838,3.671465696543562e-08,3.671465696543562e-08,3.379893282077059e-07,3.379893282077059e-07
1839,4.075399522613614e-08,4.075399522613614e-08,3.384689750061755e-07,3.384689750061755e-07
1840,4.668347435605418e-08,4.668347435605418e-08,3.291990253728727e-07,3.291990253728727e-07
1841,4.545310007740357e-08,4.545310007740357e-08,2.9767120679480286e-07,2.9767120679480286e-07
1842,5.267006868742945e-08,5.267006868742945e-08,2.80825314494645e-07,2.80825314494645e-07
1843,5.2439061093423334e-08,5.2439061093423334e-08,2.847305020330688e-07,2.847305020330688e-07
1844,5.6203717235803197e-08,5.6203717235803197e-08,2.2431073278182468e-07,2.2431073278182468e-07
1845,4.658223165928835e-08,4.658223165928835e-08,2.2384530292843659e-07,2.2384530292843659e-07
1846,4.3024782466919275e-08,4.3024782466919275e-08,2.3180974397161792e-07,2.3180974397161792e-07
1847,4.030100925993858e-08,4.030100925993858e-08,2.469442473998892e-07,2.469442473998892e-07
1848,3.89902010360694e-08,3.89902010360694e-08,2.4149568795499885e-07,2.4149568795499885e-07
1849,3.30214979170153e-08,3.30214979170153e-08,2.1741492771200554e-07,2.1741492771200554e-07
1850,3.4286194962516806e-08,3.4286194962516806e-08,2.0217298616184314e-07,2.0217298616184314e-07
1851,3.287216873307638e-08,3.287216873307638e-08,2.1085120798553752e-07,2.1085120798553752e-07
1852,3.157196637459947e-08,3.157196637459947e-08,2.010093222030004e-07,2.010093222030004e-07
1853,3.157036714591348e-08,3.157036714591348e-08,1.9746393320474454e-07,1.9746393320474454e-07
1854,3.312553050908004e-08,3.312553050908004e-08,2.3651012830734025e-07,2.3651012830734025e-07
1855,3.30731472684777e-08,3.30731472684777e-08,3.495099138360404e-07,3.495099138360404e-07
1856,3.323758538239677e-08,3.323758538239677e-08,3.792741592535874e-07,3.792741592535874e-07
1857,3.272906364973746e-08,3.272906364973746e-08,4.682512643025153e-07,4.682512643025153e-07
1858,3.2164878760454485e-08,3.2164878760454485e-08,4.635315755357234e-07,4.635315755357234e-07
1859,3.7294297428047685e-08,3.7294297428047685e-08,4.752788080557886e-07,4.752788080557886e-07
1860,4.083675822893643e-08,4.083675822893643e-08,4.978715781232625e-07,4.978715781232625e-07
1861,4.2070039642437355e-08,4.2070039642437355e-08,4.5162393900812147e-07,4.5162393900812147e-07
1862,4.3533864259513525e-08,4.3533864259513525e-08,4.906158608264377e-07,4.906158608264377e-07
1863,4.3904067936750835e-08,4.3904067936750835e-08,4.752936726098207e-07,4.752936726098207e-07
1864,4.4985847935663514e-08,4.4985847935663514e-08,4.099496899406014e-07,4.099496899406014e-07
1865,4.71010922962835e-08,4.71010922962835e-08,4.079049976521024e-07,4.079049976521024e-07
1866,4.288154288799108e-08,4.288154288799108e-08,4.119754614911082e-07,4.119754614911082e-07
1867,4.029005802002368e-08,4.029005802002368e-08,3.9834269216498797e-07,3.9834269216498797e-07
1868,3.749835489738221e-08,3.749835489738221e-08,4.161850049350895e-07,4.161850049350895e-07
1869,3.583088822470667e-08,3.583088822470667e-08,2.7523241336829027e-07,2.7523241336829027e-07
1870,3.829231281266792e-08,3.829231281266792e-08,2.868080112453494e-07,2.868080112453494e-07
1871,4.081624435262451e-08,4.081624435262451e-08,2.992080660695657e-07,2.992080660695657e-07
1872,4.302290282761792e-08,4.302290282761792e-08,3.032466874433989e-07,3.032466874433989e-07
1873,4.121925987833817e-08,4.121925987833817e-08,2.8775128514878035e-07,2.8775128514878035e-07
1874,4.076483049532596e-08,4.076483049532596e-08,3.0338322533550256e-07,3.0338322533550256e-07
1875,4.227312189186705e-08,4.227312189186705e-08,3.010605829396289e-07,3.010605829396289e-07
1876,4.257816093351201e-08,4.257816093351201e-08,2.9813476893585697e-07,2.9813476893585697e-07
1877,3.990967277291345e-08,3.990967277291345e-08,2.8495989771012577e-07,2.8495989771012577e-07
1878,3.5685575129816375e-08,3.5685575129816375e-08,2.9935265136568236e-07,2.9935265136568236e-07
1879,3.253358471511092e-08,3.253358471511092e-08,3.0699707614140994e-07,3.0699707614140994e-07
1880,3.315498199794677e-08,3.315498199794677e-08,3.0780663199233717e-07,3.0780663199233717e-07
1881,3.4908363691751476e-08,3.4908363691751476e-08,3.258067217919753e-07,3.258067217919753e-07
1882,3.30737662019536e-08,3.30737662019536e-08,3.1914066564045894e-07,3.1914066564045894e-07
1883,3.464445441636599e-08,3.464445441636599e-08,3.326604160390291e-07,3.326604160390291e-07
1884,3.653524644724777e-08,3.653524644724777e-08,3.279580665451119e-07,3.279580665451119e-07
1885,3.728193829845493e-08,3.728193829845493e-08,2.9264652466411333e-07,2.9264652466411333e-07
1886,3.566629988175204e-08,3.566629988175204e-08,4.442368058172568e-07,4.442368058172568e-07
1887,3.4783614972460393e-08,3.4783614972460393e-08,4.4694289970591073e-07,4.4694289970591073e-07
