ngram,BYD,BYD,BY,BY
1828,6.054941230943761e-10,6.054941230943761e-10,2.417254056906261e-05,2.417254056906261e-05
1829,2.311874104852864e-10,2.311874104852864e-10,2.4916601042994963e-05,2.4916601042994963e-05
1830,2.311874104852864e-10,2.311874104852864e-10,2.4934181315724606e-05,2.4934181315724606e-05
1831,2.311874104852864e-10,2.311874104852864e-10,2.5418989545349696e-05,2.5418989545349696e-05
1832,3.600189828795968e-10,3.600189828795968e-10,2.5891765679781592e-05,2.5891765679781592e-05
1833,3.600189828795968e-10,3.600189828795968e-10,2.6088993503695485e-05,2.6088993503695485e-05
1834,5.046289576680709e-10,5.046289576680709e-10,2.6166115276282653e-05,2.6166115276282653e-05
1835,5.046289576680709e-10,5.046289576680709e-10,2.6204235577357133e-05,2.6204235577357133e-05
1836,5.046289576680709e-10,5.046289576680709e-10,2.6358455475669223e-05,2.6358455475669223e-05
1837,5.046289576680709e-10,5.046289576680709e-10,2.7085163310403004e-05,2.7085163310403004e-05
1838,5.809547049777969e-10,5.809547049777969e-10,2.7951998552972717e-05,2.7951998552972717e-05
1839,3.2550632824067197e-10,3.2550632824067197e-10,2.848532416724733e-05,2.848532416724733e-05
1840,3.2550632824067197e-10,3.2550632824067197e-10,2.9385333618847653e-05,2.9385333618847653e-05
1841,7.632574730972611e-11,7.632574730972611e-11,3.0514786495976815e-05,3.0514786495976815e-05
1842,7.632574730972611e-11,7.632574730972611e-11,3.1044538575640346e-05,3.1044538575640346e-05
1843,1.419002772427648e-10,1.419002772427648e-10,3.1582245875532476e-05,3.1582245875532476e-05
1844,2.0868313426498323e-10,2.0868313426498323e-10,3.203557207598351e-05,3.203557207598351e-05
1845,1.9909615226306902e-10,1.9909615226306902e-10,3.245041755560253e-05,3.245041755560253e-05
1846,1.9909615226306902e-10,1.9909615226306902e-10,3.31265884077376e-05,3.31265884077376e-05
1847,2.597016173539706e-10,2.597016173539706e-10,3.3809454180300236e-05,3.3809454180300236e-05
1848,2.597016173539706e-10,2.597016173539706e-10,3.4262505713351334e-05,3.4262505713351334e-05
1849,3.1344115398417623e-10,3.1344115398417623e-10,3.49489195546734e-05,3.49489195546734e-05
1850,2.478666240511375e-10,2.478666240511375e-10,3.540720509980539e-05,3.540720509980539e-05
1851,1.8108376702891908e-10,1.8108376702891908e-10,3.539899729990533e-05,3.539899729990533e-05
1852,1.1434500172110721e-10,1.1434500172110721e-10,3.540773468557745e-05,3.540773468557745e-05
1853,1.1434500172110721e-10,1.1434500172110721e-10,3.5053726605838165e-05,3.5053726605838165e-05
1854,1.54743257889984e-10,1.54743257889984e-10,3.465601860495683e-05,3.465601860495683e-05
1855,2.597467558500861e-10,2.597467558500861e-10,3.429013304412365e-05,3.429013304412365e-05
1856,2.5570602381540045e-10,2.5570602381540045e-10,3.440720632040341e-05,3.440720632040341e-05
1857,4.4824293086799724e-10,4.4824293086799724e-10,3.438771506937753e-05,3.438771506937753e-05
1858,4.4824293086799724e-10,4.4824293086799724e-10,3.464618047083994e-05,3.464618047083994e-05
1859,4.4824293086799724e-10,4.4824293086799724e-10,3.4940173333909896e-05,3.4940173333909896e-05
1860,4.4824293086799724e-10,4.4824293086799724e-10,3.5184936028339765e-05,3.5184936028339765e-05
1861,4.0372589002072145e-10,4.0372589002072145e-10,3.544348458360348e-05,3.544348458360348e-05
1862,4.101589345939516e-10,4.101589345939516e-10,3.5691217947584975e-05,3.5691217947584975e-05
1863,4.0819801110687186e-10,4.0819801110687186e-10,3.5202832285514365e-05,3.5202832285514365e-05
1864,2.627562255076908e-10,2.627562255076908e-10,3.5100173200979566e-05,3.5100173200979566e-05
1865,3.069827765005735e-10,3.069827765005735e-10,3.514390118652955e-05,3.514390118652955e-05
1866,3.069827765005735e-10,3.069827765005735e-10,3.4956088451768407e-05,3.4956088451768407e-05
1867,4.366201487661568e-10,4.366201487661568e-10,3.512621021530192e-05,3.512621021530192e-05
1868,6.041919544040399e-10,6.041919544040399e-10,3.5259184577236215e-05,3.5259184577236215e-05
1869,4.927554118707076e-10,4.927554118707076e-10,3.538833906142307e-05,3.538833906142307e-05
1870,6.139633722059199e-10,6.139633722059199e-10,3.614046415480386e-05,3.614046415480386e-05
1871,5.668682507525042e-10,5.668682507525042e-10,3.6732073827546886e-05,3.6732073827546886e-05
1872,6.045451203132554e-10,6.045451203132554e-10,3.682235287020116e-05,3.682235287020116e-05
1873,6.825626254679053e-10,6.825626254679053e-10,3.706032605675448e-05,3.706032605675448e-05
