ngram,Procter,Procter,Proter,Proter
1966,8.906946992023482e-07,8.906946992023482e-07,1.7662057054985375e-09,1.7662057054985375e-09
1967,8.713099402614586e-07,8.713099402614586e-07,1.885316728130907e-09,1.885316728130907e-09
1968,8.565011171413062e-07,8.565011171413062e-07,2.0209245229655235e-09,2.0209245229655235e-09
1969,8.565433030785893e-07,8.565433030785893e-07,2.1543364552607206e-09,2.1543364552607206e-09
1970,8.227123495479256e-07,8.227123495479256e-07,2.1819978681035325e-09,2.1819978681035325e-09
1971,7.988913190664399e-07,7.988913190664399e-07,2.341756962945648e-09,2.341756962945648e-09
1972,7.693552350117118e-07,7.693552350117118e-07,2.258951771670427e-09,2.258951771670427e-09
1973,7.473858707791286e-07,7.473858707791286e-07,2.468877007595032e-09,2.468877007595032e-09
1974,7.260379188015317e-07,7.260379188015317e-07,2.472882819150511e-09,2.472882819150511e-09
1975,7.091878647510644e-07,7.091878647510644e-07,2.5226020954655884e-09,2.5226020954655884e-09
1976,6.946885784080743e-07,6.946885784080743e-07,2.5724441941678477e-09,2.5724441941678477e-09
1977,6.964572207834863e-07,6.964572207834863e-07,2.8245354309421243e-09,2.8245354309421243e-09
1978,7.215220745950189e-07,7.215220745950189e-07,2.662587927915183e-09,2.662587927915183e-09
1979,7.41402037160047e-07,7.41402037160047e-07,2.751783467758173e-09,2.751783467758173e-09
1980,7.67799739216051e-07,7.67799739216051e-07,2.769686860811963e-09,2.769686860811963e-09
1981,7.977937213711681e-07,7.977937213711681e-07,2.8989861305157253e-09,2.8989861305157253e-09
1982,8.400512651210843e-07,8.400512651210843e-07,3.0405657356981563e-09,3.0405657356981563e-09
1983,8.614968984537492e-07,8.614968984537492e-07,3.2518843173789946e-09,3.2518843173789946e-09
1984,8.785486167133578e-07,8.785486167133578e-07,3.187931823284933e-09,3.187931823284933e-09
1985,8.860897975994573e-07,8.860897975994573e-07,3.618507715685837e-09,3.618507715685837e-09
1986,9.041420249949234e-07,9.041420249949234e-07,3.781468788892945e-09,3.781468788892945e-09
1987,9.302943177707286e-07,9.302943177707286e-07,4.372476476126914e-09,4.372476476126914e-09
1988,9.607360798976776e-07,9.607360798976776e-07,4.327081201286173e-09,4.327081201286173e-09
1989,9.943078924022432e-07,9.943078924022432e-07,4.2161443859965536e-09,4.2161443859965536e-09
1990,1.0358160368793636e-06,1.0358160368793636e-06,4.18610301977651e-09,4.18610301977651e-09
1991,1.1320569309905944e-06,1.1320569309905944e-06,4.113727802845801e-09,4.113727802845801e-09
1992,1.1668912358280586e-06,1.1668912358280586e-06,3.7792951625346765e-09,3.7792951625346765e-09
1993,1.1875668763293236e-06,1.1875668763293236e-06,3.584155892712358e-09,3.584155892712358e-09
1994,1.2493372716042877e-06,1.2493372716042877e-06,2.846926694388685e-09,2.846926694388685e-09
1995,1.280288318282276e-06,1.280288318282276e-06,2.792387210348579e-09,2.792387210348579e-09
1996,1.3117215433209952e-06,1.3117215433209952e-06,2.61734012241277e-09,2.61734012241277e-09
1997,1.329784335471881e-06,1.329784335471881e-06,2.403587614655375e-09,2.403587614655375e-09
1998,1.2998356494011074e-06,1.2998356494011074e-06,2.3311672275078924e-09,2.3311672275078924e-09
1999,1.2873699038859092e-06,1.2873699038859092e-06,2.1283935249170683e-09,2.1283935249170683e-09
2000,1.2567482242177772e-06,1.2567482242177772e-06,2.042482738495721e-09,2.042482738495721e-09
2001,1.199561990818308e-06,1.199561990818308e-06,1.9729540223778486e-09,1.9729540223778486e-09
2002,1.1703663826015794e-06,1.1703663826015794e-06,1.8292739069534848e-09,1.8292739069534848e-09
2003,1.1199564044415768e-06,1.1199564044415768e-06,1.7118864421255304e-09,1.7118864421255304e-09
2004,1.086162504699522e-06,1.086162504699522e-06,1.5182360606808792e-09,1.5182360606808792e-09
