ngram,Block,Blck,Blok,Blck
1861,1.76512695101597e-06,1.8952986243928447e-09,1.4016327432031517e-08,1.8952986243928447e-09
1862,1.7245666218254234e-06,1.9017316689660747e-09,1.2565577594309779e-08,1.9017316689660747e-09
1863,1.8213582474605313e-06,1.9893637451648007e-09,1.1542187713534498e-08,1.9893637451648007e-09
1864,2.0348621124607495e-06,2.080436672142432e-09,7.574399203085541e-09,2.080436672142432e-09
1865,2.2683666429657023e-06,2.097909298662667e-09,8.661500374072619e-09,2.097909298662667e-09
1866,2.3929663452041235e-06,1.4051666100530928e-09,7.479723919599581e-09,1.4051666100530928e-09
1867,2.4957883267364067e-06,1.273040395322056e-09,8.204380317979241e-09,1.273040395322056e-09
1868,2.665504634283674e-06,1.2945021324714138e-09,9.547188595249168e-09,1.2945021324714138e-09
1869,2.802224409086713e-06,1.3018232444420415e-09,1.3884013304123397e-08,1.3018232444420415e-09
1870,2.9262014972378632e-06,1.142105330943975e-09,1.553318680030153e-08,1.142105330943975e-09
1871,2.8939960624744084e-06,1.1500860898548483e-09,1.4834740737411169e-08,1.1500860898548483e-09
1872,2.8496727476782065e-06,1.2631166985371018e-09,1.4842976435249154e-08,1.2631166985371018e-09
1873,2.957785129962888e-06,1.1589448527844176e-09,1.516984804439403e-08,1.1589448527844176e-09
1874,3.1810611419911894e-06,1.1053171631937785e-09,1.4695693868154486e-08,1.1053171631937785e-09
1875,3.330618678124405e-06,1.091227156254807e-09,1.279050592423963e-08,1.091227156254807e-09
1876,3.536078663403584e-06,1.0108014861628538e-09,1.0150966797287505e-08,1.0108014861628538e-09
1877,3.6121075481787557e-06,1.09380213220156e-09,8.764371894898204e-09,1.09380213220156e-09
1878,3.7640324665387326e-06,1.0680579317793156e-09,9.827188459813182e-09,1.0680579317793156e-09
1879,3.796426199187408e-06,8.921752979253381e-10,8.829644507609861e-09,8.921752979253381e-10
1880,3.917054560328584e-06,8.738090846132402e-10,8.459337040380075e-09,8.738090846132402e-10
1881,3.977723963544122e-06,1.0702428903426003e-09,8.851300708252147e-09,1.0702428903426003e-09
1882,3.9912794298808355e-06,1.0795361152623632e-09,8.407093243789632e-09,1.0795361152623632e-09
1883,4.002110277464713e-06,1.2981851546126473e-09,7.564035302871325e-09,1.2981851546126473e-09
1884,4.036853494783697e-06,1.3325623858330614e-09,9.75852287865564e-09,1.3325623858330614e-09
1885,4.129971005438295e-06,1.2019200555459163e-09,1.3995695776917013e-08,1.2019200555459163e-09
1886,4.343201973305051e-06,1.4631558266563006e-09,1.5506221005624965e-08,1.4631558266563006e-09
