ngram,Bayer,Bayr,Bayer,Bayr
1828,2.1066144130697596e-07,2.5644678364982506e-09,2.1066144130697596e-07,2.5644678364982506e-09
1829,2.559041364845273e-07,2.6347421149581454e-09,2.559041364845273e-07,2.6347421149581454e-09
1830,2.356808914376935e-07,1.9324282888152513e-09,2.356808914376935e-07,1.9324282888152513e-09
1831,2.0914437978295348e-07,2.4897962818443934e-09,2.0914437978295348e-07,2.4897962818443934e-09
1832,4.019159760559887e-07,2.448328936413954e-09,4.019159760559887e-07,2.448328936413954e-09
1833,3.957516990940998e-07,2.7062020243765315e-09,3.957516990940998e-07,2.7062020243765315e-09
1834,4.0460124089187435e-07,2.4510585624629553e-09,4.0460124089187435e-07,2.4510585624629553e-09
1835,4.089429310738524e-07,1.7890826915183717e-09,4.089429310738524e-07,1.7890826915183717e-09
1836,3.7269284141367667e-07,1.9439919515410307e-09,3.7269284141367667e-07,1.9439919515410307e-09
1837,3.963555315067424e-07,2.176316174892382e-09,3.963555315067424e-07,2.176316174892382e-09
1838,4.0606384540556715e-07,1.6189481818632397e-09,4.0606384540556715e-07,1.6189481818632397e-09
1839,2.0484834197174807e-07,1.5337987229508648e-09,2.0484834197174807e-07,1.5337987229508648e-09
1840,1.9598940679900677e-07,1.0389291490601034e-09,1.9598940679900677e-07,1.0389291490601034e-09
1841,1.981426598669194e-07,4.5750776183390533e-10,1.981426598669194e-07,4.5750776183390533e-10
1842,2.085655950168075e-07,1.1264775937444175e-09,2.085655950168075e-07,1.1264775937444175e-09
1843,2.1054448698773092e-07,2.9341045466273793e-09,2.1054448698773092e-07,2.9341045466273793e-09
1844,1.8808182947590728e-07,2.768563180298246e-09,1.8808182947590728e-07,2.768563180298246e-09
1845,1.7458982881635166e-07,3.435950849236694e-09,1.7458982881635166e-07,3.435950849236694e-09
1846,1.789523013582896e-07,3.5663918485084878e-09,1.789523013582896e-07,3.5663918485084878e-09
1847,1.9209912441705716e-07,3.687602778690291e-09,1.9209912441705716e-07,3.687602778690291e-09
1848,1.8531565006339535e-07,3.906353478783891e-09,1.8531565006339535e-07,3.906353478783891e-09
1849,1.8108023880358814e-07,3.613560387424489e-09,1.8108023880358814e-07,3.613560387424489e-09
1850,1.8332397644371667e-07,1.6282198050150092e-09,1.8332397644371667e-07,1.6282198050150092e-09
1851,1.9321973963672333e-07,3.093580629760189e-09,1.9321973963672333e-07,3.093580629760189e-09
1852,2.0652611811198896e-07,3.6396706600986104e-09,2.0652611811198896e-07,3.6396706600986104e-09
1853,2.0138874593353e-07,3.654007691660561e-09,2.0138874593353e-07,3.654007691660561e-09
1854,1.831454515662959e-07,3.6843023473335077e-09,1.831454515662959e-07,3.6843023473335077e-09
1855,1.8721077513613897e-07,3.885565639080316e-09,1.8721077513613897e-07,3.885565639080316e-09
1856,1.979718839655626e-07,4.105774569535774e-09,1.979718839655626e-07,4.105774569535774e-09
1857,2.087389024804257e-07,4.443378474684932e-09,2.087389024804257e-07,4.443378474684932e-09
1858,2.0738281948849492e-07,3.544873458264216e-09,2.0738281948849492e-07,3.544873458264216e-09
1859,2.0604315409400442e-07,3.793701083435305e-09,2.0604315409400442e-07,3.793701083435305e-09
1860,2.1733896257306436e-07,3.892903888136345e-09,2.1733896257306436e-07,3.892903888136345e-09
1861,2.294452384278754e-07,4.814645190468322e-09,2.294452384278754e-07,4.814645190468322e-09
1862,2.1702982369983408e-07,4.506067741161246e-09,2.1702982369983408e-07,4.506067741161246e-09
1863,2.1449064036005439e-07,6.487527562778642e-09,2.1449064036005439e-07,6.487527562778642e-09
1864,2.0610509717958587e-07,6.19664399158028e-09,2.0610509717958587e-07,6.19664399158028e-09
1865,2.0903669906147115e-07,6.049497379225142e-09,2.0903669906147115e-07,6.049497379225142e-09
1866,2.0916809871453423e-07,5.781661847694051e-09,2.0916809871453423e-07,5.781661847694051e-09
1867,1.974280934291528e-07,6.7044173070383655e-09,1.974280934291528e-07,6.7044173070383655e-09
1868,1.9905561998712074e-07,8.051002118948856e-09,1.9905561998712074e-07,8.051002118948856e-09
1869,2.0964396948589377e-07,1.0433476432020988e-08,2.0964396948589377e-07,1.0433476432020988e-08
1870,1.9496091446009294e-07,8.700360178335944e-09,1.9496091446009294e-07,8.700360178335944e-09
1871,1.868730683846869e-07,1.010748418295293e-08,1.868730683846869e-07,1.010748418295293e-08
1872,1.847689990849436e-07,1.0399074617290743e-08,1.847689990849436e-07,1.0399074617290743e-08
1873,1.859933373030539e-07,1.0530902372352102e-08,1.859933373030539e-07,1.0530902372352102e-08
1874,1.9848043158227873e-07,9.801313950928505e-09,1.9848043158227873e-07,9.801313950928505e-09
1875,1.9353257536230168e-07,8.06343775876834e-09,1.9353257536230168e-07,8.06343775876834e-09
1876,2.0694210434157867e-07,6.297834603025925e-09,2.0694210434157867e-07,6.297834603025925e-09
1877,2.1417100169531166e-07,6.431752178467523e-09,2.1417100169531166e-07,6.431752178467523e-09
1878,2.2478718416810546e-07,5.873857305311552e-09,2.2478718416810546e-07,5.873857305311552e-09
1879,2.3786426441217502e-07,6.038447805270916e-09,2.3786426441217502e-07,6.038447805270916e-09
1880,2.3769789387577995e-07,6.882671290041133e-09,2.3769789387577995e-07,6.882671290041133e-09
1881,2.369586167917857e-07,7.2662288884219245e-09,2.369586167917857e-07,7.2662288884219245e-09
1882,2.5106313371127597e-07,7.45933200921708e-09,2.5106313371127597e-07,7.45933200921708e-09
1883,2.4431273410690277e-07,7.437722120735251e-09,2.4431273410690277e-07,7.437722120735251e-09
1884,2.5771901489081627e-07,7.130315258864682e-09,2.5771901489081627e-07,7.130315258864682e-09
1885,2.7454710708038223e-07,6.564198486356889e-09,2.7454710708038223e-07,6.564198486356889e-09
1886,3.0708099935899167e-07,6.476772610294493e-09,3.0708099935899167e-07,6.476772610294493e-09
1887,3.5097860973110073e-07,5.549780159240316e-09,3.5097860973110073e-07,5.549780159240316e-09
1888,4.057290660901864e-07,6.241233847197642e-09,4.057290660901864e-07,6.241233847197642e-09
1889,4.259268564510421e-07,6.700890794622946e-09,4.259268564510421e-07,6.700890794622946e-09
1890,4.95496781890584e-07,8.11903093962079e-09,4.95496781890584e-07,8.11903093962079e-09
1891,5.372176303808374e-07,9.240144554263047e-09,5.372176303808374e-07,9.240144554263047e-09
1892,5.577570862312444e-07,1.0885284356427455e-08,5.577570862312444e-07,1.0885284356427455e-08
1893,5.482170999065212e-07,1.1598231073963104e-08,5.482170999065212e-07,1.1598231073963104e-08
1894,5.500827902389054e-07,1.110582280107662e-08,5.500827902389054e-07,1.110582280107662e-08
1895,5.597483720976015e-07,1.0461683138832508e-08,5.597483720976015e-07,1.0461683138832508e-08
1896,6.093902413795149e-07,1.0057228002783144e-08,6.093902413795149e-07,1.0057228002783144e-08
1897,5.56981007093782e-07,9.177032657601915e-09,5.56981007093782e-07,9.177032657601915e-09
1898,5.316674917464428e-07,8.142282150101567e-09,5.316674917464428e-07,8.142282150101567e-09
1899,5.200499921491948e-07,6.884823822161934e-09,5.200499921491948e-07,6.884823822161934e-09
1900,5.173620780039658e-07,8.135644348681938e-09,5.173620780039658e-07,8.135644348681938e-09
1901,5.023983728083945e-07,9.817933704121223e-09,5.023983728083945e-07,9.817933704121223e-09
1902,4.5795410739758934e-07,9.449244624854763e-09,4.5795410739758934e-07,9.449244624854763e-09
1903,4.0981082958881287e-07,1.0351985871689554e-08,4.0981082958881287e-07,1.0351985871689554e-08
1904,4.553155942435946e-07,1.0343934914962866e-08,4.553155942435946e-07,1.0343934914962866e-08
1905,4.6763930835628085e-07,1.115675869150274e-08,4.6763930835628085e-07,1.115675869150274e-08
1906,4.806354151501832e-07,1.1912243191858352e-08,4.806354151501832e-07,1.1912243191858352e-08
1907,5.237889451694043e-07,1.0074790462206401e-08,5.237889451694043e-07,1.0074790462206401e-08
1908,5.614872569432399e-07,9.439284338290982e-09,5.614872569432399e-07,9.439284338290982e-09
1909,5.949352766622593e-07,1.1020886298800697e-08,5.949352766622593e-07,1.1020886298800697e-08
1910,6.273040915922528e-07,1.0813203665804849e-08,6.273040915922528e-07,1.0813203665804849e-08
1911,6.304010103771621e-07,1.2525955637800377e-08,6.304010103771621e-07,1.2525955637800377e-08
1912,6.432733487469835e-07,1.2714050003280266e-08,6.432733487469835e-07,1.2714050003280266e-08
1913,6.735766321850991e-07,1.2308819106822609e-08,6.735766321850991e-07,1.2308819106822609e-08
