ngram,SSE,SE,SS,SE
1847,1.5076005206131932e-07,1.1074448025283345e-06,1.7421927103506668e-06,1.1074448025283345e-06
1848,1.5173027076035135e-07,1.0774305110317073e-06,1.8256592641461924e-06,1.0774305110317073e-06
1849,1.542753901771578e-07,1.0756712559408958e-06,1.7448077999558466e-06,1.0756712559408958e-06
1850,1.471984342669787e-07,1.0088783873080892e-06,1.641308131183905e-06,1.0088783873080892e-06
1851,1.44872850224179e-07,1.0292897871165354e-06,1.5613808922613056e-06,1.0292897871165354e-06
1852,1.4356662043318075e-07,9.815803585817257e-07,1.480677854358094e-06,9.815803585817257e-07
1853,2.613158339873475e-07,1.4337669540509523e-06,1.4479391308798637e-06,1.4337669540509523e-06
1854,1.8375076672936886e-07,1.1877129963977495e-06,1.5395983967079831e-06,1.1877129963977495e-06
1855,1.834118297239229e-07,1.3144194131850133e-06,1.463503752217678e-06,1.3144194131850133e-06
1856,1.8025405193863468e-07,1.4507656455212522e-06,1.549769340921817e-06,1.4507656455212522e-06
1857,1.771515965032222e-07,1.4768675912689235e-06,1.5780411461361967e-06,1.4768675912689235e-06
1858,1.707254327750921e-07,1.4334233843068693e-06,1.6058890943375964e-06,1.4334233843068693e-06
1859,1.722949531617652e-07,1.480369519413216e-06,1.6594393790520762e-06,1.480369519413216e-06
1860,5.100660034023414e-08,1.0385907265637279e-06,1.747679496994741e-06,1.0385907265637279e-06
1861,5.879536908131351e-08,1.0701832187416066e-06,1.7688101447025214e-06,1.0701832187416066e-06
1862,5.8941254163106093e-08,9.700383429844806e-07,1.805302125441293e-06,9.700383429844806e-07
1863,5.658092458052774e-08,8.136811646051813e-07,1.919398674285081e-06,8.136811646051813e-07
1864,6.246711084908643e-08,8.253640869172938e-07,2.0080263506575387e-06,8.253640869172938e-07
1865,6.572623435983718e-08,8.774777273044622e-07,2.130298818363891e-06,8.774777273044622e-07
1866,6.475686425184384e-08,8.625392443458882e-07,2.1953798230762393e-06,8.625392443458882e-07
1867,6.264605494672131e-08,8.743338314941087e-07,2.205074289512205e-06,8.743338314941087e-07
1868,5.511478943073403e-08,8.38251383226764e-07,2.1933675010846595e-06,8.38251383226764e-07
1869,5.385646366968493e-08,8.34979159338088e-07,2.2891933407923456e-06,8.34979159338088e-07
1870,5.4555660053016e-08,1.0254324820380134e-06,2.226224020367746e-06,1.0254324820380134e-06
1871,5.542260948589371e-08,1.0714135539404066e-06,2.3217820301267367e-06,1.0714135539404066e-06
1872,6.228301024131205e-08,1.638105670411148e-06,2.3372343451098587e-06,1.638105670411148e-06
1873,6.764607058633893e-08,2.1457137060159378e-06,2.542312699915783e-06,2.1457137060159378e-06
1874,7.800384998241888e-08,2.508899521152281e-06,2.9218018166180367e-06,2.508899521152281e-06
1875,9.010858776597225e-08,2.666980468088046e-06,2.9912432637502206e-06,2.666980468088046e-06
1876,9.261735810030456e-08,2.7755512032204673e-06,3.0276237989060713e-06,2.7755512032204673e-06
1877,7.92336761281019e-08,2.622838987268291e-06,3.356579067518136e-06,2.622838987268291e-06
1878,8.866304414466088e-08,2.671050067095036e-06,3.3250793031973965e-06,2.671050067095036e-06
